dt,open,high,low,close,value
2022-01-03,0.92,0.93,0.9,0.92,2613500.0
2022-01-05,0.92,0.93,0.85,0.92,15442040.0
2022-01-06,0.9,0.9,0.86,0.88,41279160.0
2022-01-07,0.87,0.92,0.85,0.9,5623810.0
2022-01-10,0.9,0.92,0.86,0.9,4088920.0
2022-01-11,0.89,0.9,0.86,0.88,3023840.0
2022-01-12,0.88,0.89,0.86,0.89,1386420.0
2022-01-13,0.88,0.91,0.86,0.91,7205500.0
2022-01-14,0.91,0.93,0.88,0.92,10631400.0
2022-01-17,0.94,0.94,0.92,0.93,4851410.0
2022-01-18,0.93,0.96,0.9,0.94,11496590.0
2022-01-19,0.93,0.94,0.9,0.94,6459410.0
2022-01-20,0.93,0.97,0.92,0.96,7356970.0
2022-01-21,0.96,0.96,0.94,0.96,2404580.0
2022-01-24,0.95,0.95,0.93,0.93,1660050.0
2022-01-25,0.92,0.94,0.9,0.94,11385050.0
2022-01-26,0.93,0.93,0.91,0.92,693860.0
2022-01-27,0.9,0.93,0.9,0.92,2505690.0
2022-01-28,0.92,0.92,0.9,0.9,994570.0
2022-01-31,0.9,0.92,0.89,0.92,1650050.0
2022-02-02,0.9,0.91,0.89,0.9,2245850.0
2022-02-03,0.89,0.9,0.89,0.9,1054170.0
2022-02-04,0.91,0.91,0.89,0.91,1165410.0
2022-02-07,0.91,0.91,0.89,0.89,1195090.0
2022-02-08,0.89,0.93,0.88,0.91,10503530.0
2022-02-09,0.9,0.93,0.88,0.92,13327550.0
2022-02-10,0.92,0.93,0.89,0.93,7693240.0
2022-02-11,0.91,0.94,0.91,0.91,1948870.0
2022-02-14,0.93,0.94,0.89,0.9,8819580.0
2022-02-15,0.9,0.92,0.89,0.89,1629840.0
2022-02-16,0.89,0.9,0.89,0.89,1210980.0
2022-02-17,0.89,0.92,0.88,0.88,3986190.0
2022-02-18,0.89,0.91,0.88,0.89,4239730.0
2022-02-21,0.89,0.91,0.89,0.91,2752630.0
2022-02-22,0.91,0.92,0.88,0.89,12597200.0
2022-02-23,0.9,0.93,0.88,0.92,16626960.0
2022-02-24,0.92,0.92,0.86,0.86,11760110.0
2022-02-28,0.87,0.91,0.85,0.88,6183940.0
2022-03-01,0.89,0.91,0.86,0.88,14741730.0
2022-03-02,0.88,0.9,0.86,0.88,10485870.0
2022-03-03,0.88,0.89,0.86,0.87,2718430.0
2022-03-04,0.86,0.87,0.83,0.83,7495940.0
2022-03-07,0.84,0.84,0.81,0.84,5348680.0
2022-03-08,0.83,0.83,0.81,0.82,2892330.0
2022-03-09,0.82,0.84,0.81,0.83,1838950.0
2022-03-10,0.83,0.85,0.82,0.84,2974370.0
2022-03-11,0.84,0.86,0.83,0.86,3016680.0
2022-03-14,0.86,0.87,0.8,0.85,8784500.0
2022-03-15,0.85,0.85,0.8,0.84,4528160.0
2022-03-16,0.85,0.86,0.83,0.86,3528500.0
2022-03-17,0.86,0.87,0.85,0.87,1978500.0
2022-03-18,0.87,0.92,0.87,0.9,23279980.0
2022-03-21,0.9,0.94,0.9,0.94,13815870.0
2022-03-22,0.94,0.95,0.9,0.9,4228680.0
2022-03-23,0.9,0.95,0.9,0.94,9611250.0
2022-03-24,0.94,1.03,0.94,1.01,24405090.0
2022-03-25,1.01,1.05,0.98,1.03,35160640.0
2022-03-28,1.03,1.06,1.03,1.05,10485930.0
2022-03-29,1.05,1.06,1.03,1.05,4469510.0
2022-03-30,1.03,1.09,1.03,1.08,26638060.0
2022-03-31,1.08,1.09,1.07,1.08,4833540.0
2022-04-01,1.08,1.09,1.06,1.08,5772650.0
2022-04-04,1.08,1.08,1.0,1.03,12152280.0
2022-04-05,1.03,1.05,1.0,1.04,6175120.0
2022-04-06,1.04,1.04,1.02,1.03,2270470.0
2022-04-07,1.03,1.04,1.01,1.03,5490270.0
2022-04-08,1.03,1.07,1.02,1.06,17082550.0
2022-04-11,1.06,1.08,1.06,1.07,3508060.0
2022-04-12,1.07,1.08,1.06,1.07,1129170.0
2022-04-13,1.07,1.08,1.06,1.07,2069290.0
2022-04-18,1.07,1.08,1.04,1.07,4076120.0
2022-04-19,1.07,1.11,1.06,1.1,37238810.0
2022-04-20,1.11,1.14,1.1,1.12,18486000.0
2022-04-21,1.12,1.14,1.11,1.12,6049380.0
2022-04-22,1.12,1.13,1.11,1.12,2429310.0
2022-04-25,1.1,1.13,1.09,1.12,16246650.0
