dt,open,high,low,close,value
2022-01-03,12.5,12.6,12.38,12.5,6526956.0
2022-01-05,12.5,12.6,12.4,12.58,2694224.0
2022-01-06,12.58,12.76,12.58,12.68,2397574.0
2022-01-07,12.7,12.94,12.5,12.82,1757480.0
2022-01-10,12.5,12.82,12.5,12.78,1189490.0
2022-01-11,12.8,12.96,12.74,12.8,1098156.0
2022-01-12,12.9,13.5,12.9,13.5,3641918.0
2022-01-13,13.6,13.6,13.3,13.56,1300286.0
2022-01-14,13.56,13.58,13.34,13.48,672864.0
2022-01-17,13.42,13.64,13.02,13.24,2615662.0
2022-01-18,13.24,13.4,13.16,13.4,1013426.0
2022-01-19,13.4,13.58,13.3,13.4,1227474.0
2022-01-20,13.4,13.86,13.4,13.6,1196578.0
2022-01-21,13.86,14.16,13.6,14.06,6217662.0
2022-01-24,14.2,14.44,14.0,14.26,8540450.0
2022-01-25,14.2,14.3,14.06,14.2,6984582.0
2022-01-26,13.8,13.8,12.76,12.76,23241978.0
2022-01-27,12.46,12.46,12.0,12.08,10064860.0
2022-01-28,12.0,12.06,11.46,11.5,8844624.0
2022-01-31,11.4,11.42,11.06,11.34,5013642.0
2022-02-02,11.36,12.52,11.36,12.42,5469538.0
2022-02-03,12.42,12.66,12.42,12.58,2371666.0
2022-02-04,12.58,12.68,12.44,12.66,2556868.0
2022-02-07,12.96,13.7,12.96,13.36,6412856.0
2022-02-08,13.42,13.7,13.42,13.5,2649720.0
2022-02-09,13.7,13.92,13.7,13.7,4812650.0
2022-02-10,13.8,13.9,13.8,13.8,1999078.0
2022-02-11,13.8,13.8,13.2,13.58,3435384.0
2022-02-14,13.6,13.8,13.4,13.46,784364.0
2022-02-15,13.5,13.5,13.0,13.5,1038382.0
2022-02-16,13.1,13.48,13.0,13.48,1279578.0
2022-02-17,13.42,13.42,13.02,13.02,541686.0
2022-02-18,13.02,13.4,12.96,13.3,420400.0
2022-02-21,13.3,13.3,12.82,13.0,678970.0
2022-02-22,12.9,12.94,12.72,12.8,982850.0
2022-02-23,12.7,13.2,12.68,13.2,1384876.0
2022-02-24,13.2,13.2,12.52,12.98,1161446.0
2022-02-28,12.98,12.98,12.6,12.9,545530.0
2022-03-01,12.9,13.0,12.52,12.8,1035856.0
2022-03-02,12.86,13.0,12.5,12.5,904360.0
2022-03-03,12.5,12.8,12.5,12.6,443786.0
2022-03-04,12.6,12.8,12.5,12.56,1660132.0
2022-03-07,12.56,12.56,12.2,12.38,1008446.0
2022-03-08,12.38,12.4,11.9,12.26,1577750.0
2022-03-09,12.26,12.26,11.9,12.12,695252.0
2022-03-10,12.12,12.76,12.02,12.74,658008.0
2022-03-11,12.7,12.7,12.2,12.5,846210.0
2022-03-14,12.48,12.48,11.9,12.36,961080.0
2022-03-15,12.5,12.78,12.02,12.5,1281162.0
