dt,open,high,low,close,value
2022-01-03,10.9,10.9,10.5,10.5,161123070.0
2022-01-05,10.52,10.7,9.93,10.1,448210749.0
2022-01-06,10.08,10.1,9.6,9.65,477288563.0
2022-01-07,9.6,9.64,9.06,9.33,625535571.0
2022-01-10,9.17,9.71,9.07,9.64,250498419.0
2022-01-11,9.64,9.66,9.15,9.15,241255589.0
2022-01-12,9.18,9.32,8.9,9.0,500297583.0
2022-01-13,9.06,9.55,9.06,9.52,322128002.0
2022-01-14,9.54,9.61,9.42,9.5,201553648.0
2022-01-17,9.53,9.7,9.47,9.5,85985618.0
2022-01-18,9.55,9.64,9.54,9.56,72129143.0
2022-01-19,9.52,9.55,9.4,9.5,196310072.0
2022-01-20,9.51,9.79,9.51,9.73,122692460.0
2022-01-21,9.7,9.7,9.6,9.65,81756866.0
2022-01-24,9.65,9.65,9.42,9.59,144678329.0
2022-01-25,9.58,9.67,9.53,9.63,103429917.0
2022-01-26,9.6,9.63,9.5,9.55,134138829.0
2022-01-27,9.55,9.56,9.48,9.5,213644837.0
2022-01-28,9.5,9.54,9.47,9.47,283771128.0
2022-01-31,9.51,9.54,9.48,9.54,169808039.0
2022-02-02,9.55,9.56,9.47,9.5,173636543.0
2022-02-03,9.5,9.53,9.5,9.5,146298272.0
2022-02-04,9.51,9.51,9.43,9.5,144309098.0
2022-02-07,9.45,9.48,9.18,9.3,212849357.0
2022-02-08,9.29,9.34,9.1,9.3,177211757.0
2022-02-09,9.28,9.3,9.15,9.15,143648328.0
2022-02-10,9.14,9.2,8.83,8.84,383274247.0
2022-02-11,8.82,9.0,8.65,8.68,238063244.0
2022-02-14,8.68,8.68,8.34,8.6,215425121.0
2022-02-15,8.62,8.67,8.18,8.2,261106909.0
2022-02-16,8.26,8.9,8.26,8.8,215763549.0
2022-02-17,8.94,9.08,8.9,9.0,238628606.0
2022-02-18,8.92,8.92,8.68,8.85,84471318.0
2022-02-21,8.99,9.03,8.52,8.59,133120899.0
2022-02-22,8.59,8.87,8.53,8.86,105100582.0
2022-02-23,8.8,8.8,8.6,8.65,75702538.0
2022-02-24,8.65,8.71,8.2,8.21,212793981.0
2022-02-28,8.25,8.5,8.25,8.5,216652969.0
2022-03-01,8.49,8.51,8.41,8.41,116461162.0
2022-03-02,8.41,8.5,8.06,8.1,143671945.0
2022-03-03,8.1,8.35,8.1,8.34,88394586.0
2022-03-04,8.32,8.32,8.11,8.13,75342596.0
2022-03-07,8.13,8.13,7.7,8.06,314226815.0
2022-03-08,7.9,7.98,7.64,7.64,234882596.0
2022-03-09,7.62,7.9,7.61,7.79,113360287.0
2022-03-10,7.9,8.15,7.9,8.14,148767971.0
2022-03-11,8.15,8.35,8.15,8.28,176869626.0
2022-03-14,8.28,8.34,7.85,7.88,165260106.0
2022-03-15,7.82,8.15,7.43,8.1,199386358.0
2022-03-16,8.23,8.24,8.07,8.15,132878818.0
2022-03-17,8.21,8.49,8.21,8.43,230413027.0
2022-03-18,8.5,8.5,8.2,8.2,660409009.0
2022-03-21,8.2,8.3,7.88,7.9,169283996.0
2022-03-22,8.08,8.08,7.95,7.97,65107341.0
2022-03-23,8.1,8.12,7.97,8.03,184657030.0
2022-03-24,8.05,8.23,8.03,8.15,222149513.0
2022-03-25,8.2,8.34,8.16,8.3,150326676.0
2022-03-28,8.33,8.42,8.3,8.38,111953412.0
2022-03-29,8.4,8.5,8.31,8.39,242861422.0
2022-03-30,8.41,8.6,8.36,8.53,143549617.0
2022-03-31,8.52,8.74,8.42,8.73,306670056.0
2022-04-01,8.74,8.86,8.6,8.7,118504090.0
2022-04-04,8.7,8.86,8.61,8.86,189894403.0
2022-04-05,8.87,8.91,8.8,8.85,111439151.0
2022-04-06,8.81,8.83,8.57,8.6,95761187.0
2022-04-07,8.64,8.65,8.35,8.35,111070177.0
2022-04-08,8.36,8.54,8.36,8.54,101903154.0
2022-04-11,8.54,8.6,8.46,8.55,54526327.0
2022-04-12,8.57,8.57,8.32,8.32,48821175.0
2022-04-13,8.38,8.5,8.29,8.5,63731226.0
2022-04-18,8.5,8.5,8.33,8.34,36611538.0
2022-04-19,8.35,8.45,8.33,8.41,86367973.0
2022-04-20,8.44,8.64,8.43,8.6,120766179.0
2022-04-21,8.64,8.74,8.45,8.45,192303881.0
2022-04-22,8.42,8.5,8.15,8.2,69071699.0
2022-04-25,8.2,8.26,7.96,8.16,65622266.0
2022-04-26,8.17,8.26,8.11,8.25,40633650.0
2022-04-27,8.25,8.33,8.01,8.01,76989185.0
2022-04-28,8.02,8.11,7.92,8.0,65535649.0
2022-04-29,8.04,8.08,7.22,7.22,268419866.0
2022-05-02,7.25,7.48,7.24,7.4,112959658.0
2022-05-04,7.45,7.62,7.34,7.62,93822973.0
2022-05-05,7.63,7.84,7.63,7.8,61619764.0
2022-05-06,7.5,7.75,7.43,7.6,53824216.0
2022-05-10,7.38,7.38,7.04,7.2,133898256.0
2022-05-11,7.15,7.23,6.92,6.92,283330071.0
2022-05-12,6.92,6.92,6.5,6.6,225854413.0
2022-05-13,6.59,6.59,6.23,6.23,360074976.0
2022-05-16,6.31,6.81,6.31,6.61,178540951.0
2022-05-17,6.71,6.81,6.6,6.7,170157276.0
2022-05-18,6.8,7.06,6.77,7.04,154422574.0
2022-05-19,7.04,7.04,6.85,7.0,142021614.0
2022-05-20,7.05,7.22,7.02,7.06,129698527.0
2022-05-23,7.17,7.23,7.08,7.1,90408263.0
2022-05-24,7.1,7.12,6.9,7.05,163742807.0
2022-05-25,7.05,7.05,6.95,6.99,39903094.0
2022-05-26,7.1,7.1,6.85,6.85,111180772.0
2022-05-27,6.9,7.08,6.9,6.95,134843652.0
2022-05-30,7.07,7.36,7.0,7.17,197052049.0
2022-05-31,7.23,7.37,7.15,7.15,534221672.0
2022-06-01,7.17,7.25,7.0,7.0,101485954.0
2022-06-02,7.01,7.06,7.0,7.0,64320311.0
2022-06-03,7.01,7.15,7.01,7.11,101181418.0
2022-06-06,7.14,7.37,7.14,7.31,78147130.0
2022-06-07,7.34,7.49,7.31,7.49,144987251.0
2022-06-08,7.5,7.66,7.43,7.54,87107719.0
2022-06-09,7.55,7.65,7.41,7.65,92663102.0
2022-06-10,7.6,7.64,7.41,7.56,121108167.0
2022-06-13,7.4,7.64,7.28,7.5,130342951.0
2022-06-14,7.5,7.56,7.17,7.35,81756016.0
2022-06-15,7.35,7.38,7.24,7.3,50012798.0
2022-06-16,7.3,7.46,7.3,7.44,44145727.0
2022-06-17,7.35,7.45,7.25,7.3,134112329.0
2022-06-20,7.3,7.4,7.29,7.34,3778569.0
2022-06-21,7.39,7.44,7.31,7.35,50455335.0
2022-06-22,7.35,7.44,6.8,7.38,74721277.0
2022-06-23,7.4,7.51,7.3,7.32,82827229.0
2022-06-24,7.34,7.43,7.33,7.37,42738588.0
2022-06-27,7.38,7.79,7.38,7.79,144280658.0
2022-06-28,7.79,8.14,7.78,8.14,206625488.0
2022-06-29,8.14,8.14,7.82,7.9,84571130.0
2022-06-30,7.9,8.04,7.65,8.04,123198509.0
2022-07-01,8.0,8.11,7.89,7.94,50173868.0
2022-07-04,7.95,8.07,7.9,8.07,75690716.0
2022-07-05,8.07,8.4,8.05,8.4,178745821.0
2022-07-06,8.38,8.45,8.3,8.4,107070765.0
2022-07-07,8.4,8.41,8.16,8.16,77993663.0
2022-07-08,8.16,8.41,8.16,8.18,87623682.0
2022-07-11,8.22,8.34,8.01,8.3,32332086.0
2022-07-12,8.25,8.25,8.19,8.21,10395938.0
2022-07-13,8.25,8.42,8.19,8.27,78277625.0
2022-07-14,8.29,8.43,8.05,8.05,106563467.0
2022-07-15,8.05,8.23,8.0,8.15,40765448.0
2022-07-18,8.16,8.23,8.11,8.23,26976580.0
2022-07-19,8.2,8.35,8.15,8.25,113259643.0
2022-07-20,8.3,8.41,8.3,8.4,142180416.0
2022-07-21,8.4,8.61,8.4,8.6,158684881.0
2022-07-22,8.58,8.58,8.41,8.41,39412587.0
2022-07-25,8.3,8.3,8.06,8.18,74703030.0
2022-07-26,8.2,8.37,8.17,8.3,80462044.0
2022-07-27,8.31,8.33,8.18,8.3,33612406.0
2022-07-28,8.3,8.45,8.3,8.45,64724424.0
2022-07-29,8.46,8.5,8.37,8.37,86030418.0
2022-08-01,8.48,8.58,8.38,8.5,147682980.0
2022-08-02,8.5,8.54,8.41,8.5,109233147.0
2022-08-03,8.41,8.67,8.39,8.6,182104630.0
2022-08-04,8.64,8.71,8.58,8.71,150513647.0
2022-08-05,8.7,8.86,8.67,8.86,473791150.0
2022-08-08,8.86,8.91,8.55,8.9,183692248.0
2022-08-09,8.84,8.84,8.38,8.64,123812868.0
2022-08-10,8.66,8.7,8.25,8.39,283019504.0
2022-08-11,8.34,8.64,8.34,8.6,146938310.0
2022-08-12,8.62,8.7,8.57,8.7,166065161.0
2022-08-15,8.7,8.7,8.52,8.7,57264118.0
2022-08-16,8.7,8.72,8.66,8.72,62898325.0
2022-08-17,8.7,8.72,8.57,8.6,46614067.0
2022-08-18,8.6,8.79,8.54,8.65,81797884.0
2022-08-19,8.65,8.7,8.62,8.68,34890915.0
2022-08-22,8.68,8.68,8.53,8.55,46344894.0
2022-08-23,8.53,8.53,8.31,8.38,41997922.0
2022-08-24,8.37,8.54,8.35,8.54,20954759.0
2022-08-25,8.54,8.72,8.42,8.63,91767479.0
2022-08-26,8.25,8.29,7.97,8.04,-1031617497.0
2022-08-30,7.97,7.97,7.71,7.73,261203334.0
2022-08-31,7.73,7.73,7.5,7.5,440452541.0
2022-09-01,7.7,7.76,7.52,7.52,164935560.0
2022-09-02,7.55,7.78,7.55,7.64,111424617.0
2022-09-05,7.66,7.68,7.24,7.28,173790844.0
2022-09-06,7.3,7.5,7.27,7.3,115128904.0
2022-09-07,7.31,7.32,6.98,7.03,260022236.0
2022-09-08,7.1,7.17,6.95,7.0,134354276.0
2022-09-09,7.05,7.1,6.88,7.04,76698812.0
2022-09-12,7.07,7.2,7.06,7.12,41301993.0
2022-09-13,7.22,7.26,7.02,7.09,103462652.0
2022-09-14,6.95,7.04,6.86,6.88,133927713.0
2022-09-15,6.91,7.05,6.9,6.9,52167417.0
2022-09-16,6.91,6.99,6.9,6.9,74905686.0
2022-09-19,6.9,6.92,6.7,6.7,125226254.0
2022-09-20,6.71,6.88,6.67,6.67,77956987.0
2022-09-21,6.7,6.74,6.36,6.45,134103233.0
2022-09-22,6.39,6.39,6.25,6.28,89886104.0
2022-09-23,6.28,6.38,6.28,6.31,54194653.0
2022-09-27,6.31,6.31,5.94,5.95,133619149.0
2022-09-28,5.91,5.92,5.41,5.51,188270310.0
2022-09-29,5.7,5.78,5.62,5.7,108100427.0
2022-09-30,5.6,5.77,5.51,5.6,151960461.0
2022-10-03,5.52,5.68,5.46,5.52,108232435.0
2022-10-04,5.65,5.85,5.65,5.8,89135203.0
2022-10-05,5.9,6.06,5.9,5.9,127067847.0
2022-10-06,5.95,5.97,5.65,5.89,51011647.0
2022-10-07,5.89,5.92,5.72,5.78,35002432.0
2022-10-10,5.69,5.7,5.54,5.64,44714715.0
2022-10-11,5.62,5.73,5.6,5.7,46220183.0
2022-10-12,5.68,6.04,5.66,5.99,71870577.0
2022-10-13,5.99,6.03,5.89,5.99,38615684.0
2022-10-14,6.06,6.14,5.9,5.9,71220002.0
2022-10-17,5.9,6.01,5.86,5.91,33644505.0
2022-10-18,5.92,6.08,5.92,6.05,74579647.0
2022-10-19,6.1,6.25,6.03,6.15,77604167.0
2022-10-20,6.17,6.22,5.9,6.1,63409059.0
2022-10-21,6.0,6.03,5.95,6.0,37977225.0
2022-10-25,6.15,6.16,6.12,6.15,2692866.0
2022-10-26,6.15,6.25,6.14,6.16,9229142.0
2022-10-27,6.14,6.23,6.08,6.16,46430958.0
2022-10-28,6.2,6.25,6.11,6.25,47089421.0
2022-11-02,6.25,6.36,6.25,6.3,51581666.0
2022-11-03,6.25,6.25,6.04,6.1,27531116.0
2022-11-04,6.09,6.12,5.93,6.12,41916104.0
2022-11-07,6.12,6.14,5.99,6.05,34824903.0
2022-11-08,6.06,6.11,5.99,6.02,27544854.0
2022-11-09,6.0,6.2,5.97,6.2,34306916.0
