dt,open,high,low,close,value
2023-06-01,0.73,0.76,0.73,0.73,17750.0
2023-06-02,,,,,
2023-06-05,0.77,0.78,0.77,0.78,48260.0
2023-06-06,0.75,0.77,0.74,0.75,32380.0
2023-06-07,,,,,
2023-06-08,0.78,0.78,0.73,0.73,330330.0
2023-06-09,0.73,0.73,0.73,0.73,24090.0
2023-06-13,0.73,0.73,0.71,0.72,149930.0
2023-06-14,0.71,0.71,0.71,0.71,1420.0
2023-06-15,0.72,0.72,0.71,0.71,110250.0
2023-06-16,0.71,0.73,0.71,0.72,67280.0
2023-06-19,0.72,0.72,0.72,0.72,12240.0
2023-06-20,0.73,0.77,0.73,0.73,542700.0
2023-06-21,0.74,0.74,0.74,0.74,244200.0
2023-06-22,0.77,0.78,0.75,0.76,198890.0
2023-06-23,0.78,0.78,0.73,0.76,24170.0
2023-06-26,0.74,0.74,0.74,0.74,8880.0
2023-06-27,,,,,
2023-06-29,0.74,0.76,0.74,0.76,77500.0
2023-06-30,0.75,0.82,0.75,0.77,86070.0
2023-07-03,0.8,0.82,0.8,0.8,252170.0
2023-07-04,0.8,0.82,0.78,0.78,30840.0
2023-07-05,0.77,0.79,0.77,0.79,123990.0
2023-07-06,0.76,0.79,0.75,0.79,40740.0
2023-07-07,0.78,0.78,0.77,0.77,38900.0
2023-07-10,0.79,0.8,0.79,0.8,8730.0
2023-07-11,0.78,0.78,0.78,0.78,15600.0
2023-07-12,0.76,0.76,0.76,0.76,6080.0
2023-07-13,0.77,0.78,0.77,0.78,15500.0
2023-07-14,0.76,0.76,0.75,0.75,89360.0
2023-07-17,0.75,0.75,0.75,0.75,14250.0
2023-07-18,,,,,
2023-07-19,0.74,0.75,0.73,0.73,39780.0
2023-07-20,0.73,0.74,0.73,0.73,158950.0
2023-07-21,0.73,0.73,0.7,0.71,285130.0
2023-07-24,0.71,0.71,0.71,0.71,7100.0
2023-07-25,0.74,0.75,0.74,0.75,19400.0
2023-07-26,0.72,0.74,0.72,0.74,23820.0
2023-07-27,0.74,0.75,0.74,0.75,186240.0
2023-07-28,,,,,
2023-07-31,0.72,0.75,0.71,0.75,12330.0
2023-08-01,0.74,0.75,0.74,0.75,5940.0
2023-08-02,0.71,0.71,0.71,0.71,21300.0
2023-08-03,0.73,0.74,0.71,0.71,274840.0
2023-08-04,,,,,
2023-08-07,0.71,0.73,0.7,0.71,65100.0
2023-08-08,0.7,0.72,0.7,0.72,20060.0
2023-08-09,0.7,0.73,0.7,0.71,930330.0
2023-08-10,,,,,
2023-08-11,,,,,
2023-08-14,,,,,
2023-08-15,0.77,0.77,0.76,0.76,11450.0
2023-08-16,0.72,0.76,0.71,0.71,485890.0
2023-08-17,0.75,0.75,0.72,0.72,14700.0
2023-08-18,0.75,0.75,0.75,0.75,38250.0
2023-08-22,0.74,0.77,0.74,0.77,5950.0
2023-08-23,0.76,0.76,0.72,0.74,128800.0
2023-08-24,0.73,0.73,0.7,0.7,232860.0
2023-08-25,0.73,0.73,0.73,0.73,4380.0
2023-08-29,0.71,0.71,0.71,0.71,42600.0
2023-08-30,0.73,0.73,0.71,0.71,31420.0
2023-08-31,0.71,0.71,0.68,0.68,220660.0
2023-09-01,0.71,0.71,0.71,0.71,35500.0
2023-09-04,0.71,0.75,0.71,0.72,243500.0
2023-09-05,,,,,
2023-09-06,0.71,0.71,0.71,0.71,244950.0
2023-09-07,0.72,0.72,0.7,0.7,24600.0
2023-09-08,0.69,0.7,0.69,0.69,307360.0
2023-09-11,0.69,0.69,0.68,0.68,476200.0
2023-09-12,0.7,0.7,0.68,0.68,68080.0
2023-09-13,0.67,0.68,0.67,0.68,95080.0
2023-09-14,0.71,0.71,0.67,0.67,196920.0
2023-09-15,0.68,0.68,0.66,0.66,83200.0
2023-09-18,0.66,0.66,0.64,0.64,222060.0
2023-09-19,0.64,0.64,0.63,0.63,19090.0
2023-09-20,0.63,0.65,0.63,0.64,237160.0
2023-09-21,0.65,0.65,0.64,0.64,149860.0
2023-09-22,,,,,
2023-09-25,0.68,0.68,0.63,0.63,189970.0
2023-09-26,0.63,0.64,0.61,0.63,46830.0
2023-09-27,0.62,0.62,0.61,0.61,306240.0
2023-09-28,0.62,0.65,0.61,0.62,162150.0
2023-09-29,0.61,0.63,0.6,0.61,630840.0
2023-10-02,0.62,0.62,0.61,0.61,614390.0
2023-10-03,0.6,0.63,0.6,0.63,423630.0
2023-10-04,0.6,0.61,0.6,0.6,347410.0
2023-10-05,0.6,0.6,0.59,0.59,42190.0
2023-10-06,0.6,0.61,0.58,0.58,231180.0
2023-10-09,,,,,
2023-10-10,,,,,
2023-10-11,0.6,0.6,0.6,0.6,8400.0
2023-10-12,0.6,0.6,0.58,0.58,336190.0
2023-10-13,,,,,
2023-10-16,0.58,0.58,0.58,0.58,17400.0
2023-10-17,0.58,0.58,0.58,0.58,69600.0
2023-10-18,0.59,0.59,0.57,0.58,520030.0
2023-10-19,,,,,
2023-10-20,0.61,0.61,0.56,0.56,123450.0
2023-10-23,0.57,0.6,0.55,0.6,52140.0
2023-10-24,0.59,0.62,0.58,0.6,272650.0
2023-10-25,0.6,0.6,0.57,0.57,12000.0
2023-10-26,0.56,0.62,0.56,0.6,30250.0
2023-10-27,0.57,0.57,0.55,0.55,143920.0
2023-10-31,0.56,0.56,0.55,0.55,338040.0
2023-11-03,0.55,0.6,0.55,0.55,350400.0
2023-11-06,0.57,0.59,0.55,0.55,496960.0
2023-11-07,,,,,
2023-11-08,0.56,0.56,0.55,0.55,385400.0
2023-11-09,0.54,0.55,0.54,0.55,366290.0
