dt,open,high,low,close,value
2023-06-01,659.0,659.0,640.5,645.0,449245010.0
2023-06-02,646.5,658.0,636.5,658.0,432889285.0
2023-06-05,664.5,674.5,658.0,670.0,183733205.0
2023-06-06,671.0,674.5,655.0,655.0,155698635.0
2023-06-07,656.0,676.0,655.0,674.0,229695520.0
2023-06-08,667.5,682.0,667.0,677.0,425991695.0
2023-06-09,676.5,681.5,674.0,679.5,376923325.0
2023-06-13,676.0,685.0,667.5,676.0,320652165.0
2023-06-14,675.0,683.5,646.0,653.0,212976080.0
2023-06-15,652.0,662.0,634.5,635.0,315675170.0
2023-06-16,639.0,649.5,615.0,615.0,1128965150.0
2023-06-19,624.0,624.0,603.0,615.0,588393005.0
2023-06-20,616.0,620.0,612.5,620.0,173187915.0
2023-06-21,620.0,625.0,613.0,615.0,203981120.0
2023-06-22,616.0,631.5,614.0,624.0,199352255.0
2023-06-23,620.0,625.0,613.5,615.0,189821820.0
2023-06-26,618.0,639.0,614.0,635.0,202105170.0
2023-06-27,634.0,645.0,625.0,630.0,162154475.0
2023-06-29,631.0,647.5,631.0,640.0,107993255.0
2023-06-30,646.0,646.0,625.0,625.0,164676730.0
2023-07-03,630.0,633.0,625.0,628.0,70801740.0
2023-07-04,630.0,642.0,628.0,638.0,78473580.0
2023-07-05,634.0,635.5,625.0,630.0,278587375.0
2023-07-06,629.0,629.0,613.0,614.5,339761020.0
2023-07-07,614.5,619.5,605.0,605.0,253246020.0
2023-07-10,609.0,609.0,602.0,602.0,125958875.0
2023-07-11,603.5,610.0,603.0,603.5,134664700.0
2023-07-12,609.0,618.0,605.5,613.5,121083335.0
2023-07-13,619.0,624.0,615.5,619.0,164724150.0
2023-07-14,621.0,622.5,607.0,614.0,231142100.0
2023-07-17,614.0,622.0,611.0,611.0,91526800.0
2023-07-18,619.0,628.5,609.0,615.0,152098555.0
2023-07-19,619.0,621.0,611.0,620.0,89720520.0
2023-07-20,621.0,633.0,621.0,628.0,169003330.0
2023-07-21,631.5,638.0,628.0,634.5,158821635.0
2023-07-24,635.0,641.0,635.0,639.0,138023125.0
2023-07-25,639.0,646.0,633.5,641.0,153820455.0
2023-07-26,642.0,644.0,635.0,643.0,113273780.0
2023-07-27,639.5,639.5,629.0,630.5,204645640.0
2023-07-28,628.0,635.0,621.5,624.5,80685300.0
2023-07-31,625.5,629.0,615.0,615.0,303658745.0
2023-08-01,620.0,623.0,607.5,613.0,171752200.0
2023-08-02,613.0,618.0,609.0,611.5,165739450.0
2023-08-03,610.0,623.0,610.0,620.0,122813495.0
2023-08-04,623.0,624.0,618.5,619.5,7408490.0
2023-08-07,615.0,626.5,612.0,624.0,139127840.0
2023-08-08,624.0,624.0,611.5,612.5,193156000.0
2023-08-09,620.0,622.5,615.5,622.0,97563790.0
2023-08-10,620.0,620.0,613.5,616.5,114933590.0
2023-08-11,615.5,615.5,604.0,604.0,325454570.0
2023-08-14,607.0,609.5,593.0,593.0,254183825.0
2023-08-15,594.0,609.5,592.0,600.0,107283320.0
2023-08-16,603.0,603.0,595.0,599.5,153083050.0
2023-08-17,598.5,601.0,593.0,593.0,180528985.0
2023-08-18,594.0,595.0,588.0,590.0,139726005.0
2023-08-22,592.0,595.0,585.0,585.0,274928330.0
2023-08-23,590.0,595.0,588.0,593.0,82370730.0
2023-08-24,595.0,608.0,594.0,595.0,175204120.0
2023-08-25,596.5,605.0,591.0,598.0,165068485.0
2023-08-29,600.0,615.0,600.0,615.0,382653345.0
2023-08-30,616.0,629.5,616.0,616.0,240707890.0
2023-08-31,616.0,619.5,597.0,616.0,2245437205.0
2023-09-01,612.0,618.0,607.0,609.0,110079310.0
2023-09-04,615.0,626.0,610.5,625.0,145837620.0
2023-09-05,625.0,629.0,618.5,628.0,302902875.0
2023-09-06,625.0,629.5,616.0,620.0,289262500.0
2023-09-07,620.0,621.0,615.0,618.0,113371820.0
2023-09-08,620.0,624.0,617.0,624.0,72165280.0
2023-09-11,624.0,626.5,617.0,623.0,85507280.0
2023-09-12,622.0,629.0,620.0,625.0,137742000.0
2023-09-13,622.0,628.0,617.0,621.0,265142785.0
2023-09-14,622.0,627.0,619.0,627.0,145884680.0
2023-09-15,626.5,631.0,619.5,619.5,237397020.0
2023-09-18,620.0,622.5,615.0,622.5,75324055.0
2023-09-19,623.0,623.0,606.0,610.0,40370660.0
2023-09-20,611.0,611.5,600.0,610.0,95713310.0
2023-09-21,611.5,613.0,602.0,613.0,98258960.0
2023-09-22,614.0,614.0,601.5,612.0,86559010.0
2023-09-25,613.5,615.0,602.0,602.0,80793900.0
2023-09-26,604.0,618.5,604.0,613.0,208844545.0
2023-09-27,613.0,626.5,608.0,626.0,254122495.0
2023-09-28,627.0,632.0,623.5,630.0,258514335.0
2023-09-29,630.0,632.0,620.5,624.0,147965950.0
2023-10-02,625.0,629.5,625.0,625.0,67086770.0
2023-10-03,625.0,626.0,617.5,623.0,71748345.0
2023-10-04,620.0,624.5,616.0,617.0,71387435.0
2023-10-05,617.0,620.5,605.0,605.0,165280265.0
2023-10-06,607.0,624.5,606.0,620.5,137401935.0
2023-10-09,616.0,619.5,610.0,616.0,99227310.0
2023-10-10,617.0,622.0,615.0,615.5,72043830.0
2023-10-11,622.0,624.0,615.0,615.5,107142690.0
2023-10-12,614.5,620.0,614.5,616.5,133253435.0
2023-10-13,619.0,620.5,615.0,615.0,65906160.0
2023-10-16,615.0,618.5,611.0,611.0,75822350.0
2023-10-17,617.0,623.5,615.0,620.0,70289900.0
2023-10-18,622.0,623.0,615.5,620.0,25358455.0
2023-10-19,619.5,619.5,610.5,610.5,55319070.0
2023-10-20,616.0,616.0,607.0,615.0,78533655.0
2023-10-23,610.0,614.5,605.0,609.0,86991560.0
2023-10-24,607.0,608.5,602.0,602.0,76483170.0
2023-10-25,603.0,608.0,601.0,604.5,60875150.0
2023-10-26,605.0,607.0,603.5,604.0,35798710.0
2023-10-27,603.0,606.0,601.5,603.0,124394600.0
2023-10-31,602.5,607.0,602.0,605.5,107265320.0
2023-11-03,610.0,618.0,607.0,616.0,71692330.0
2023-11-06,616.0,624.5,615.0,624.5,79186605.0
2023-11-07,623.0,623.0,618.0,623.0,102179745.0
2023-11-08,623.0,624.0,615.0,623.5,64478665.0
2023-11-09,622.5,630.5,620.0,630.5,133904225.0
2023-11-10,629.0,629.5,625.0,627.0,65562560.0
2023-11-13,629.0,629.0,616.5,620.0,54807020.0
2023-11-14,618.5,624.5,617.5,620.0,93040190.0
