dt,open,high,low,close,value
2023-06-01,54.5,54.5,52.0,52.4,52549858.5
2023-06-02,53.0,54.95,53.0,54.95,24232667.0
2023-06-05,54.95,54.95,54.1,54.15,10511159.0
2023-06-06,54.2,54.3,53.55,54.2,25471544.5
2023-06-07,54.2,55.1,54.0,55.1,39056251.0
2023-06-08,54.5,55.0,54.2,55.0,6160980.0
2023-06-09,55.0,55.0,54.0,55.0,15560828.0
2023-06-13,54.5,54.8,52.6,54.15,30238399.0
2023-06-14,54.25,54.95,53.1,54.15,9514451.0
2023-06-15,53.15,54.5,53.15,54.5,14606125.0
2023-06-16,53.2,57.45,53.2,57.45,119611476.0
2023-06-19,56.9,56.9,55.7,56.5,32746556.5
2023-06-20,56.4,56.5,55.5,56.5,16363481.0
2023-06-21,55.6,56.1,52.0,52.0,43821295.0
2023-06-22,53.9,54.5,52.2,53.85,33445301.0
2023-06-23,54.7,54.7,53.15,53.95,8815147.0
2023-06-26,54.0,55.95,54.0,54.2,21511277.0
2023-06-27,54.25,55.95,53.0,53.0,29350409.5
2023-06-29,53.25,54.3,53.25,53.5,17095188.5
2023-06-30,54.0,54.6,53.5,54.4,17152167.0
2023-07-03,54.0,54.65,54.0,54.65,9931962.5
2023-07-04,54.65,54.9,54.1,54.1,3997636.0
2023-07-05,54.05,56.0,53.45,56.0,26982473.5
2023-07-06,55.4,56.0,54.7,56.0,16619450.5
2023-07-07,54.7,55.4,53.85,54.0,22896027.5
2023-07-10,55.0,55.0,54.0,54.75,6294053.0
2023-07-11,54.75,55.4,53.95,53.95,15345156.5
2023-07-12,54.0,55.25,54.0,55.25,6575482.5
2023-07-13,55.2,55.95,54.5,55.95,19925235.0
2023-07-14,55.95,55.95,54.65,55.9,36371459.0
2023-07-17,55.8,55.8,53.7,53.7,95709626.0
2023-07-18,54.7,54.7,53.0,53.0,42128213.5
2023-07-19,53.95,54.1,53.3,53.3,26839966.5
2023-07-20,53.85,54.35,53.35,53.7,45961119.0
2023-07-21,53.9,54.65,53.5,53.65,63810687.0
2023-07-24,54.0,54.4,53.3,53.65,5802566.5
2023-07-25,54.45,54.45,53.55,53.55,22044004.0
2023-07-26,53.55,54.65,53.55,54.65,22696359.0
2023-07-27,54.65,55.5,53.95,55.5,33666234.0
2023-07-28,55.5,55.5,54.55,55.3,15327638.0
2023-07-31,55.0,55.2,53.8,53.8,40662333.0
2023-08-01,54.95,54.95,54.3,54.5,7574867.5
2023-08-02,54.7,54.7,52.05,52.05,54564220.5
2023-08-03,53.3,53.3,52.15,52.8,11909644.5
2023-08-04,53.3,53.6,53.1,53.6,169551.5
2023-08-07,51.0,51.4,50.15,50.6,104167215.0
2023-08-08,51.0,51.0,49.95,49.95,56049405.5
2023-08-09,49.95,50.6,49.75,50.3,52381415.0
2023-08-10,50.3,50.3,49.05,49.05,72633324.0
2023-08-11,49.6,49.6,47.9,47.9,62548815.0
2023-08-14,48.55,48.55,46.5,46.5,45200045.0
2023-08-15,47.0,47.4,45.6,46.1,231408785.0
2023-08-16,47.4,48.05,46.8,48.05,22900575.0
2023-08-17,48.05,48.1,47.0,47.0,43544840.0
2023-08-18,47.9,47.9,47.05,47.05,56315300.0
2023-08-22,47.7,47.7,47.1,47.4,50138630.0
2023-08-23,47.4,47.7,47.25,47.35,18009860.0
2023-08-24,47.35,48.35,47.1,47.1,14344435.0
2023-08-25,47.15,47.3,47.15,47.25,22853000.0
2023-08-29,47.4,47.95,47.4,47.45,20877380.0
2023-08-30,47.5,48.3,47.5,47.95,42278885.0
2023-08-31,48.0,48.3,47.0,47.0,203849290.0
2023-09-01,47.8,47.8,47.0,47.15,30618535.0
2023-09-04,47.15,47.75,47.15,47.65,6537975.0
2023-09-05,47.15,47.95,47.15,47.5,18324615.0
2023-09-06,48.0,48.0,47.2,47.7,43182010.0
2023-09-07,47.7,48.75,47.2,48.65,56733095.0
2023-09-08,48.7,49.0,48.0,49.0,153455580.0
2023-09-11,49.0,49.0,48.1,48.1,10393190.0
2023-09-12,48.15,48.4,48.0,48.4,11867555.0
2023-09-13,48.4,48.4,47.85,47.85,16541225.0
2023-09-14,48.1,48.7,47.5,48.7,71059020.0
2023-09-15,48.7,48.7,47.25,47.25,59993055.0
2023-09-18,47.25,47.3,45.05,45.7,52869595.0
2023-09-19,45.7,46.3,45.2,45.7,18072540.0
2023-09-20,45.25,46.2,45.1,46.0,32073815.0
2023-09-21,45.2,45.8,45.0,45.8,12439100.0
2023-09-22,45.9,46.45,45.2,46.3,16149870.0
2023-09-25,47.0,47.0,46.1,46.1,9291850.0
2023-09-26,46.15,46.8,46.05,46.1,27136845.0
2023-09-27,46.1,48.2,45.9,48.2,64700060.0
2023-09-28,48.2,50.4,48.2,50.15,166613130.0
2023-09-29,50.15,50.3,48.7,50.15,80386394.0
2023-10-02,50.1,50.1,49.1,49.6,43442609.5
2023-10-03,49.8,50.0,49.15,50.0,28935515.0
2023-10-04,49.9,49.9,49.25,49.75,21580858.5
2023-10-05,49.25,49.8,49.15,49.3,72813790.0
2023-10-06,49.3,49.95,48.75,49.4,51652375.0
2023-10-09,48.65,49.35,48.65,49.0,3248940.0
2023-10-10,49.0,49.5,48.8,49.5,17322045.0
2023-10-11,48.9,50.2,48.9,49.35,32567805.0
2023-10-12,49.5,49.9,49.2,49.55,31861235.0
2023-10-13,49.4,50.0,49.4,49.7,15490560.0
2023-10-16,49.7,49.8,49.3,49.7,21378350.0
2023-10-17,49.7,50.0,49.6,49.75,39525815.0
2023-10-18,49.75,49.95,49.2,49.5,17442685.0
2023-10-19,49.85,49.85,49.1,49.1,37685760.0
2023-10-20,49.15,49.5,48.1,48.1,23092150.0
2023-10-23,48.15,48.15,47.0,47.4,18130715.0
2023-10-24,47.95,47.95,47.3,47.3,47401870.0
2023-10-25,48.1,48.1,46.8,47.4,73034160.0
2023-10-26,47.5,47.5,46.5,47.3,5141690.0
2023-10-27,46.1,47.0,46.1,46.4,23080375.0
2023-10-31,46.4,46.4,45.55,45.8,68934365.0
2023-11-03,45.8,46.85,45.55,45.7,50090180.0
2023-11-06,45.7,46.7,45.65,46.05,25883760.0
2023-11-07,46.05,46.95,45.8,46.95,13458775.0
2023-11-08,46.9,47.6,46.5,47.6,22577305.0
2023-11-09,47.55,48.8,47.3,48.8,29491505.0
2023-11-10,48.8,48.95,48.2,48.9,37845565.0
2023-11-13,49.25,49.25,48.25,48.45,2708650.0
2023-11-14,48.45,48.5,47.2,48.1,33304140.0
