dt,open,high,low,close,value
2023-06-01,13.2,13.58,13.2,13.38,58064864.0
2023-06-02,13.5,13.74,13.4,13.7,67386388.0
2023-06-05,13.72,14.08,13.72,14.0,58656216.0
2023-06-06,14.1,14.28,14.0,14.0,48410408.0
2023-06-07,14.0,14.2,13.76,13.8,38134292.0
2023-06-08,13.8,13.92,13.72,13.72,26132568.0
2023-06-09,13.72,13.88,13.52,13.58,22850546.0
2023-06-13,13.58,13.6,13.14,13.48,14457538.0
2023-06-14,13.46,13.46,13.04,13.3,10310480.0
2023-06-15,13.1,13.26,13.08,13.26,5098462.0
2023-06-16,13.26,13.26,13.1,13.24,14664960.0
2023-06-19,13.12,13.12,12.58,12.62,13421746.0
2023-06-20,12.62,13.0,12.4,13.0,6469700.0
2023-06-21,12.86,13.5,12.62,13.5,20036828.0
2023-06-22,13.44,13.5,13.04,13.06,13476106.0
2023-06-23,12.86,13.4,12.86,13.4,7165834.0
2023-06-26,13.4,13.5,13.02,13.26,4410216.0
2023-06-27,13.14,13.58,13.14,13.42,7395538.0
2023-06-29,13.42,13.48,13.18,13.48,16242100.0
2023-06-30,13.22,13.48,13.22,13.42,11386298.0
2023-07-03,13.42,13.46,13.18,13.18,1000126.0
2023-07-04,13.18,13.2,13.12,13.2,9283480.0
2023-07-05,13.46,13.46,13.3,13.4,6991270.0
2023-07-06,13.4,13.44,13.08,13.2,20103448.0
2023-07-07,13.06,13.28,13.06,13.26,1124366.0
2023-07-10,13.26,13.26,13.06,13.22,7991254.0
2023-07-11,13.02,13.22,13.02,13.22,7172464.0
2023-07-12,13.22,13.22,12.8,12.8,62536590.0
2023-07-13,12.7,12.98,12.64,12.98,13840120.0
2023-07-14,12.98,12.98,12.68,12.74,7203926.0
2023-07-17,12.74,12.96,12.74,12.76,4912462.0
2023-07-18,12.92,12.94,12.7,12.7,3093204.0
2023-07-19,12.94,12.94,12.6,12.62,17800956.0
2023-07-20,12.62,12.78,12.42,12.5,39382632.0
2023-07-21,12.5,12.7,12.26,12.5,12438398.0
2023-07-24,12.5,12.8,12.5,12.8,10148442.0
2023-07-25,12.8,12.8,12.6,12.74,7972032.0
2023-07-26,12.5,12.78,12.5,12.78,39865142.0
2023-07-27,12.54,12.7,12.54,12.56,7094458.0
2023-07-28,12.54,12.54,12.44,12.44,9921278.0
2023-07-31,12.3,12.5,12.3,12.44,20917112.0
2023-08-01,12.44,12.6,12.44,12.56,1448398.0
2023-08-02,12.6,12.7,12.46,12.5,8032088.0
2023-08-03,12.5,12.76,12.5,12.76,6682188.0
2023-08-04,12.76,12.76,12.56,12.72,265236.0
2023-08-07,12.32,12.58,12.2,12.2,6077504.0
2023-08-08,12.24,12.4,12.2,12.34,4534850.0
2023-08-09,12.36,13.0,12.34,13.0,17837812.0
2023-08-10,13.0,13.0,12.52,12.54,5798180.0
2023-08-11,12.68,12.94,12.54,12.94,6173682.0
2023-08-14,12.54,12.78,12.32,12.42,7286194.0
2023-08-15,12.44,12.5,12.42,12.5,40266760.0
2023-08-16,12.5,12.5,12.38,12.5,1940998.0
2023-08-17,12.38,12.46,12.22,12.22,10221010.0
2023-08-18,12.3,12.5,12.2,12.5,12727490.0
2023-08-22,12.48,12.48,12.26,12.28,4539390.0
2023-08-23,12.28,12.3,12.1,12.3,5386008.0
2023-08-24,12.22,12.28,12.12,12.14,4078988.0
2023-08-25,12.12,12.14,12.0,12.0,7958136.0
2023-08-29,11.92,12.0,11.68,12.0,19713506.0
2023-08-30,12.0,12.46,12.0,12.46,14077712.0
2023-08-31,12.48,12.5,12.2,12.5,29302438.0
2023-09-01,12.34,12.5,12.34,12.48,7897060.0
2023-09-04,12.46,12.5,12.46,12.5,7396352.0
2023-09-05,12.42,12.7,12.42,12.7,9765824.0
2023-09-06,12.7,12.8,12.66,12.8,12888814.0
2023-09-07,12.72,12.78,12.66,12.7,5776328.0
2023-09-08,12.66,12.78,12.62,12.68,6373548.0
2023-09-11,12.62,12.7,12.62,12.66,21886170.0
2023-09-12,12.62,12.66,12.3,12.3,25249366.0
2023-09-13,12.3,12.4,12.26,12.3,48914724.0
2023-09-14,12.3,12.68,12.28,12.68,7548328.0
2023-09-15,12.7,12.8,12.38,12.54,36407804.0
2023-09-18,12.54,12.66,12.46,12.52,14789490.0
2023-09-19,12.58,12.6,12.52,12.58,11817380.0
2023-09-20,12.6,12.6,12.54,12.58,9024676.0
2023-09-21,12.6,12.6,12.48,12.5,6191976.0
2023-09-22,12.54,12.58,12.46,12.52,11141196.0
2023-09-25,12.52,12.6,12.42,12.46,8599306.0
2023-09-26,12.54,12.54,12.46,12.5,17264308.0
2023-09-27,12.42,12.5,12.42,12.44,13371182.0
2023-09-28,12.44,12.48,12.36,12.44,16373474.0
2023-09-29,12.44,12.44,12.32,12.32,12433674.0
2023-10-02,12.5,12.5,12.22,12.36,9466608.0
2023-10-03,12.26,12.42,12.22,12.34,5035264.0
2023-10-04,12.44,12.44,12.2,12.28,12042398.0
2023-10-05,12.16,12.28,11.9,11.9,15285458.0
2023-10-06,11.92,12.16,11.68,11.88,24068192.0
2023-10-09,11.88,11.88,11.72,11.72,13618512.0
2023-10-10,11.8,11.88,11.68,11.68,11613748.0
2023-10-11,11.88,11.88,11.66,11.66,13775114.0
2023-10-12,11.66,11.8,11.66,11.7,6807378.0
2023-10-13,11.8,11.88,11.72,11.8,4095288.0
2023-10-16,11.8,11.92,11.7,11.8,50621852.0
