dt,open,high,low,close,value
2022-01-03,0.64,0.64,0.64,0.64,7680.0
2022-01-05,0.61,0.62,0.6,0.62,182120.0
2022-01-06,0.62,0.64,0.6,0.64,25260.0
2022-01-07,,,,,
2022-01-10,0.6,0.64,0.6,0.61,178610.0
2022-01-11,0.61,0.64,0.61,0.64,21560.0
2022-01-12,0.64,0.64,0.64,0.64,3840.0
2022-01-13,0.64,0.64,0.61,0.64,153090.0
2022-01-14,0.62,0.62,0.6,0.61,294810.0
2022-01-17,0.62,0.64,0.6,0.64,202660.0
2022-01-18,0.6,0.63,0.6,0.63,4250.0
2022-01-19,0.62,0.62,0.62,0.62,3100.0
2022-01-20,0.6,0.61,0.6,0.61,654900.0
2022-01-21,0.61,0.62,0.61,0.62,20210.0
2022-01-24,0.6,0.6,0.6,0.6,18000.0
2022-01-25,0.6,0.6,0.6,0.6,48000.0
2022-01-26,0.61,0.61,0.61,0.61,6100.0
2022-01-27,0.61,0.62,0.61,0.62,14060.0
2022-01-28,0.61,0.61,0.61,0.61,88450.0
2022-01-31,0.61,0.62,0.61,0.62,14140.0
2022-02-02,0.62,0.62,0.62,0.62,6200.0
2022-02-03,0.61,0.62,0.61,0.61,34800.0
2022-02-04,0.6,0.61,0.6,0.61,39110.0
2022-02-07,0.6,0.6,0.6,0.6,3000.0
2022-02-08,0.6,0.6,0.6,0.6,21600.0
2022-02-09,0.6,0.6,0.6,0.6,292800.0
2022-02-10,0.62,0.62,0.6,0.6,103290.0
2022-02-11,0.61,0.61,0.61,0.61,69540.0
2022-02-14,0.62,0.62,0.62,0.62,3720.0
2022-02-15,0.61,0.62,0.61,0.62,11090.0
2022-02-16,0.62,0.63,0.62,0.63,630550.0
2022-02-17,0.63,0.63,0.62,0.63,8790.0
2022-02-18,0.62,0.62,0.61,0.61,10420.0
2022-02-21,0.61,0.62,0.61,0.62,90500.0
2022-02-22,0.61,0.61,0.61,0.61,25010.0
2022-02-23,0.61,0.61,0.61,0.61,64660.0
2022-02-24,0.61,0.61,0.61,0.61,209230.0
2022-02-28,0.61,0.61,0.6,0.6,519070.0
2022-03-01,0.6,0.6,0.59,0.6,298650.0
2022-03-02,0.6,0.6,0.59,0.59,53700.0
2022-03-03,0.59,0.6,0.59,0.59,98600.0
2022-03-04,0.58,0.59,0.58,0.59,241040.0
2022-03-07,0.59,0.59,0.55,0.56,1846170.0
2022-03-08,0.55,0.56,0.54,0.56,1179230.0
2022-03-09,0.56,0.56,0.55,0.55,31350.0
2022-03-10,0.54,0.55,0.54,0.55,121650.0
2022-03-11,0.56,0.56,0.54,0.56,185460.0
2022-03-14,0.56,0.56,0.53,0.56,296730.0
2022-03-15,0.56,0.56,0.56,0.56,1680.0
2022-03-16,0.6,0.6,0.6,0.6,3000.0
2022-03-17,0.53,0.55,0.53,0.54,167750.0
2022-03-18,0.56,0.6,0.56,0.6,230960.0
2022-03-21,0.59,0.59,0.59,0.59,11800.0
2022-03-22,0.56,0.56,0.56,0.56,3920.0
2022-03-23,0.56,0.59,0.56,0.59,2890.0
2022-03-24,0.59,0.59,0.56,0.59,82890.0
2022-03-25,0.59,0.59,0.59,0.59,2950.0
2022-03-28,0.56,0.59,0.55,0.59,50450.0
2022-03-29,0.58,0.58,0.55,0.55,13290.0
2022-03-30,0.55,0.55,0.55,0.55,4950.0
2022-03-31,0.58,0.59,0.58,0.59,56850.0
2022-04-01,0.59,0.6,0.59,0.6,325020.0
2022-04-04,,,,,
2022-04-05,0.57,0.6,0.57,0.6,65490.0
2022-04-06,0.58,0.58,0.58,0.58,2900.0
2022-04-07,0.58,0.58,0.58,0.58,11600.0
2022-04-08,0.59,0.59,0.55,0.59,412410.0
2022-04-11,0.56,0.56,0.56,0.56,10080.0
2022-04-12,0.56,0.56,0.56,0.56,8400.0
2022-04-13,0.59,0.59,0.59,0.59,52510.0
2022-04-18,0.58,0.58,0.58,0.58,2900.0
2022-04-19,0.58,0.58,0.55,0.58,25560.0
2022-04-20,,,,,
2022-04-21,0.58,0.58,0.58,0.58,2900.0
2022-04-22,0.56,0.56,0.56,0.56,5600.0
2022-04-25,0.56,0.56,0.55,0.56,46980.0
2022-04-26,0.55,0.58,0.55,0.58,5100.0
2022-04-27,0.58,0.59,0.58,0.58,43720.0
2022-04-28,0.58,0.58,0.56,0.58,16860.0
2022-04-29,0.57,0.58,0.57,0.58,28600.0
2022-05-02,,,,,
2022-05-04,0.57,0.57,0.57,0.57,7980.0
2022-05-05,0.55,0.56,0.55,0.56,108930.0
2022-05-06,0.56,0.57,0.56,0.57,7960.0
2022-05-10,0.55,0.56,0.54,0.56,13700.0
2022-05-11,0.57,0.57,0.53,0.55,60280.0
2022-05-12,0.53,0.54,0.52,0.54,39140.0
2022-05-13,0.54,0.55,0.54,0.55,43980.0
2022-05-16,0.55,0.56,0.55,0.56,21600.0
2022-05-17,0.55,0.55,0.55,0.55,31900.0
2022-05-18,0.56,0.56,0.56,0.56,560.0
2022-05-19,0.56,0.56,0.56,0.56,7840.0
