dt,open,high,low,close,value
2023-06-01,26.4,26.6,25.85,25.85,229991240.0
2023-06-02,26.0,26.15,25.75,25.95,155921865.0
2023-06-05,26.05,26.3,25.85,25.9,160777995.0
2023-06-06,25.95,26.3,25.85,25.9,105261040.0
2023-06-07,25.9,26.65,25.85,26.3,247007535.0
2023-06-08,26.3,26.35,25.8,25.8,182781635.0
2023-06-09,25.85,26.05,24.85,24.85,644672605.0
2023-06-13,24.9,25.6,24.1,25.0,600710765.0
2023-06-14,25.05,25.25,24.0,24.0,493260935.0
2023-06-15,24.25,24.45,23.85,24.25,376759615.0
2023-06-16,24.15,24.75,23.95,24.45,545001185.0
2023-06-19,24.45,24.75,24.0,24.4,230904955.0
2023-06-20,24.35,24.35,23.15,23.15,877790760.0
2023-06-21,23.35,23.7,23.2,23.3,883113850.0
2023-06-22,23.45,23.9,23.2,23.7,354013355.0
2023-06-23,23.9,24.4,23.9,24.4,168353690.0
2023-06-26,24.7,24.9,24.3,24.7,210340275.0
2023-06-27,24.7,25.25,24.7,25.1,187391080.0
2023-06-29,25.2,25.5,25.0,25.1,202909265.0
2023-06-30,25.1,25.2,24.3,24.3,408544930.0
2023-07-03,24.4,24.8,24.4,24.75,102432485.0
2023-07-04,24.75,25.05,24.6,24.7,102915905.0
2023-07-05,24.65,24.9,24.4,24.7,184293735.0
2023-07-06,24.7,24.85,23.9,24.45,217721460.0
2023-07-07,24.45,24.45,23.95,24.0,109090480.0
2023-07-10,24.0,24.25,23.85,24.25,105982205.0
2023-07-11,24.25,24.7,24.05,24.7,224391795.0
2023-07-12,24.75,24.95,24.45,24.75,199701270.0
2023-07-13,24.8,25.1,24.8,24.95,300373215.0
2023-07-14,25.05,25.7,24.95,25.7,957937220.0
2023-07-17,25.7,25.7,25.35,25.45,143530465.0
2023-07-18,25.5,26.05,25.4,25.7,198029400.0
2023-07-19,25.7,26.15,25.7,26.05,166503765.0
2023-07-20,26.1,27.1,26.1,27.0,385246390.0
2023-07-21,26.95,27.4,26.5,27.4,496271655.0
2023-07-24,27.3,27.6,26.85,27.5,150100460.0
2023-07-25,27.55,27.7,27.35,27.45,242527960.0
2023-07-26,27.5,27.5,26.9,27.0,234681070.0
2023-07-27,27.0,27.45,26.7,27.45,246398490.0
2023-07-28,27.25,27.6,27.0,27.5,343336220.0
2023-07-31,27.5,27.95,27.4,27.4,275778035.0
2023-08-01,27.85,28.25,27.6,28.1,505000145.0
2023-08-02,28.1,28.3,27.3,27.65,338517960.0
2023-08-03,27.75,28.95,27.65,28.95,639460355.0
2023-08-04,28.95,29.0,28.7,28.8,113221475.0
2023-08-07,28.5,28.7,27.7,28.7,154483610.0
2023-08-08,28.7,29.45,28.5,29.4,666928400.0
2023-08-09,29.3,29.55,29.15,29.4,326390570.0
2023-08-10,29.0,29.35,29.0,29.3,309859260.0
2023-08-11,29.3,29.35,29.05,29.05,242730410.0
2023-08-14,29.0,29.15,28.75,29.05,370719225.0
2023-08-15,29.05,29.95,29.0,29.65,452017555.0
2023-08-16,29.0,30.0,29.0,30.0,378779915.0
2023-08-17,29.95,30.65,29.6,30.0,640945270.0
2023-08-18,30.0,30.0,29.25,29.5,413704270.0
2023-08-22,29.3,29.45,28.3,28.3,330078290.0
2023-08-23,28.5,28.7,27.9,28.25,128651405.0
2023-08-24,28.25,28.5,28.15,28.25,246633775.0
2023-08-25,28.15,28.5,27.9,28.1,202004940.0
2023-08-29,28.1,28.5,27.95,28.5,833987590.0
2023-08-30,28.55,28.9,28.4,28.7,156373080.0
2023-08-31,28.7,28.7,27.15,27.15,550830065.0
2023-09-01,27.45,28.15,27.45,28.05,103465695.0
2023-09-04,28.05,28.6,27.55,28.6,57588625.0
2023-09-05,28.5,28.6,27.9,28.6,103418755.0
2023-09-06,28.55,28.55,28.05,28.35,102448395.0
2023-09-07,28.05,28.05,27.35,27.35,212410520.0
2023-09-08,27.5,28.8,27.3,28.8,190056230.0
2023-09-11,28.3,28.55,28.1,28.55,69458700.0
2023-09-12,28.55,28.95,28.25,28.25,113727910.0
2023-09-13,28.25,28.35,27.7,27.7,63725825.0
2023-09-14,27.7,27.95,27.5,27.85,63288365.0
2023-09-15,27.6,27.9,27.05,27.15,292463835.0
2023-09-18,27.2,27.8,26.85,27.8,175110115.0
2023-09-19,27.3,27.7,26.5,26.8,244004790.0
2023-09-20,26.75,27.0,26.2,26.8,198934615.0
2023-09-21,27.0,27.5,26.65,27.5,139282825.0
2023-09-22,27.3,27.85,27.25,27.85,98534440.0
2023-09-25,27.85,28.45,27.2,28.45,269998105.0
2023-09-26,28.45,29.75,28.2,29.5,431941965.0
2023-09-27,29.2,29.75,28.85,29.5,422007400.0
2023-09-28,29.25,29.45,29.0,29.2,104019500.0
2023-09-29,29.2,29.45,28.9,29.45,449305760.0
2023-10-02,29.45,29.65,29.0,29.5,171980605.0
2023-10-03,29.3,29.5,28.8,29.2,201445750.0
2023-10-04,29.1,29.35,28.7,28.7,275597600.0
2023-10-05,28.65,29.1,28.45,28.6,389632220.0
2023-10-06,28.6,28.8,28.25,28.45,242159695.0
2023-10-09,28.45,28.9,28.25,28.7,77603435.0
2023-10-10,28.7,28.85,28.55,28.55,264939245.0
2023-10-11,28.8,29.2,28.55,28.65,323902950.0
2023-10-12,28.7,29.3,28.35,29.3,190721210.0
2023-10-13,29.3,29.35,29.05,29.3,119104215.0
2023-10-16,29.3,29.3,28.8,28.85,129965045.0
2023-10-17,29.0,29.45,28.95,29.3,294437225.0
2023-10-18,29.3,29.75,28.95,29.75,223136295.0
2023-10-19,29.35,29.55,29.1,29.5,99943465.0
2023-10-20,29.1,29.3,28.6,28.65,126696710.0
2023-10-23,28.6,28.6,28.1,28.15,281806455.0
2023-10-24,28.15,28.4,27.85,28.4,208609670.0
2023-10-25,28.3,28.35,27.9,28.0,143703680.0
2023-10-26,28.0,28.0,27.4,27.8,242101455.0
2023-10-27,27.45,27.6,26.8,26.8,266866380.0
2023-10-31,26.75,28.0,26.2,27.85,390582395.0
2023-11-03,27.35,28.1,27.35,27.35,206235650.0
2023-11-06,27.55,28.2,27.55,28.1,157474165.0
2023-11-07,28.0,28.25,27.85,28.0,214659660.0
2023-11-08,28.05,29.15,27.7,29.15,281393655.0
2023-11-09,29.4,29.95,29.35,29.5,598013225.0
2023-11-10,29.05,29.2,28.55,28.95,185666080.0
2023-11-13,28.95,29.0,28.75,28.85,88592620.0
2023-11-14,28.9,29.55,28.9,29.3,306686070.0
2023-11-15,29.5,29.9,29.1,29.5,272994360.0
2023-11-16,29.5,29.5,29.2,29.35,71269345.0
2023-11-17,29.4,29.7,29.15,29.7,241916375.0
2023-11-20,29.4,29.85,29.25,29.85,194075700.0
2023-11-21,29.8,29.9,29.6,29.85,238947010.0
