dt,open,high,low,close,value
2023-06-01,0.199,0.2,0.19,0.195,2475990.0
2023-06-02,0.197,0.199,0.19,0.198,4552930.0
2023-06-05,0.198,0.201,0.198,0.2,1450420.0
2023-06-06,0.2,0.205,0.2,0.202,2453560.0
2023-06-07,0.204,0.204,0.199,0.2,1177990.0
2023-06-08,0.2,0.2,0.199,0.199,534140.0
2023-06-09,0.2,0.2,0.196,0.196,2158200.0
2023-06-13,0.197,0.197,0.191,0.192,1546560.0
2023-06-14,0.195,0.195,0.191,0.192,840640.0
2023-06-15,0.192,0.192,0.19,0.191,1038900.0
2023-06-16,0.191,0.194,0.19,0.194,474350.0
2023-06-19,0.193,0.195,0.19,0.195,1869660.0
2023-06-20,0.194,0.194,0.191,0.193,254050.0
2023-06-21,0.192,0.193,0.191,0.191,486220.0
2023-06-22,0.191,0.192,0.19,0.191,1872170.0
2023-06-23,0.192,0.193,0.191,0.192,303420.0
2023-06-26,0.192,0.197,0.192,0.195,1478460.0
2023-06-27,0.198,0.204,0.195,0.203,2433700.0
2023-06-29,0.204,0.204,0.197,0.197,2269940.0
2023-06-30,0.198,0.201,0.197,0.197,1928080.0
2023-07-03,0.197,0.2,0.196,0.198,782080.0
2023-07-04,0.197,0.198,0.196,0.197,679100.0
2023-07-05,0.197,0.197,0.192,0.192,1472320.0
2023-07-06,0.192,0.193,0.191,0.191,1046990.0
2023-07-07,0.192,0.195,0.191,0.195,519080.0
2023-07-10,0.194,0.195,0.191,0.191,592490.0
2023-07-11,0.192,0.194,0.19,0.19,737220.0
2023-07-12,0.19,0.193,0.19,0.191,585290.0
2023-07-13,0.191,0.194,0.19,0.194,706940.0
2023-07-14,0.194,0.2,0.194,0.2,1639070.0
2023-07-17,0.198,0.2,0.195,0.195,611470.0
2023-07-18,0.2,0.2,0.192,0.192,431000.0
2023-07-19,0.192,0.195,0.19,0.195,480700.0
2023-07-20,0.195,0.197,0.195,0.196,530930.0
2023-07-21,0.197,0.197,0.194,0.196,676960.0
2023-07-24,0.194,0.196,0.191,0.195,1007010.0
2023-07-25,0.195,0.195,0.193,0.193,579800.0
2023-07-26,0.195,0.195,0.193,0.193,413860.0
2023-07-27,0.193,0.194,0.19,0.191,1851560.0
2023-07-28,0.191,0.194,0.191,0.192,504870.0
2023-07-31,0.192,0.193,0.192,0.192,280380.0
2023-08-01,0.192,0.193,0.191,0.193,429280.0
2023-08-02,0.191,0.192,0.19,0.19,1779600.0
2023-08-03,0.191,0.192,0.19,0.191,223050.0
2023-08-04,0.19,0.19,0.187,0.189,680630.0
2023-08-07,0.186,0.187,0.186,0.186,415360.0
2023-08-08,0.186,0.188,0.184,0.184,824170.0
2023-08-09,0.184,0.185,0.18,0.181,728730.0
2023-08-10,0.181,0.183,0.18,0.182,668040.0
2023-08-11,0.182,0.182,0.178,0.178,1100140.0
2023-08-14,0.178,0.18,0.178,0.178,529660.0
2023-08-15,0.177,0.179,0.177,0.177,883560.0
2023-08-16,0.177,0.179,0.165,0.17,2344460.0
2023-08-17,0.17,0.173,0.168,0.168,763300.0
2023-08-18,0.168,0.172,0.165,0.169,774000.0
2023-08-22,0.167,0.168,0.163,0.163,883440.0
2023-08-23,0.166,0.171,0.165,0.166,774310.0
2023-08-24,0.167,0.175,0.167,0.174,1091840.0
2023-08-25,0.174,0.174,0.169,0.172,452650.0
2023-08-29,0.17,0.171,0.169,0.171,396940.0
2023-08-30,0.171,0.175,0.17,0.174,768520.0
2023-08-31,0.173,0.174,0.17,0.173,507650.0
2023-09-01,0.172,0.175,0.17,0.17,349490.0
2023-09-04,0.176,0.176,0.169,0.174,438210.0
2023-09-05,0.174,0.175,0.173,0.175,160170.0
2023-09-06,0.175,0.176,0.17,0.176,423070.0
2023-09-07,0.176,0.176,0.171,0.171,182240.0
2023-09-08,0.175,0.176,0.172,0.176,500160.0
2023-09-11,0.176,0.176,0.169,0.175,304530.0
2023-09-12,0.174,0.176,0.168,0.17,1699330.0
2023-09-13,0.17,0.174,0.167,0.168,575590.0
2023-09-14,0.169,0.169,0.165,0.169,238970.0
2023-09-15,0.168,0.168,0.165,0.166,857560.0
2023-09-18,0.166,0.166,0.162,0.166,536130.0
2023-09-19,0.163,0.166,0.162,0.163,518970.0
2023-09-20,0.163,0.167,0.162,0.165,386490.0
2023-09-21,0.165,0.168,0.163,0.163,259760.0
2023-09-22,0.164,0.168,0.163,0.166,717420.0
2023-09-25,0.168,0.168,0.166,0.167,60250.0
2023-09-26,0.168,0.171,0.166,0.171,703880.0
2023-09-27,0.172,0.178,0.17,0.178,2295520.0
2023-09-28,0.179,0.19,0.179,0.187,4487580.0
2023-09-29,0.188,0.195,0.188,0.193,2187390.0
2023-10-02,0.193,0.193,0.187,0.188,1034510.0
2023-10-03,0.188,0.197,0.188,0.191,1782800.0
2023-10-04,0.191,0.192,0.189,0.189,347220.0
2023-10-05,0.189,0.193,0.189,0.191,844540.0
2023-10-06,0.191,0.191,0.18,0.181,2467650.0
2023-10-09,0.184,0.186,0.181,0.185,490590.0
2023-10-10,0.185,0.189,0.184,0.186,622400.0
2023-10-11,0.187,0.187,0.181,0.185,963980.0
2023-10-12,0.181,0.185,0.181,0.185,474590.0
2023-10-13,0.182,0.184,0.182,0.182,162290.0
2023-10-16,0.182,0.185,0.18,0.181,993770.0
2023-10-17,0.181,0.185,0.176,0.184,2031080.0
2023-10-18,0.183,0.183,0.178,0.183,618690.0
2023-10-19,0.183,0.183,0.178,0.181,854240.0
2023-10-20,0.181,0.181,0.176,0.18,395360.0
2023-10-23,0.18,0.18,0.172,0.175,438480.0
2023-10-24,0.172,0.177,0.172,0.175,294340.0
2023-10-25,0.176,0.177,0.175,0.177,428380.0
2023-10-26,0.175,0.18,0.165,0.17,1575680.0
2023-10-27,0.174,0.174,0.167,0.17,235370.0
2023-10-31,0.17,0.172,0.168,0.17,149330.0
2023-11-03,0.17,0.174,0.17,0.174,130800.0
2023-11-06,0.174,0.174,0.171,0.171,490340.0
2023-11-07,0.171,0.174,0.171,0.171,175050.0
2023-11-08,0.172,0.175,0.167,0.175,365260.0
2023-11-09,0.175,0.175,0.17,0.174,135780.0
2023-11-10,0.17,0.174,0.17,0.172,169590.0
2023-11-13,0.171,0.172,0.169,0.171,191010.0
2023-11-14,0.17,0.172,0.168,0.169,684920.0
