dt,open,high,low,close,value
2023-06-01,2.81,2.83,2.8,2.81,415530.0
2023-06-02,2.83,2.83,2.7,2.73,4255080.0
2023-06-05,2.73,2.79,2.7,2.73,1815370.0
2023-06-06,2.79,2.79,2.73,2.75,619550.0
2023-06-07,2.75,2.78,2.72,2.76,874090.0
2023-06-08,2.76,2.77,2.75,2.77,143470.0
2023-06-09,2.77,2.78,2.7,2.77,1655170.0
2023-06-13,2.76,2.76,2.71,2.71,553580.0
2023-06-14,2.75,2.75,2.68,2.71,3861910.0
2023-06-15,2.7,2.7,2.55,2.66,2535690.0
2023-06-16,2.66,2.69,2.6,2.6,1005300.0
2023-06-19,2.66,2.7,2.57,2.57,1609690.0
2023-06-20,2.57,2.59,2.55,2.57,15732380.0
2023-06-21,2.57,2.58,2.48,2.48,2559370.0
2023-06-22,2.46,2.49,2.45,2.48,1878290.0
2023-06-23,2.48,2.5,2.46,2.48,2170910.0
2023-06-26,2.48,2.55,2.48,2.55,1316370.0
2023-06-27,2.57,2.66,2.57,2.62,853840.0
2023-06-29,2.62,2.64,2.57,2.6,1455940.0
2023-06-30,2.6,2.63,2.56,2.59,990500.0
2023-07-03,2.63,2.63,2.55,2.6,3977350.0
2023-07-04,2.62,2.62,2.55,2.59,3055390.0
2023-07-05,2.6,2.6,2.5,2.5,3055140.0
2023-07-06,2.55,2.55,2.44,2.49,3754750.0
2023-07-07,2.48,2.48,2.38,2.43,3307020.0
2023-07-10,2.47,2.47,2.33,2.41,618510.0
2023-07-11,2.4,2.41,2.35,2.4,1163580.0
2023-07-12,2.4,2.4,2.35,2.4,1170170.0
2023-07-13,2.43,2.45,2.36,2.42,1663440.0
2023-07-14,2.42,2.42,2.37,2.39,1864310.0
2023-07-17,2.4,2.42,2.35,2.38,2412490.0
2023-07-18,2.39,2.42,2.39,2.39,834630.0
2023-07-19,2.41,2.41,2.35,2.36,1445370.0
2023-07-20,2.4,2.4,2.34,2.34,8841580.0
2023-07-21,2.38,2.38,2.33,2.33,2305020.0
2023-07-24,2.35,2.36,2.32,2.33,2603670.0
2023-07-25,2.34,2.34,2.32,2.33,2009510.0
2023-07-26,2.37,2.37,2.35,2.36,290410.0
2023-07-27,2.36,2.36,2.29,2.3,6205130.0
2023-07-28,2.3,2.35,2.23,2.25,2244150.0
2023-07-31,2.22,3.04,2.2,3.04,17065020.0
2023-08-01,2.38,2.47,2.29,2.37,11174010.0
