dt,open,high,low,close,value
2022-01-03,0.235,0.24,0.235,0.235,42450.0
2022-01-05,0.235,0.238,0.235,0.238,23670.0
2022-01-06,,,,,
2022-01-07,,,,,
2022-01-10,0.236,0.236,0.236,0.236,2360.0
2022-01-11,0.236,0.237,0.236,0.237,9470.0
2022-01-12,,,,,
2022-01-13,0.236,0.236,0.236,0.236,2360.0
2022-01-14,0.22,0.23,0.22,0.23,9100.0
2022-01-17,0.23,0.236,0.22,0.236,20560.0
2022-01-18,0.226,0.23,0.226,0.23,181410.0
2022-01-19,0.23,0.23,0.23,0.23,71300.0
2022-01-20,0.23,0.238,0.23,0.238,111580.0
2022-01-21,0.238,0.245,0.238,0.24,753290.0
2022-01-24,0.235,0.243,0.22,0.243,122600.0
2022-01-25,0.24,0.24,0.24,0.24,14400.0
2022-01-26,0.229,0.229,0.229,0.229,231290.0
2022-01-27,0.229,0.229,0.229,0.229,22900.0
2022-01-28,0.229,0.229,0.229,0.229,229000.0
2022-01-31,0.222,0.239,0.222,0.237,299230.0
2022-02-02,0.23,0.24,0.226,0.226,154700.0
2022-02-03,,,,,
2022-02-04,0.238,0.249,0.228,0.246,459340.0
2022-02-07,0.246,0.246,0.236,0.246,140710.0
2022-02-08,0.242,0.243,0.242,0.243,12130.0
2022-02-09,0.243,0.243,0.241,0.241,111020.0
2022-02-10,0.246,0.246,0.241,0.241,21990.0
2022-02-11,0.245,0.248,0.241,0.248,323960.0
2022-02-14,0.241,0.241,0.234,0.234,346770.0
2022-02-15,0.234,0.24,0.234,0.234,145140.0
2022-02-16,0.239,0.239,0.234,0.234,7070.0
2022-02-17,0.239,0.26,0.239,0.255,448630.0
2022-02-18,0.26,0.265,0.255,0.265,680450.0
2022-02-21,0.265,0.265,0.25,0.25,230050.0
2022-02-22,0.25,0.27,0.25,0.255,142500.0
2022-02-23,0.255,0.27,0.255,0.265,38800.0
2022-02-24,0.265,0.265,0.25,0.25,639300.0
2022-02-28,0.245,0.25,0.241,0.241,411390.0
2022-03-01,0.241,0.242,0.241,0.242,53130.0
2022-03-02,0.25,0.255,0.241,0.242,194180.0
2022-03-03,0.242,0.255,0.242,0.255,183470.0
2022-03-04,0.25,0.255,0.25,0.255,32650.0
2022-03-07,0.246,0.265,0.24,0.265,407800.0
2022-03-08,0.27,0.27,0.265,0.27,414050.0
2022-03-09,0.27,0.27,0.242,0.25,349780.0
2022-03-10,0.255,0.255,0.242,0.255,158230.0
2022-03-11,0.242,0.243,0.242,0.243,48550.0
2022-03-14,0.243,0.255,0.222,0.255,350000.0
2022-03-15,0.25,0.25,0.222,0.24,120360.0
2022-03-16,0.24,0.24,0.24,0.24,2400.0
2022-03-17,0.23,0.235,0.23,0.23,90200.0
2022-03-18,0.24,0.24,0.24,0.24,33600.0
2022-03-21,0.24,0.24,0.232,0.232,26080.0
2022-03-22,0.232,0.247,0.232,0.232,38620.0
2022-03-23,0.232,0.24,0.23,0.24,154900.0
2022-03-24,0.227,0.228,0.227,0.227,227100.0
2022-03-25,0.226,0.226,0.226,0.226,2260.0
2022-03-28,0.227,0.227,0.227,0.227,11350.0
2022-03-29,0.227,0.227,0.227,0.227,45400.0
2022-03-30,0.228,0.23,0.228,0.23,9140.0
2022-03-31,0.231,0.231,0.231,0.231,2310.0
2022-04-01,0.23,0.24,0.225,0.227,266580.0
2022-04-04,0.247,0.255,0.24,0.25,433930.0
2022-04-05,0.255,0.255,0.235,0.25,16800.0
2022-04-06,0.228,0.24,0.228,0.24,55380.0
2022-04-07,,,,,
2022-04-08,0.23,0.246,0.23,0.246,18880.0
2022-04-11,,,,,
2022-04-12,0.235,0.24,0.235,0.24,11850.0
2022-04-13,,,,,
2022-04-18,0.244,0.244,0.244,0.244,48800.0
2022-04-19,,,,,
2022-04-20,,,,,
2022-04-21,0.234,0.234,0.234,0.234,2340.0
2022-04-22,0.24,0.24,0.24,0.24,9600.0
2022-04-25,0.239,0.239,0.239,0.239,23900.0
2022-04-26,0.239,0.24,0.236,0.24,64660.0
2022-04-27,0.237,0.237,0.22,0.228,777990.0
2022-04-28,0.228,0.239,0.228,0.228,27470.0
2022-04-29,,,,,
2022-05-02,0.225,0.225,0.22,0.22,112960.0
2022-05-04,0.22,0.22,0.218,0.22,92100.0
2022-05-05,0.218,0.232,0.21,0.232,523030.0
2022-05-06,0.23,0.23,0.23,0.23,25300.0
2022-05-10,0.217,0.218,0.215,0.218,201410.0
2022-05-11,0.236,0.25,0.23,0.25,76830.0
2022-05-12,0.223,0.23,0.22,0.23,46960.0
2022-05-13,0.219,0.236,0.218,0.234,53230.0
2022-05-16,0.219,0.219,0.219,0.219,48180.0
2022-05-17,0.218,0.231,0.217,0.231,113840.0
2022-05-18,0.22,0.223,0.216,0.216,436530.0
2022-05-19,0.216,0.22,0.215,0.22,304450.0
2022-05-20,0.215,0.229,0.215,0.226,22330.0
2022-05-23,0.218,0.218,0.215,0.215,151100.0
2022-05-24,0.227,0.227,0.216,0.217,242220.0
2022-05-25,0.216,0.216,0.213,0.213,218620.0
2022-05-26,0.225,0.225,0.225,0.225,6750.0
2022-05-27,0.225,0.225,0.225,0.225,2250.0
2022-05-30,,,,,
2022-05-31,0.214,0.214,0.212,0.212,385070.0
2022-06-01,0.22,0.223,0.22,0.223,66780.0
2022-06-02,0.223,0.223,0.212,0.22,301970.0
2022-06-03,0.223,0.223,0.214,0.214,28450.0
2022-06-06,0.215,0.223,0.213,0.223,69990.0
2022-06-07,0.22,0.225,0.22,0.225,8850.0
2022-06-08,0.225,0.225,0.213,0.214,132820.0
2022-06-09,0.221,0.221,0.213,0.22,106860.0
2022-06-10,0.22,0.22,0.22,0.22,2200.0
2022-06-13,0.213,0.216,0.211,0.216,435600.0
2022-06-14,0.211,0.211,0.21,0.21,244020.0
2022-06-15,0.21,0.216,0.2,0.2,661670.0
2022-06-16,0.21,0.21,0.21,0.21,98700.0
2022-06-17,0.2,0.213,0.195,0.21,126810.0
2022-06-20,,,,,
2022-06-21,0.201,0.201,0.201,0.201,241200.0
2022-06-22,0.2,0.2,0.2,0.2,208000.0
2022-06-23,0.2,0.203,0.2,0.203,176030.0
2022-06-24,0.2,0.2,0.195,0.195,45190.0
2022-06-27,0.195,0.196,0.195,0.196,54850.0
2022-06-28,0.196,0.196,0.196,0.196,39200.0
