dt,open,high,low,close,value
2022-01-03,0.078,0.079,0.076,0.076,9590590.0
2022-01-05,0.076,0.078,0.076,0.076,4114770.0
2022-01-06,0.076,0.076,0.073,0.074,11690450.0
2022-01-07,0.074,0.075,0.073,0.074,2900640.0
2022-01-10,0.073,0.074,0.071,0.073,4935230.0
2022-01-11,0.073,0.073,0.07,0.07,13507770.0
2022-01-12,0.072,0.073,0.07,0.073,9803170.0
2022-01-13,0.072,0.073,0.071,0.073,3377370.0
2022-01-14,0.073,0.074,0.07,0.073,6634210.0
2022-01-17,0.072,0.077,0.071,0.076,13387040.0
2022-01-18,0.076,0.077,0.074,0.075,4607440.0
2022-01-19,0.074,0.075,0.072,0.074,5614560.0
2022-01-20,0.074,0.078,0.072,0.078,24537410.0
2022-01-21,0.078,0.082,0.076,0.078,34287310.0
2022-01-24,0.078,0.078,0.073,0.074,18000040.0
2022-01-25,0.075,0.078,0.072,0.075,14875210.0
2022-01-26,0.075,0.077,0.074,0.075,9495000.0
2022-01-27,0.075,0.075,0.071,0.072,19852110.0
2022-01-28,0.072,0.074,0.071,0.073,5449460.0
2022-01-31,0.073,0.073,0.071,0.072,20545220.0
2022-02-02,0.071,0.073,0.068,0.069,32754170.0
2022-02-03,0.069,0.07,0.065,0.065,40041910.0
2022-02-04,0.066,0.067,0.06,0.065,21980010.0
2022-02-07,0.063,0.065,0.062,0.063,5401820.0
2022-02-08,0.063,0.067,0.063,0.066,8712090.0
2022-02-09,0.065,0.068,0.065,0.067,8731080.0
2022-02-10,0.068,0.068,0.066,0.066,10293340.0
2022-02-11,0.067,0.067,0.064,0.064,4251430.0
2022-02-14,0.064,0.065,0.063,0.065,3729760.0
2022-02-15,0.064,0.066,0.063,0.063,6362350.0
2022-02-16,0.063,0.065,0.062,0.065,2971300.0
2022-02-17,0.064,0.066,0.063,0.065,5037930.0
2022-02-18,0.066,0.066,0.064,0.066,3015450.0
2022-02-21,0.065,0.066,0.064,0.065,3938180.0
2022-02-22,0.065,0.065,0.063,0.064,5295250.0
2022-02-23,0.063,0.065,0.063,0.065,2126940.0
2022-02-24,0.065,0.073,0.064,0.068,62456940.0
2022-02-28,0.07,0.071,0.067,0.068,13687510.0
2022-03-01,0.068,0.072,0.068,0.071,18803100.0
2022-03-02,0.07,0.071,0.068,0.07,10127230.0
2022-03-03,0.069,0.075,0.068,0.074,39880920.0
2022-03-04,0.074,0.075,0.072,0.075,32100760.0
2022-03-07,0.075,0.077,0.069,0.071,56150060.0
2022-03-08,0.072,0.072,0.064,0.064,38252210.0
2022-03-09,0.064,0.065,0.058,0.06,54071670.0
2022-03-10,0.057,0.057,0.047,0.051,118986290.0
2022-03-11,0.047,0.053,0.046,0.049,94444310.0
2022-03-14,0.047,0.049,0.045,0.045,67780200.0
2022-03-15,0.046,0.046,0.039,0.041,91433800.0
2022-03-16,0.041,0.045,0.04,0.042,26972800.0
2022-03-17,0.043,0.044,0.042,0.043,35843300.0
2022-03-18,0.044,0.047,0.043,0.046,25335200.0
2022-03-21,0.047,0.047,0.044,0.044,11263300.0
2022-03-22,0.044,0.044,0.041,0.042,13744800.0
2022-03-23,0.043,0.045,0.042,0.043,10008100.0
2022-03-24,0.044,0.045,0.043,0.043,4328800.0
2022-03-25,0.044,0.044,0.043,0.043,5134300.0
2022-03-28,0.042,0.043,0.042,0.043,6730900.0
2022-03-29,0.043,0.045,0.042,0.045,13646300.0
2022-03-30,0.044,0.045,0.043,0.044,6096900.0
2022-03-31,0.044,0.045,0.043,0.044,3945400.0
2022-04-01,0.045,0.048,0.043,0.047,30866400.0
2022-04-04,0.047,0.05,0.046,0.049,46037000.0
2022-04-05,0.049,0.05,0.048,0.049,29302500.0
2022-04-06,0.049,0.051,0.045,0.045,52893500.0
2022-04-07,0.045,0.046,0.043,0.043,18043300.0
2022-04-08,0.043,0.045,0.042,0.045,14643600.0
2022-04-11,0.045,0.047,0.044,0.046,24208300.0
2022-04-12,0.046,0.051,0.045,0.049,56004500.0
2022-04-13,0.05,0.05,0.046,0.046,26502600.0
2022-04-18,0.046,0.047,0.045,0.045,16072700.0
2022-04-19,0.045,0.047,0.045,0.047,19053000.0
2022-04-20,0.046,0.047,0.045,0.045,13721700.0
2022-04-21,0.045,0.045,0.043,0.044,16838200.0
2022-04-22,0.044,0.045,0.043,0.043,6731000.0
2022-04-25,0.043,0.044,0.042,0.042,7407500.0
2022-04-26,0.042,0.044,0.042,0.043,10999700.0
2022-04-27,0.043,0.044,0.042,0.044,5962800.0
2022-04-28,0.044,0.045,0.043,0.043,6698700.0
2022-04-29,0.044,0.044,0.042,0.043,10785700.0
2022-05-02,0.043,0.044,0.04,0.042,19170700.0
2022-05-04,0.041,0.042,0.04,0.042,4286800.0
2022-05-05,0.042,0.043,0.041,0.043,7514300.0
2022-05-06,0.042,0.042,0.041,0.042,4056800.0
2022-05-10,0.042,0.042,0.04,0.041,13444400.0
2022-05-11,0.042,0.047,0.042,0.047,53114900.0
2022-05-12,0.047,0.048,0.044,0.045,42990500.0
2022-05-13,0.045,0.047,0.045,0.045,9592500.0
2022-05-16,0.045,0.046,0.044,0.046,4691700.0
2022-05-17,0.046,0.046,0.045,0.046,12964200.0
2022-05-18,0.046,0.047,0.045,0.045,26094000.0
2022-05-19,0.046,0.047,0.044,0.047,21660600.0
2022-05-20,0.047,0.05,0.046,0.048,77065000.0
2022-05-23,0.049,0.049,0.047,0.047,18321300.0
2022-05-24,0.046,0.048,0.045,0.045,17298700.0
2022-05-25,0.045,0.046,0.045,0.045,3176400.0
2022-05-26,0.045,0.046,0.044,0.045,8242100.0
2022-05-27,0.045,0.047,0.045,0.046,7583800.0
2022-05-30,0.046,0.047,0.045,0.045,7368000.0
2022-05-31,0.046,0.048,0.045,0.046,25658700.0
2022-06-01,0.046,0.046,0.044,0.046,9349000.0
2022-06-02,0.045,0.046,0.044,0.045,8650300.0
2022-06-03,0.045,0.045,0.044,0.045,11929500.0
2022-06-06,0.044,0.045,0.042,0.043,26711600.0
2022-06-07,0.043,0.045,0.043,0.044,3629900.0
2022-06-08,0.044,0.045,0.044,0.044,2174500.0
2022-06-09,0.044,0.046,0.044,0.046,5786700.0
2022-06-10,0.046,0.046,0.044,0.044,3804700.0
2022-06-13,0.044,0.045,0.043,0.043,5665800.0
2022-06-14,0.043,0.044,0.042,0.042,8883600.0
2022-06-15,0.043,0.044,0.041,0.042,6606700.0
2022-06-16,0.043,0.043,0.041,0.041,5137200.0
2022-06-17,0.041,0.042,0.041,0.041,3985900.0
2022-06-20,0.041,0.042,0.04,0.04,889100.0
2022-06-21,0.041,0.042,0.04,0.04,14041700.0
2022-06-22,0.04,0.04,0.038,0.039,11451400.0
2022-06-23,0.039,0.039,0.036,0.037,15245900.0
2022-06-24,0.036,0.039,0.036,0.038,5584600.0
2022-06-27,0.038,0.039,0.037,0.038,2991500.0
2022-06-28,0.038,0.039,0.037,0.039,8803400.0
2022-06-29,0.039,0.04,0.038,0.04,1989500.0
2022-06-30,0.04,0.04,0.038,0.038,2752900.0
2022-07-01,0.038,0.039,0.037,0.038,1538900.0
2022-07-04,0.038,0.039,0.037,0.038,1881700.0
2022-07-05,0.039,0.039,0.037,0.038,4144100.0
2022-07-06,0.038,0.041,0.037,0.041,15372200.0
2022-07-07,0.04,0.041,0.039,0.039,4560700.0
2022-07-08,0.04,0.04,0.038,0.039,2072000.0
2022-07-11,0.038,0.039,0.037,0.037,11434000.0
2022-07-12,0.037,0.038,0.034,0.035,14983700.0
2022-07-13,0.035,0.036,0.03,0.033,24986200.0
2022-07-14,0.034,0.036,0.033,0.035,8500100.0
2022-07-15,0.035,0.036,0.034,0.035,2239100.0
2022-07-18,0.035,0.035,0.033,0.034,6489000.0
2022-07-19,0.034,0.035,0.033,0.034,1928100.0
2022-07-20,0.034,0.036,0.034,0.035,4773600.0
2022-07-21,0.035,0.036,0.034,0.036,1677600.0
2022-07-22,0.036,0.036,0.034,0.035,4326500.0
2022-07-25,0.035,0.035,0.034,0.035,1404300.0
2022-07-26,0.034,0.036,0.034,0.036,9635100.0
2022-07-27,0.035,0.036,0.034,0.035,1967900.0
2022-07-28,0.035,0.036,0.034,0.036,3386800.0
2022-07-29,0.035,0.036,0.034,0.035,2785000.0
2022-08-01,0.035,0.036,0.034,0.036,805700.0
2022-08-02,0.035,0.036,0.034,0.036,2822900.0
2022-08-03,0.035,0.035,0.034,0.034,704300.0
2022-08-04,0.035,0.036,0.034,0.035,6279000.0
2022-08-05,0.035,0.035,0.034,0.035,2508300.0
2022-08-08,0.035,0.035,0.034,0.035,1753500.0
2022-08-09,0.035,0.035,0.034,0.034,7300200.0
2022-08-10,0.035,0.035,0.034,0.034,6241100.0
2022-08-11,0.034,0.036,0.034,0.036,5593400.0
2022-08-12,0.036,0.039,0.035,0.039,31917900.0
2022-08-15,0.038,0.038,0.037,0.037,6978100.0
2022-08-16,0.038,0.039,0.037,0.038,6339200.0
2022-08-17,0.038,0.04,0.037,0.038,6586300.0
2022-08-18,0.038,0.039,0.038,0.038,5309500.0
2022-08-19,0.038,0.042,0.038,0.041,35493100.0
2022-08-22,0.041,0.041,0.04,0.04,5705800.0
2022-08-23,0.04,0.04,0.038,0.038,14238100.0
2022-08-24,0.038,0.039,0.038,0.039,2826300.0
2022-08-25,0.039,0.043,0.038,0.042,24360600.0
2022-08-26,0.042,0.042,0.04,0.04,10853600.0
2022-08-30,0.04,0.043,0.04,0.042,22004500.0
2022-08-31,0.041,0.042,0.04,0.04,17070400.0
2022-09-01,0.041,0.041,0.04,0.04,3587600.0
2022-09-02,0.04,0.041,0.039,0.041,5383000.0
2022-09-05,0.04,0.04,0.038,0.038,11686600.0
2022-09-06,0.038,0.039,0.038,0.038,2815200.0
2022-09-07,0.038,0.039,0.037,0.038,7406400.0
2022-09-08,0.038,0.039,0.037,0.037,3962300.0
2022-09-09,0.038,0.039,0.037,0.038,6193600.0
2022-09-12,0.038,0.038,0.037,0.037,6735400.0
2022-09-13,0.037,0.037,0.036,0.036,2595700.0
2022-09-14,0.036,0.037,0.036,0.037,9892400.0
2022-09-15,0.036,0.037,0.036,0.037,2292300.0
2022-09-16,0.037,0.037,0.036,0.037,2361900.0
2022-09-19,0.037,0.037,0.035,0.036,2359300.0
2022-09-20,0.036,0.037,0.035,0.037,1613700.0
2022-09-21,0.036,0.037,0.036,0.036,4345500.0
2022-09-22,0.036,0.036,0.035,0.035,3386300.0
2022-09-23,0.035,0.035,0.034,0.035,3027900.0
2022-09-27,0.035,0.035,0.031,0.032,14605500.0
2022-09-28,0.032,0.032,0.029,0.03,9383500.0
2022-09-29,0.031,0.031,0.03,0.031,7077300.0
2022-09-30,0.03,0.03,0.028,0.028,9604900.0
2022-10-03,0.028,0.029,0.027,0.028,6069300.0
2022-10-04,0.028,0.03,0.028,0.029,4165200.0
2022-10-05,0.03,0.03,0.028,0.029,6648700.0
2022-10-06,0.028,0.03,0.028,0.03,507800.0
2022-10-07,0.029,0.029,0.028,0.029,3295800.0
2022-10-10,0.028,0.028,0.027,0.028,1958800.0
2022-10-11,0.028,0.028,0.027,0.027,2403400.0
2022-10-12,0.028,0.028,0.027,0.028,825600.0
2022-10-13,0.028,0.028,0.027,0.028,675800.0
2022-10-14,0.027,0.028,0.027,0.028,835000.0
2022-10-17,0.028,0.029,0.027,0.028,1575500.0
2022-10-18,0.028,0.029,0.028,0.029,1120100.0
2022-10-19,0.028,0.03,0.028,0.029,2203900.0
2022-10-20,0.029,0.03,0.029,0.029,1675700.0
2022-10-21,0.029,0.029,0.028,0.028,1494600.0
2022-10-25,0.028,0.029,0.028,0.029,59500.0
2022-10-26,0.029,0.029,0.028,0.028,100300.0
2022-10-27,0.029,0.029,0.028,0.029,1242000.0
2022-10-28,0.028,0.029,0.028,0.028,3273500.0
2022-11-02,0.028,0.029,0.027,0.028,403900.0
2022-11-03,0.028,0.028,0.027,0.028,3178700.0
2022-11-04,0.027,0.028,0.027,0.028,332800.0
2022-11-07,0.027,0.028,0.026,0.027,2221400.0
2022-11-08,0.027,0.027,0.026,0.027,961500.0
2022-11-09,0.027,0.027,0.026,0.027,217500.0
2022-11-10,0.027,0.027,0.026,0.026,2603200.0
2022-11-11,0.026,0.027,0.026,0.027,1063500.0
2022-11-14,0.026,0.027,0.026,0.026,733800.0
