dt,open,high,low,close,value
2022-01-03,1.65,1.72,1.62,1.66,22124850.0
2022-01-05,1.64,1.67,1.6,1.6,12504510.0
2022-01-06,1.6,1.64,1.57,1.62,8683430.0
2022-01-07,1.63,1.63,1.53,1.53,14433630.0
2022-01-10,1.53,1.61,1.53,1.61,4794580.0
2022-01-11,1.61,1.72,1.61,1.66,19885740.0
2022-01-12,1.66,1.72,1.64,1.64,10976030.0
2022-01-13,1.65,1.67,1.59,1.62,10788490.0
2022-01-14,1.63,1.67,1.61,1.66,5629960.0
2022-01-17,1.67,1.69,1.63,1.65,3593070.0
2022-01-18,1.65,1.76,1.64,1.72,35098830.0
2022-01-19,1.73,1.81,1.69,1.8,47430440.0
2022-01-20,1.8,1.84,1.74,1.79,34929840.0
2022-01-21,1.79,1.86,1.78,1.78,37778810.0
2022-01-24,1.77,1.78,1.72,1.76,12697860.0
2022-01-25,1.74,1.8,1.73,1.79,9089620.0
2022-01-26,1.81,1.91,1.81,1.84,47934630.0
2022-01-27,1.82,1.84,1.77,1.77,18165180.0
2022-01-28,1.76,1.8,1.72,1.73,11087510.0
2022-01-31,1.72,1.76,1.65,1.66,22390650.0
2022-02-02,1.66,1.73,1.66,1.7,5509320.0
2022-02-03,1.73,1.74,1.6,1.61,14171520.0
2022-02-04,1.62,1.65,1.62,1.62,6610470.0
2022-02-07,1.62,1.63,1.57,1.6,6879940.0
2022-02-08,1.61,1.66,1.61,1.65,2997690.0
2022-02-09,1.65,1.69,1.65,1.69,6025480.0
2022-02-10,1.69,1.71,1.68,1.7,2994570.0
2022-02-11,1.7,1.7,1.62,1.62,3007120.0
2022-02-14,1.65,1.66,1.6,1.62,6444920.0
2022-02-15,1.62,1.69,1.62,1.68,9631290.0
2022-02-16,1.66,1.68,1.6,1.66,7813160.0
2022-02-17,1.66,1.66,1.63,1.64,2473260.0
2022-02-18,1.66,1.75,1.66,1.67,18357620.0
2022-02-21,1.67,1.74,1.63,1.63,7719830.0
2022-02-22,1.64,1.7,1.64,1.7,7833950.0
2022-02-23,1.7,1.76,1.7,1.74,15969160.0
2022-02-24,1.73,1.79,1.67,1.74,22723860.0
2022-02-28,1.75,1.78,1.71,1.78,9262420.0
2022-03-01,1.78,1.82,1.72,1.72,18675160.0
2022-03-02,1.75,1.78,1.68,1.7,13748780.0
2022-03-03,1.72,1.8,1.72,1.76,11958700.0
2022-03-04,1.76,1.81,1.74,1.75,7563310.0
2022-03-07,1.79,1.97,1.79,1.91,95869080.0
2022-03-08,1.94,2.01,1.89,1.99,83471790.0
2022-03-09,2.04,2.05,1.85,1.87,48327900.0
2022-03-10,1.8,1.83,1.74,1.83,30330520.0
2022-03-11,1.8,1.82,1.69,1.69,32690840.0
2022-03-14,1.69,1.69,1.58,1.6,22647360.0
2022-03-15,1.59,1.63,1.45,1.56,12549000.0
2022-03-16,1.54,1.6,1.54,1.54,4282790.0
2022-03-17,1.54,1.63,1.54,1.58,3253510.0
2022-03-18,1.58,1.64,1.58,1.64,2697690.0
2022-03-21,1.64,1.65,1.58,1.6,6288600.0
2022-03-22,1.6,1.61,1.58,1.59,4573610.0
2022-03-23,1.59,1.6,1.55,1.56,2898530.0
2022-03-24,1.6,1.65,1.55,1.64,11090740.0
2022-03-25,1.67,1.67,1.61,1.63,5157710.0
2022-03-28,1.63,1.64,1.61,1.64,3376430.0
2022-03-29,1.64,1.65,1.61,1.61,3349370.0
