dt,open,high,low,close,value
2022-01-03,48.5,49.1,48.25,49.1,39091335.0
2022-01-05,49.1,50.0,48.85,50.0,59802585.0
2022-01-06,50.0,50.8,49.85,50.0,95540588.5
2022-01-07,50.1,50.2,49.5,50.2,54533289.0
2022-01-10,50.1,50.7,49.8,50.0,53703561.0
2022-01-11,50.0,50.5,49.8,50.2,55792024.5
2022-01-12,50.2,50.25,49.85,50.0,50817224.0
2022-01-13,50.0,50.0,49.65,49.8,29438123.0
2022-01-14,49.8,50.15,49.5,49.55,49778380.0
2022-01-17,49.55,50.0,49.55,49.6,19084955.0
2022-01-18,50.0,50.2,49.6,50.0,16317700.0
2022-01-19,50.0,51.95,49.6,50.6,36364754.5
2022-01-20,50.7,52.4,50.7,52.0,97011031.5
2022-01-21,52.15,52.2,52.0,52.05,19150911.0
2022-01-24,52.0,52.2,50.0,52.0,28489157.0
2022-01-25,52.0,52.0,51.3,51.55,9560302.0
2022-01-26,51.8,51.8,51.45,51.45,30064596.0
2022-01-27,51.5,51.8,51.45,51.5,18097224.5
2022-01-28,51.7,52.5,51.0,51.35,28038630.5
2022-01-31,51.1,51.35,50.65,50.65,33320843.5
2022-02-02,50.85,51.9,50.85,50.85,37958486.5
2022-02-03,51.2,51.8,50.85,51.0,37323044.0
2022-02-04,51.1,51.1,50.35,51.0,33973587.0
2022-02-07,51.0,51.0,49.5,49.5,49407198.0
2022-02-08,49.5,50.5,49.5,50.0,15783315.0
2022-02-09,50.0,51.2,50.0,50.9,7586581.5
2022-02-10,51.0,51.2,50.8,51.0,38000774.0
2022-02-11,51.0,51.9,50.5,51.9,23035120.0
2022-02-14,51.9,51.9,50.2,50.65,21293115.5
2022-02-15,50.65,50.85,49.9,50.0,38164058.0
2022-02-16,50.0,50.0,49.0,50.0,39768025.0
2022-02-17,50.0,50.5,49.85,49.85,11576346.5
2022-02-18,49.85,49.95,49.5,49.5,15235555.0
2022-02-21,50.0,51.9,49.6,51.5,108612955.0
2022-02-22,51.5,52.0,51.0,52.0,139808070.5
2022-02-23,52.0,52.35,51.65,52.35,66022355.5
2022-02-24,52.3,52.3,49.0,49.0,70644529.0
