dt,open,high,low,close,value
2023-06-01,10.3,10.58,10.28,10.28,28570858.0
2023-06-02,10.22,10.8,10.22,10.76,36528482.0
2023-06-05,10.6,10.7,10.4,10.7,22006248.0
2023-06-06,10.5,10.92,10.5,10.6,69089318.0
2023-06-07,10.6,10.6,10.2,10.22,72332324.0
2023-06-08,10.22,10.48,10.14,10.18,38108160.0
2023-06-09,10.2,10.4,10.2,10.36,17526970.0
2023-06-13,10.36,10.36,10.14,10.14,49633472.0
2023-06-14,10.1,10.1,9.56,9.56,207194558.0
2023-06-15,9.5,9.5,9.12,9.17,204024941.0
2023-06-16,9.2,9.98,9.2,9.98,184115599.0
2023-06-19,9.9,9.91,9.42,9.55,112204619.0
2023-06-20,9.55,9.82,9.46,9.76,24198727.0
2023-06-21,9.78,9.78,9.57,9.6,39089892.0
2023-06-22,9.68,10.08,9.6,10.0,97589977.0
2023-06-23,10.06,10.38,9.91,10.38,29704399.0
2023-06-26,10.4,10.82,10.32,10.8,45984128.0
2023-06-27,10.82,11.12,10.68,10.96,147881638.0
2023-06-29,11.0,11.1,10.8,11.0,68309866.0
2023-06-30,10.98,11.1,10.8,11.1,32619652.0
2023-07-03,11.1,11.1,10.88,10.9,20666866.0
2023-07-04,11.3,11.42,11.16,11.28,101004060.0
2023-07-05,11.28,11.28,11.08,11.16,36365796.0
2023-07-06,11.1,11.1,10.9,10.96,59822140.0
2023-07-07,10.9,10.94,10.62,10.82,46482208.0
2023-07-10,10.82,10.92,10.52,10.52,32012662.0
2023-07-11,10.54,10.9,10.54,10.9,23873840.0
2023-07-12,10.9,10.96,10.72,10.72,17496534.0
2023-07-13,10.88,11.0,10.56,10.56,71069288.0
2023-07-14,10.7,10.86,10.62,10.62,42599554.0
2023-07-17,10.78,11.08,10.74,10.98,25925446.0
2023-07-18,10.98,11.26,10.98,11.2,57346890.0
2023-07-19,11.26,11.52,11.24,11.46,159136142.0
2023-07-20,11.44,11.46,11.3,11.32,44132952.0
2023-07-21,11.32,11.74,11.3,11.72,55149666.0
2023-07-24,11.72,12.04,11.72,11.78,117194502.0
2023-07-25,11.78,12.0,11.7,11.98,76213346.0
2023-07-26,11.96,11.96,11.54,11.6,39723018.0
2023-07-27,11.6,11.9,11.6,11.88,14255056.0
2023-07-28,11.88,11.88,11.7,11.7,47593610.0
2023-07-31,11.5,11.9,11.44,11.86,34966544.0
2023-08-01,11.7,11.84,11.64,11.68,10029336.0
2023-08-02,11.68,11.68,11.32,11.34,21554466.0
2023-08-03,11.34,11.5,11.34,11.42,7918046.0
2023-08-04,11.36,11.5,11.36,11.46,2017744.0
2023-08-07,11.5,11.5,11.26,11.28,10368392.0
2023-08-08,11.3,12.04,11.02,11.9,175580964.0
2023-08-09,11.98,12.02,11.8,11.88,46395286.0
2023-08-10,11.9,11.92,11.62,11.76,74826460.0
2023-08-11,11.76,11.8,11.56,11.6,28657124.0
