dt,open,high,low,close,value
2023-06-01,99.95,102.0,99.95,100.0,88426642.0
2023-06-02,100.5,101.6,99.95,100.0,160491102.0
2023-06-05,100.7,101.5,100.7,100.7,251769551.0
2023-06-06,100.7,102.5,100.7,102.0,279002006.0
2023-06-07,102.5,103.9,102.2,103.9,400866371.0
2023-06-08,103.9,105.5,102.7,103.0,262260887.0
2023-06-09,103.0,105.0,103.0,104.3,344412273.0
2023-06-13,104.0,105.0,102.8,104.9,316757270.0
2023-06-14,104.9,105.0,103.0,104.0,81297890.0
2023-06-15,103.0,105.0,102.1,105.0,233342214.0
2023-06-16,105.0,107.0,103.0,107.0,1089938599.0
2023-06-19,106.5,106.5,105.6,106.3,237018446.0
2023-06-20,105.2,105.9,103.7,105.0,191423707.0
2023-06-21,103.0,107.0,103.0,107.0,321229005.0
2023-06-22,106.0,106.8,105.1,106.5,182524668.0
2023-06-23,106.0,106.6,105.5,106.2,166032593.0
2023-06-26,106.0,108.1,106.0,107.9,150596605.0
2023-06-27,107.0,109.1,106.1,109.1,159458863.0
2023-06-29,109.1,111.0,108.1,110.0,203847722.0
2023-06-30,109.0,110.9,108.0,108.8,217679879.0
2023-07-03,108.5,108.5,106.4,108.4,77860027.0
2023-07-04,108.0,108.0,106.6,106.8,64994978.0
2023-07-05,106.8,108.0,106.0,108.0,162448655.0
2023-07-06,107.0,108.8,106.0,108.8,189516570.0
2023-07-07,108.0,108.0,105.7,105.9,151083380.0
2023-07-10,105.9,108.6,105.9,108.6,138446467.0
2023-07-11,108.6,109.6,107.0,109.0,211162732.0
2023-07-12,109.2,111.0,108.0,110.9,268940244.0
2023-07-13,110.0,113.8,109.8,112.6,317693854.0
2023-07-14,113.0,115.0,111.4,115.0,321603781.0
2023-07-17,112.6,117.0,112.6,116.0,249857538.0
2023-07-18,115.1,117.5,114.9,116.1,166251991.0
2023-07-19,116.1,116.1,113.4,113.4,122770904.0
2023-07-20,113.7,115.4,113.7,114.5,209373894.0
2023-07-21,114.5,115.4,114.4,115.0,248942100.0
2023-07-24,115.0,115.9,114.8,115.0,143737073.0
2023-07-25,115.0,120.4,114.8,118.3,290289911.0
2023-07-26,118.3,118.8,115.8,117.5,189318292.0
2023-07-27,116.5,117.3,115.5,116.0,90138785.0
2023-07-28,115.9,117.7,113.5,115.1,196667597.0
2023-07-31,115.0,118.0,114.5,114.5,200480369.0
2023-08-01,115.1,116.9,113.6,114.5,277677956.0
2023-08-02,114.5,115.8,112.0,112.3,264370484.0
2023-08-03,112.3,114.2,112.0,113.5,94713583.0
2023-08-04,113.5,114.4,113.0,113.6,7421086.0
2023-08-07,114.0,116.5,114.0,116.4,137007721.0
2023-08-08,116.0,116.0,113.2,113.2,233837109.0
2023-08-09,113.6,115.8,112.2,115.8,211674457.0
2023-08-10,114.9,115.8,113.9,115.8,140177651.0
2023-08-11,115.8,115.8,113.7,113.8,214163035.0
2023-08-14,113.8,113.9,111.8,113.9,255274523.0
2023-08-15,113.8,117.5,113.6,114.6,266233028.0
2023-08-16,115.0,115.2,112.3,113.0,264022710.0
2023-08-17,112.6,114.0,111.4,113.4,268550959.0
2023-08-18,113.0,113.3,111.1,111.1,239119242.0
2023-08-22,111.0,114.1,111.0,112.9,396085567.0
2023-08-23,112.9,112.9,108.2,108.2,359076694.0
2023-08-24,109.2,110.4,108.2,108.2,225722052.0
2023-08-25,108.0,108.0,104.7,105.1,368597448.0
2023-08-29,105.1,107.9,104.7,107.9,295459855.0
2023-08-30,107.8,108.5,106.6,107.9,248989822.0
2023-08-31,108.0,110.0,106.0,110.0,517652204.0
2023-09-01,109.5,109.5,106.6,107.0,177414920.0
2023-09-04,107.0,108.0,105.8,105.8,127469085.0
2023-09-05,105.6,106.7,103.2,104.2,362746819.0
2023-09-06,105.0,105.6,104.2,105.0,249271890.0
2023-09-07,105.0,106.0,104.3,105.0,269032481.0
2023-09-08,105.0,107.0,104.2,107.0,190652665.0
2023-09-11,106.9,106.9,105.3,105.9,365682677.0
2023-09-12,107.0,108.2,106.6,107.5,296155927.0
2023-09-13,107.7,108.4,106.6,107.8,417055914.0
2023-09-14,108.0,111.0,107.1,109.6,351836382.0
2023-09-15,109.6,111.0,108.2,110.0,1097747637.0
2023-09-18,110.0,110.0,108.0,108.0,134735034.0
2023-09-19,108.0,108.8,105.6,106.3,111413121.0
2023-09-20,107.9,108.5,106.7,107.0,219360664.0
2023-09-21,107.7,108.0,106.6,107.0,173757996.0
2023-09-22,107.2,109.5,106.6,108.5,187040725.0
2023-09-25,108.5,110.0,107.0,107.5,130862634.0
2023-09-26,107.5,111.8,107.5,110.5,335584006.0
2023-09-27,110.5,112.5,110.4,112.0,281504775.0
2023-09-28,111.8,114.4,111.0,111.0,280831734.0
2023-09-29,112.0,113.9,111.1,112.0,355704585.0
2023-10-02,112.0,113.0,111.0,111.3,58879544.0
2023-10-03,111.0,111.0,108.2,109.0,437161428.0
2023-10-04,108.9,110.0,107.2,110.0,280490888.0
2023-10-05,108.4,109.8,107.0,107.0,269756829.0
2023-10-06,107.0,109.6,105.8,109.0,157844562.0
2023-10-09,108.9,108.9,107.1,107.1,74400579.0
2023-10-10,107.2,109.5,107.2,108.8,108943960.0
2023-10-11,108.0,109.4,107.1,108.4,172726529.0
2023-10-12,108.1,109.1,107.6,108.0,117587133.0
2023-10-13,107.8,108.9,107.5,107.7,107098561.0
2023-10-16,107.5,108.5,106.2,106.2,82662226.0
2023-10-17,106.8,108.5,106.5,107.8,99786907.0
2023-10-18,107.6,108.4,106.6,107.5,59256611.0
2023-10-19,107.6,107.6,106.5,106.8,94513169.0
2023-10-20,106.5,106.7,105.2,105.3,196067355.0
2023-10-23,105.0,105.0,102.2,102.2,245390297.0
2023-10-24,102.9,102.9,100.4,100.6,237621214.0
2023-10-25,100.8,102.0,99.8,100.0,319063930.0
2023-10-26,99.85,100.0,98.3,99.0,232435029.5
2023-10-27,98.25,98.9,96.0,98.9,565726657.5
2023-10-31,98.9,101.0,98.4,100.5,406097391.0
2023-11-03,103.0,105.0,99.05,99.05,266969619.5
2023-11-06,99.1,100.0,99.1,100.0,115514815.5
2023-11-07,100.0,104.0,99.5,104.0,153490223.5
2023-11-08,104.0,104.4,102.3,104.3,90563602.0
2023-11-09,104.3,104.3,102.8,103.8,115005284.0
2023-11-10,104.2,104.2,102.4,104.1,112330094.0
2023-11-13,103.0,103.5,102.1,103.0,48087874.0
2023-11-14,103.0,104.0,102.6,104.0,282357040.0
2023-11-15,103.0,104.6,102.1,104.0,233607226.0
2023-11-16,104.0,105.1,103.9,105.0,71868115.0
2023-11-17,104.0,106.2,104.0,105.5,79343334.0
2023-11-20,105.1,105.5,103.8,104.0,69037692.0
2023-11-21,104.5,105.6,103.8,104.0,109436766.0
