dt,open,high,low,close,value
2023-06-01,41.75,41.75,40.65,40.65,3266720.0
2023-06-02,40.65,41.0,40.5,40.5,4787605.0
2023-06-05,40.5,41.0,40.5,40.75,3935875.0
2023-06-06,40.6,40.75,40.4,40.5,2420015.0
2023-06-07,40.5,40.5,39.75,39.8,7535195.0
2023-06-08,39.9,40.0,39.55,39.6,2198375.0
2023-06-09,39.75,39.75,39.4,39.6,3034295.0
2023-06-13,39.6,39.6,38.75,38.8,9037150.0
2023-06-14,38.8,39.2,38.1,38.1,11528395.0
2023-06-15,38.55,38.55,37.15,37.15,7135055.0
2023-06-16,37.9,38.0,37.2,37.6,5166605.0
2023-06-19,37.8,37.8,37.4,37.4,3186075.0
2023-06-20,37.6,38.0,37.1,37.25,2803620.0
2023-06-21,37.15,37.15,36.7,36.85,6558095.0
2023-06-22,36.65,36.7,35.85,35.9,13083835.0
2023-06-23,36.0,36.95,36.0,36.5,2346215.0
2023-06-26,36.5,36.9,36.05,36.5,6020615.0
2023-06-27,36.3,36.65,36.0,36.05,13501880.0
2023-06-29,36.05,36.95,36.05,36.75,10756210.0
2023-06-30,36.75,37.75,36.75,37.5,10658250.0
2023-07-03,37.5,37.75,36.0,36.0,18187445.0
2023-07-04,36.5,36.95,36.1,36.95,1720120.0
2023-07-05,37.35,37.35,36.4,36.6,677340.0
2023-07-06,36.6,36.7,36.2,36.5,2384270.0
2023-07-07,36.15,36.5,36.15,36.45,1349015.0
2023-07-10,36.45,36.45,36.2,36.25,1434315.0
2023-07-11,36.2,36.5,36.1,36.15,3134425.0
2023-07-12,36.15,36.35,36.1,36.2,1913890.0
2023-07-13,36.1,36.7,36.1,36.6,3783255.0
2023-07-14,37.0,37.3,36.6,37.3,5582015.0
2023-07-17,37.3,37.8,37.3,37.65,3134845.0
2023-07-18,37.55,37.8,37.5,37.6,18020740.0
2023-07-19,37.6,38.3,37.5,38.0,4735145.0
2023-07-20,38.0,38.0,37.45,37.7,2221085.0
2023-07-21,37.7,37.8,37.6,37.8,4253505.0
2023-07-24,37.5,38.0,37.5,37.75,1238325.0
2023-07-25,37.55,37.8,37.3,37.4,3617005.0
2023-07-26,37.35,38.0,37.35,37.8,492905.0
2023-07-27,37.65,37.9,36.8,37.0,3136975.0
2023-07-28,37.15,37.15,36.9,36.95,2183630.0
2023-07-31,36.95,37.5,36.95,37.5,3381925.0
2023-08-01,37.5,38.0,36.05,36.05,5651725.0
2023-08-02,36.9,37.0,36.2,36.2,3702165.0
2023-08-03,36.25,36.4,36.0,36.0,10861605.0
2023-08-04,36.1,36.1,35.9,36.0,2178975.0
2023-08-07,36.0,37.2,36.0,36.75,2038965.0
2023-08-08,36.7,36.7,36.1,36.2,566910.0
2023-08-09,36.1,36.2,35.9,36.0,3765615.0
2023-08-10,36.2,37.0,35.9,37.0,4679855.0
2023-08-11,37.0,37.4,36.6,36.65,2856010.0
2023-08-14,37.0,37.0,36.4,36.95,7751500.0
2023-08-15,36.95,36.95,36.4,36.5,2423625.0
2023-08-16,36.65,36.65,36.45,36.5,3782470.0
2023-08-17,36.5,36.5,36.2,36.2,6591550.0
2023-08-18,36.2,36.5,36.2,36.5,2997560.0
2023-08-22,36.2,36.4,36.0,36.2,9953035.0
2023-08-23,36.2,36.3,36.05,36.05,6728905.0
2023-08-24,36.1,36.4,36.05,36.15,10640880.0
2023-08-25,36.1,36.3,35.9,36.0,9991460.0
2023-08-29,36.05,36.3,35.95,36.05,12682795.0
2023-08-30,36.3,36.65,36.05,36.2,7385190.0
2023-08-31,36.05,37.2,36.0,36.1,9021450.0
2023-09-01,36.5,36.5,36.05,36.4,1061895.0
2023-09-04,36.2,37.0,36.2,36.7,3643475.0
2023-09-05,36.7,37.55,36.55,37.0,4380255.0
2023-09-06,37.5,37.5,36.65,37.0,3319480.0
2023-09-07,37.0,37.75,36.65,37.35,4137100.0
2023-09-08,37.35,37.35,36.7,37.3,965520.0
2023-09-11,37.0,37.85,37.0,37.35,2311395.0
2023-09-12,37.35,37.35,36.5,37.1,1144620.0
2023-09-13,37.1,37.1,36.0,36.15,4762445.0
2023-09-14,36.2,36.5,36.2,36.4,309120.0
2023-09-15,36.85,36.85,35.3,35.3,15601960.0
2023-09-18,35.3,35.5,35.0,35.0,8769680.0
2023-09-19,35.0,35.2,34.45,34.45,5395645.0
2023-09-20,34.5,34.7,34.45,34.5,1666670.0
2023-09-21,34.7,34.7,34.0,34.2,4452515.0
2023-09-22,34.4,34.8,34.3,34.8,2237410.0
2023-09-25,34.75,34.75,33.0,33.1,11915840.0
2023-09-26,33.05,33.85,33.05,33.3,9812615.0
2023-09-27,33.5,33.5,33.0,33.35,7414075.0
2023-09-28,34.6,34.6,33.6,33.8,2332375.0
2023-09-29,34.0,34.4,33.8,34.0,4661485.0
2023-10-02,34.0,34.3,34.0,34.25,3744945.0
2023-10-03,34.0,34.0,33.6,34.0,3105150.0
2023-10-04,33.9,34.35,33.9,34.25,4558035.0
2023-10-05,34.25,34.25,33.95,34.2,3050005.0
2023-10-06,34.0,34.45,34.0,34.2,941485.0
2023-10-09,34.15,34.15,33.7,33.8,1751915.0
