dt,open,high,low,close,value
2022-01-03,1.79,1.79,1.77,1.78,5546350.0
2022-01-05,1.78,1.8,1.78,1.8,9330080.0
2022-01-06,1.78,1.8,1.78,1.79,4353090.0
2022-01-07,1.78,1.79,1.78,1.79,4738560.0
2022-01-10,1.79,1.79,1.78,1.79,3618250.0
2022-01-11,1.79,1.8,1.78,1.79,11257320.0
2022-01-12,1.79,1.79,1.78,1.79,4841030.0
2022-01-13,1.79,1.8,1.78,1.8,16293450.0
2022-01-14,1.79,1.8,1.78,1.79,4381290.0
2022-01-17,1.79,1.8,1.78,1.79,12262700.0
2022-01-18,1.79,1.81,1.79,1.81,22694540.0
2022-01-19,1.81,1.82,1.8,1.8,5149820.0
2022-01-20,1.8,1.8,1.79,1.79,4775840.0
2022-01-21,1.8,1.81,1.79,1.81,4586400.0
2022-01-24,1.8,1.82,1.79,1.8,15624380.0
2022-01-25,1.8,1.82,1.8,1.8,4266870.0
2022-01-26,1.8,1.82,1.8,1.8,4805690.0
2022-01-27,1.81,1.81,1.78,1.79,11417290.0
2022-01-28,1.79,1.8,1.78,1.79,6064900.0
2022-01-31,1.79,1.8,1.78,1.79,6478920.0
2022-02-02,1.79,1.8,1.78,1.79,11954180.0
2022-02-03,1.78,1.79,1.78,1.78,7206510.0
2022-02-04,1.78,1.8,1.78,1.8,12291210.0
2022-02-07,1.8,1.82,1.79,1.79,20751170.0
2022-02-08,1.79,1.81,1.79,1.8,8757730.0
2022-02-09,1.8,1.81,1.79,1.8,8831150.0
2022-02-10,1.8,1.82,1.8,1.8,5959410.0
2022-02-11,1.8,1.8,1.79,1.79,7535200.0
2022-02-14,1.79,1.8,1.79,1.79,7172300.0
2022-02-15,1.79,1.8,1.78,1.79,9780750.0
2022-02-16,1.78,1.8,1.78,1.79,6193450.0
2022-02-17,1.8,1.8,1.78,1.79,11841190.0
2022-02-18,1.79,1.8,1.79,1.8,3276670.0
2022-02-21,1.79,1.8,1.78,1.79,12704010.0
2022-02-22,1.79,1.8,1.78,1.79,12174380.0
2022-02-23,1.79,1.8,1.78,1.8,5138480.0
2022-02-24,1.8,1.8,1.77,1.77,20884850.0
2022-02-28,1.78,1.79,1.77,1.77,9409960.0
2022-03-01,1.78,1.79,1.77,1.78,4256910.0
2022-03-02,1.78,1.79,1.77,1.77,4159470.0
2022-03-03,1.78,1.78,1.76,1.77,9568960.0
2022-03-04,1.77,1.78,1.77,1.78,3086350.0
2022-03-07,1.78,1.78,1.76,1.77,7902060.0
2022-03-08,1.76,1.77,1.7,1.71,27066690.0
2022-03-09,1.71,1.75,1.71,1.74,11978620.0
2022-03-10,1.74,1.75,1.7,1.73,5335490.0
2022-03-11,1.73,1.75,1.71,1.71,3421360.0
2022-03-14,1.71,1.73,1.6,1.62,15683300.0
2022-03-15,1.63,1.64,1.52,1.61,7084860.0
2022-03-16,1.64,1.66,1.56,1.59,11846700.0
2022-03-17,1.61,1.63,1.57,1.58,8257360.0
2022-03-18,1.59,1.62,1.59,1.6,5097410.0
2022-03-21,1.6,1.6,1.58,1.59,2108780.0
2022-03-22,1.59,1.61,1.58,1.58,5088540.0
2022-03-23,1.58,1.6,1.58,1.58,2607270.0
2022-03-24,1.58,1.6,1.57,1.58,3633730.0
2022-03-25,1.57,1.6,1.57,1.6,3208780.0
2022-03-28,1.6,1.6,1.58,1.6,1085280.0
