dt,open,high,low,close,value
2023-06-01,9.48,9.64,9.28,9.6,28014038.0
2023-06-02,9.6,9.65,9.46,9.65,18447843.0
2023-06-05,9.67,9.75,9.65,9.75,10275526.0
2023-06-06,9.75,9.8,9.5,9.62,22613861.0
2023-06-07,9.65,9.75,9.56,9.75,50689490.0
2023-06-08,9.7,9.74,9.61,9.7,19789208.0
2023-06-09,9.7,9.72,9.61,9.71,31483340.0
2023-06-13,9.71,9.72,9.6,9.67,33702991.0
2023-06-14,9.66,9.67,9.43,9.54,33719032.0
2023-06-15,9.5,9.6,9.0,9.05,62404026.0
2023-06-16,9.09,9.27,9.09,9.21,29024538.0
2023-06-19,9.23,9.39,9.23,9.39,7886748.0
2023-06-20,9.38,9.43,9.32,9.38,28454168.0
2023-06-21,9.38,9.43,9.11,9.2,28400213.0
2023-06-22,9.24,9.24,9.07,9.15,28654158.0
2023-06-23,9.15,9.37,9.1,9.3,20220336.0
2023-06-26,9.3,9.3,9.09,9.09,32316317.0
2023-06-27,9.16,9.4,9.16,9.39,22066807.0
2023-06-29,9.41,9.47,9.34,9.34,12606918.0
2023-06-30,9.38,9.43,9.06,9.06,73869284.0
2023-07-03,9.12,9.3,9.12,9.19,9363958.0
2023-07-04,9.2,9.3,9.2,9.3,12875526.0
2023-07-05,9.34,9.34,9.23,9.25,4772177.0
2023-07-06,9.28,9.28,9.18,9.23,9260320.0
2023-07-07,9.27,9.27,9.17,9.2,9918866.0
2023-07-10,9.24,9.26,9.15,9.15,9574347.0
2023-07-11,9.22,9.29,9.15,9.15,11318453.0
2023-07-12,9.2,9.22,9.15,9.18,10360133.0
2023-07-13,9.2,9.41,9.19,9.41,14991079.0
2023-07-14,9.41,9.45,9.38,9.43,7141592.0
2023-07-17,9.45,9.48,9.42,9.43,17755971.0
2023-07-18,9.43,9.46,9.24,9.24,13251182.0
2023-07-19,9.39,9.39,9.27,9.39,5015404.0
2023-07-20,9.4,9.45,9.36,9.37,7490527.0
2023-07-21,9.4,9.48,9.37,9.42,7391984.0
2023-07-24,9.43,9.61,9.4,9.6,20359416.0
2023-07-25,9.62,9.84,9.62,9.8,19766322.0
2023-07-26,9.85,9.86,9.6,9.62,19759853.0
2023-07-27,9.75,9.8,9.54,9.54,5380761.0
2023-07-28,9.54,9.68,9.53,9.56,6319896.0
2023-07-31,9.57,9.72,9.57,9.6,25518546.0
2023-08-01,9.67,9.69,9.46,9.54,14097568.0
2023-08-02,9.54,9.59,9.41,9.5,12974761.0
2023-08-03,9.5,9.53,9.4,9.5,12880046.0
2023-08-04,9.5,9.58,9.5,9.52,981273.0
2023-08-07,9.25,9.44,9.25,9.4,13238688.0
2023-08-08,9.4,9.54,9.4,9.5,11535277.0
2023-08-09,9.5,9.75,9.49,9.6,33729535.0
2023-08-10,9.6,9.61,9.49,9.53,30706072.0
2023-08-11,9.53,9.53,9.41,9.5,23123071.0
2023-08-14,9.5,9.5,9.21,9.32,61474953.0
2023-08-15,9.35,9.42,9.27,9.36,23849235.0
2023-08-16,9.39,9.78,9.37,9.78,27636371.0
2023-08-17,9.75,9.75,9.62,9.62,9668800.0
2023-08-18,9.62,9.87,9.62,9.87,45246361.0
2023-08-22,9.82,9.85,9.63,9.71,9153286.0
2023-08-23,9.71,9.71,9.45,9.46,12684656.0
