dt,open,high,low,close,value
2022-01-03,8.96,9.16,8.81,8.88,10415394.0
2022-01-05,8.97,9.0,8.8,8.99,8347258.0
2022-01-06,8.99,8.99,8.8,8.91,17443194.0
2022-01-07,8.81,8.89,8.45,8.5,54759385.0
2022-01-10,8.47,9.35,8.47,9.0,52521814.0
2022-01-11,8.97,9.0,8.7,8.97,6810180.0
2022-01-12,8.97,9.0,8.8,8.98,7208423.0
2022-01-13,8.98,9.1,8.84,8.9,37222539.0
2022-01-14,8.9,9.0,8.82,8.88,39086690.0
2022-01-17,8.88,8.88,8.6,8.6,184163743.0
2022-01-18,8.65,8.75,8.47,8.51,121173459.0
2022-01-19,8.51,8.51,8.35,8.49,32732616.0
2022-01-20,8.59,8.71,8.52,8.6,4402101.0
2022-01-21,8.6,8.64,8.55,8.58,4388426.0
2022-01-24,8.58,8.63,8.38,8.53,20312000.0
2022-01-25,8.58,8.64,8.4,8.45,12429236.0
2022-01-26,8.36,8.5,8.34,8.5,9555019.0
2022-01-27,8.5,8.5,8.3,8.38,20743265.0
2022-01-28,8.45,8.45,8.29,8.39,15538179.0
2022-01-31,8.54,8.58,8.45,8.5,27590037.0
2022-02-02,8.5,8.75,8.5,8.66,18309538.0
2022-02-03,8.69,8.69,8.31,8.38,29414783.0
2022-02-04,8.38,8.56,8.38,8.42,7980897.0
2022-02-07,8.43,8.6,8.33,8.33,32262468.0
2022-02-08,8.33,8.54,8.33,8.38,15943882.0
2022-02-09,8.38,8.58,8.38,8.4,10273564.0
2022-02-10,8.4,8.52,8.4,8.47,2286475.0
2022-02-11,8.47,8.63,8.38,8.56,12315022.0
2022-02-14,8.56,8.56,8.3,8.3,31956207.0
2022-02-15,8.3,8.46,8.3,8.4,8262982.0
2022-02-16,8.4,8.42,8.31,8.32,17700907.0
2022-02-17,8.32,8.4,8.27,8.27,26882890.0
2022-02-18,8.3,8.36,8.18,8.24,21385875.0
2022-02-21,8.24,8.24,7.94,8.17,19206456.0
2022-02-22,8.17,8.22,8.07,8.08,4825438.0
2022-02-23,8.08,8.29,8.08,8.19,2167998.0
2022-02-24,8.19,8.28,7.92,7.93,10450873.0
2022-02-28,7.91,8.2,7.9,8.01,19067910.0
2022-03-01,8.03,8.16,8.03,8.1,6227041.0
