dt,open,high,low,close,value
2022-01-03,7.35,7.4,7.35,7.4,37444589.0
2022-01-05,7.4,7.4,7.38,7.4,23668071.0
2022-01-06,7.4,7.45,7.4,7.45,15750554.0
2022-01-07,7.45,7.51,7.45,7.5,32950693.0
2022-01-10,7.5,7.6,7.5,7.6,42610706.0
2022-01-11,7.65,7.7,7.65,7.7,4033305.0
2022-01-12,7.7,7.8,7.68,7.75,13556760.0
2022-01-13,7.75,7.85,7.75,7.75,32340339.0
2022-01-14,7.74,7.8,7.74,7.8,30258883.0
2022-01-17,7.84,7.86,7.8,7.85,116728379.0
2022-01-18,7.85,7.85,7.6,7.7,29427000.0
2022-01-19,7.7,7.7,7.55,7.55,28422597.0
2022-01-20,7.59,7.69,7.55,7.6,21841114.0
2022-01-21,7.6,7.65,7.6,7.64,10050564.0
2022-01-24,7.65,7.8,7.65,7.78,13981911.0
2022-01-25,7.78,7.78,7.72,7.75,15834376.0
2022-01-26,7.75,7.77,7.6,7.6,19778418.0
2022-01-27,7.6,7.74,7.59,7.59,14151315.0
2022-01-28,7.59,7.67,7.49,7.54,66898760.0
2022-01-31,7.58,7.63,7.58,7.61,10638853.0
2022-02-02,7.61,7.61,7.51,7.52,17994436.0
2022-02-03,7.52,7.6,7.5,7.5,43160062.0
2022-02-04,7.5,7.6,7.5,7.51,24729114.0
2022-02-07,7.51,7.6,7.51,7.51,28141973.0
2022-02-08,7.51,7.59,7.51,7.57,12324282.0
2022-02-09,7.59,7.59,7.5,7.5,35113219.0
2022-02-10,7.5,7.55,7.5,7.53,15603613.0
2022-02-11,7.5,7.54,7.5,7.51,42124618.0
2022-02-14,7.5,7.51,7.43,7.45,9831210.0
2022-02-15,7.45,7.45,7.41,7.43,2395995.0
2022-02-16,7.45,7.51,7.43,7.43,17782381.0
2022-02-17,7.51,7.51,7.46,7.5,44405182.0
2022-02-18,7.51,7.54,7.5,7.53,27466246.0
2022-02-21,7.52,7.58,7.5,7.55,61451385.0
2022-02-22,7.55,7.55,7.49,7.55,55319265.0
2022-02-23,7.55,7.55,7.49,7.52,18611022.0
2022-02-24,7.48,7.49,7.18,7.39,13676001.0
2022-02-28,7.31,7.6,7.29,7.55,48471599.0
2022-03-01,7.55,7.55,7.45,7.51,67044816.0
2022-03-02,7.53,7.53,7.4,7.4,4601377.0
2022-03-03,7.45,7.48,7.38,7.42,5770001.0
2022-03-04,7.42,7.42,7.36,7.4,18955182.0
2022-03-07,7.36,7.4,7.2,7.2,28958669.0
2022-03-08,7.22,7.3,7.0,7.15,32383180.0
2022-03-09,7.15,7.2,6.98,7.13,18908434.0
2022-03-10,7.15,7.44,7.15,7.35,8656294.0
2022-03-11,7.35,7.35,7.07,7.12,17824098.0
2022-03-14,7.15,7.2,7.05,7.07,20650679.0
2022-03-15,7.07,7.1,7.0,7.07,27687272.0
2022-03-16,7.08,7.24,7.08,7.1,5523190.0
2022-03-17,7.11,7.2,7.1,7.15,11427782.0
2022-03-18,7.15,7.16,7.13,7.13,8722959.0
2022-03-21,7.13,7.19,7.13,7.14,4635634.0
2022-03-22,7.14,7.19,7.1,7.12,11979819.0
2022-03-23,7.12,7.17,7.12,7.12,4789608.0
2022-03-24,7.12,7.16,7.1,7.15,22286352.0
