dt,open,high,low,close,value
2022-01-03,2.17,2.2,2.11,2.14,11013870.0
2022-01-05,2.15,2.15,2.0,2.06,21203690.0
2022-01-06,2.06,2.1,2.03,2.07,2932200.0
2022-01-07,2.05,2.1,1.99,2.06,9401960.0
2022-01-10,2.04,2.1,2.02,2.09,2600840.0
2022-01-11,2.07,2.12,2.06,2.08,2171420.0
2022-01-12,2.12,2.16,2.1,2.14,18181330.0
2022-01-13,2.16,2.19,2.12,2.16,37887980.0
2022-01-14,2.16,2.28,2.1,2.17,54366560.0
2022-01-17,2.17,2.3,2.15,2.26,63916610.0
2022-01-18,2.28,2.29,2.18,2.19,42546830.0
2022-01-19,2.21,2.21,2.19,2.21,8666720.0
2022-01-20,2.28,2.34,2.25,2.26,51083480.0
2022-01-21,2.3,2.32,2.24,2.28,20756300.0
2022-01-24,2.27,2.3,2.25,2.27,5770610.0
2022-01-25,2.25,2.25,2.2,2.21,11636640.0
2022-01-26,2.2,2.25,2.2,2.24,6068810.0
2022-01-27,2.24,2.24,2.14,2.15,14065490.0
2022-01-28,2.16,2.16,2.11,2.11,10333080.0
2022-01-31,2.11,2.19,2.11,2.16,4984710.0
2022-02-02,2.18,2.22,2.14,2.2,5395840.0
2022-02-03,2.22,2.26,2.22,2.26,5838670.0
2022-02-04,2.27,2.3,2.24,2.29,8929350.0
2022-02-07,2.29,2.37,2.25,2.33,21951880.0
2022-02-08,2.35,2.45,2.35,2.4,29858140.0
2022-02-09,2.43,2.49,2.38,2.45,14084710.0
2022-02-10,2.45,2.47,2.36,2.45,15979540.0
2022-02-11,2.45,2.45,2.4,2.42,7554260.0
2022-02-14,2.41,2.41,2.33,2.38,10584370.0
2022-02-15,2.38,2.44,2.37,2.42,11470380.0
2022-02-16,2.44,2.48,2.41,2.48,15442550.0
2022-02-17,2.48,2.49,2.43,2.45,5450530.0
2022-02-18,2.46,2.56,2.46,2.52,26590220.0
2022-02-21,2.53,2.57,2.5,2.55,17829490.0
2022-02-22,2.55,2.59,2.51,2.59,21671640.0
2022-02-23,2.59,2.63,2.53,2.62,26896360.0
2022-02-24,2.54,2.63,2.45,2.51,41702610.0
2022-02-28,2.47,2.61,2.46,2.6,20692060.0
2022-03-01,2.59,2.68,2.55,2.66,23790580.0
2022-03-02,2.68,2.75,2.58,2.61,23013050.0
2022-03-03,2.68,2.74,2.65,2.74,40433390.0
2022-03-04,2.75,2.82,2.69,2.74,26398170.0
2022-03-07,2.76,3.12,2.76,3.1,144597960.0
2022-03-08,3.45,3.5,3.25,3.47,310634350.0
2022-03-09,3.4,3.4,2.97,3.15,218140270.0
2022-03-10,2.95,3.17,2.77,3.17,87180510.0
2022-03-11,3.09,3.12,2.97,3.0,54026920.0
2022-03-14,2.93,3.0,2.81,2.88,41412960.0
2022-03-15,2.85,2.87,2.46,2.79,56516710.0
2022-03-16,2.86,3.0,2.8,2.89,30585290.0
2022-03-17,2.9,2.9,2.74,2.77,18442350.0
2022-03-18,2.7,2.87,2.63,2.87,25081150.0
2022-03-21,2.87,2.87,2.73,2.78,10548190.0
2022-03-22,2.75,2.76,2.71,2.74,12051100.0
2022-03-23,2.68,2.78,2.6,2.78,17128030.0
2022-03-24,2.85,2.93,2.83,2.92,29469010.0
2022-03-25,2.95,3.02,2.87,2.93,30067020.0
2022-03-28,2.9,2.91,2.83,2.89,24981910.0
2022-03-29,2.85,2.85,2.78,2.85,26023440.0
2022-03-30,2.87,2.93,2.85,2.93,16451770.0
2022-03-31,2.93,2.96,2.92,2.93,19635740.0
2022-04-01,2.93,2.94,2.87,2.94,28288720.0
2022-04-04,2.9,3.07,2.84,3.01,40813240.0
2022-04-05,3.05,3.05,2.97,2.97,16116810.0
2022-04-06,2.97,3.02,2.96,2.97,11599390.0
2022-04-07,2.97,3.02,2.9,2.92,17438040.0
2022-04-08,2.94,2.96,2.88,2.91,44029210.0
2022-04-11,2.91,2.95,2.86,2.95,32410760.0
2022-04-12,2.99,3.0,2.92,2.94,23083240.0
2022-04-13,2.78,2.81,2.75,2.8,19458320.0
2022-04-18,2.78,2.85,2.77,2.79,29964820.0
2022-04-19,2.83,2.85,2.8,2.84,37414580.0
2022-04-20,2.85,2.86,2.75,2.82,11310100.0
2022-04-21,2.8,2.92,2.8,2.9,10315640.0
2022-04-22,2.88,2.9,2.84,2.84,13685920.0
2022-04-25,2.83,2.83,2.55,2.65,19504030.0
2022-04-26,2.69,2.73,2.67,2.67,15211340.0
2022-04-27,2.72,2.72,2.54,2.54,14505100.0
2022-04-28,2.6,2.65,2.59,2.64,4891370.0
2022-04-29,2.65,2.67,2.6,2.61,7438000.0
2022-05-02,2.6,2.65,2.5,2.6,21220260.0
2022-05-04,2.52,2.59,2.49,2.57,6318930.0
2022-05-05,2.59,2.66,2.56,2.65,13574740.0
2022-05-06,2.63,2.69,2.59,2.65,25615480.0
2022-05-10,2.6,2.6,2.28,2.42,22200210.0
2022-05-11,2.46,2.49,2.4,2.44,4555280.0
2022-05-12,2.43,2.49,2.33,2.49,10086570.0
2022-05-13,2.41,2.48,2.38,2.48,9235480.0
2022-05-16,2.42,2.47,2.39,2.41,7528820.0
2022-05-17,2.4,2.46,2.39,2.45,6596100.0
2022-05-18,2.48,2.5,2.46,2.5,6292290.0
2022-05-19,2.49,2.5,2.43,2.46,9895720.0
2022-05-20,2.5,2.57,2.5,2.55,18466900.0
2022-05-23,2.55,2.59,2.51,2.59,6020230.0
2022-05-24,2.59,2.61,2.57,2.6,9362450.0
2022-05-25,2.6,2.6,2.54,2.55,1155460.0
2022-05-26,2.6,2.65,2.59,2.62,5829710.0
2022-05-27,2.65,2.65,2.55,2.55,6318090.0
2022-05-30,2.55,2.61,2.55,2.6,1037770.0
2022-05-31,2.63,2.67,2.62,2.65,5100710.0
2022-06-01,2.65,2.67,2.56,2.63,2110200.0
2022-06-02,2.65,2.66,2.58,2.65,5176930.0
2022-06-03,2.65,2.7,2.65,2.7,9957970.0
2022-06-06,2.72,2.72,2.59,2.59,4364410.0
2022-06-07,2.6,2.69,2.6,2.67,3291390.0
2022-06-08,2.68,2.68,2.61,2.64,279040.0
2022-06-09,2.6,2.63,2.55,2.56,11428110.0
2022-06-10,2.53,2.56,2.53,2.55,9878430.0
2022-06-13,2.54,2.54,2.42,2.42,10434450.0
2022-06-14,2.41,2.45,2.39,2.43,4731640.0
2022-06-15,2.42,2.48,2.32,2.32,11544890.0
2022-06-16,2.35,2.44,2.35,2.38,1269770.0
2022-06-17,2.38,2.38,2.3,2.31,7151060.0
2022-06-20,2.3,2.35,2.23,2.28,828640.0
2022-06-21,2.3,2.31,2.26,2.31,2534160.0
2022-06-22,2.31,2.39,2.31,2.35,2714810.0
