dt,open,high,low,close,value
2023-06-01,1.65,1.65,1.58,1.63,1782140.0
2023-06-02,1.63,1.64,1.61,1.63,1307970.0
2023-06-05,1.63,1.66,1.6,1.66,1328840.0
2023-06-06,1.65,1.72,1.64,1.69,10528500.0
2023-06-07,1.71,1.74,1.69,1.7,10518120.0
2023-06-08,1.72,1.73,1.67,1.7,4553950.0
2023-06-09,1.7,1.7,1.69,1.7,2759920.0
2023-06-13,1.72,1.72,1.69,1.69,3904710.0
2023-06-14,1.7,1.7,1.63,1.63,4333680.0
2023-06-15,1.64,1.65,1.62,1.63,1014380.0
2023-06-16,1.61,1.68,1.6,1.67,1806980.0
2023-06-19,1.63,1.69,1.63,1.68,4792820.0
2023-06-20,1.68,1.7,1.67,1.67,1632890.0
2023-06-21,1.69,1.69,1.62,1.62,1057550.0
2023-06-22,1.62,1.68,1.62,1.64,596100.0
2023-06-23,1.65,1.66,1.61,1.62,1764130.0
2023-06-26,1.61,1.68,1.6,1.67,2414690.0
2023-06-27,1.67,1.83,1.67,1.8,24088700.0
2023-06-29,1.82,1.84,1.78,1.8,4410620.0
2023-06-30,1.8,1.88,1.78,1.82,10616520.0
2023-07-03,1.84,1.86,1.76,1.8,5728230.0
2023-07-04,1.81,1.84,1.79,1.81,2406880.0
2023-07-05,1.8,1.8,1.7,1.77,6315070.0
2023-07-06,1.77,1.78,1.73,1.74,980470.0
2023-07-07,1.72,1.76,1.71,1.73,2469650.0
2023-07-10,1.73,1.76,1.72,1.74,1103670.0
2023-07-11,1.75,1.82,1.63,1.66,15782410.0
2023-07-12,1.68,1.76,1.67,1.75,7043270.0
2023-07-13,1.75,1.79,1.74,1.75,5461540.0
2023-07-14,1.75,1.76,1.74,1.75,3160210.0
2023-07-17,1.75,1.76,1.72,1.75,4647340.0
2023-07-18,1.74,1.75,1.72,1.73,1860010.0
2023-07-19,1.73,1.77,1.73,1.77,1498470.0
2023-07-20,1.77,1.77,1.73,1.74,1878430.0
2023-07-21,1.74,1.75,1.71,1.73,2198270.0
2023-07-24,1.73,1.75,1.71,1.72,969160.0
2023-07-25,1.74,1.8,1.72,1.77,24906800.0
2023-07-26,1.77,1.79,1.72,1.72,9513880.0
2023-07-27,1.71,1.74,1.71,1.72,3431480.0
2023-07-28,1.72,1.72,1.66,1.67,5933580.0
2023-07-31,1.67,1.7,1.67,1.7,1294170.0
2023-08-01,1.68,1.7,1.62,1.64,5411660.0
2023-08-02,1.68,1.68,1.6,1.62,4059750.0
2023-08-03,1.62,1.64,1.62,1.62,721250.0
2023-08-04,1.64,1.66,1.62,1.66,228890.0
2023-08-07,1.63,1.66,1.62,1.66,132920.0
2023-08-08,1.67,1.67,1.62,1.65,922410.0
2023-08-09,1.62,1.65,1.61,1.65,902990.0
2023-08-10,1.63,1.65,1.53,1.64,3786690.0
2023-08-11,1.64,1.72,1.63,1.71,8696030.0
2023-08-14,1.71,1.72,1.62,1.66,778410.0
2023-08-15,1.69,1.69,1.62,1.62,1134450.0
2023-08-16,1.65,1.68,1.61,1.63,1849280.0
2023-08-17,1.63,1.63,1.59,1.6,1649840.0
