dt,open,high,low,close,value
2023-06-01,197.0,202.0,195.1,201.0,200488387.0
2023-06-02,202.0,203.0,199.0,202.8,267074506.0
2023-06-05,203.0,203.0,199.0,199.0,156307510.0
2023-06-06,200.0,203.0,197.1,201.0,274176025.0
2023-06-07,201.0,202.2,198.7,202.0,202610417.0
2023-06-08,201.6,202.4,199.6,201.8,181618002.0
2023-06-09,201.4,201.6,198.0,198.0,147134636.0
2023-06-13,198.0,201.0,197.5,200.0,103540012.0
2023-06-14,197.1,200.0,195.3,197.0,177050380.0
2023-06-15,196.5,196.9,191.3,194.5,352890323.0
2023-06-16,195.5,202.0,195.1,202.0,333438260.0
2023-06-19,200.0,201.8,199.0,200.0,61742267.0
2023-06-20,200.0,200.0,197.0,200.0,83832854.0
2023-06-21,198.0,200.0,197.5,200.0,149281420.0
2023-06-22,200.2,201.0,198.5,200.0,144177708.0
2023-06-23,200.8,200.8,198.1,199.7,227496277.0
2023-06-26,200.0,207.4,200.0,206.0,272626564.0
2023-06-27,206.8,210.0,203.0,209.0,599300962.0
2023-06-29,204.0,206.0,200.2,200.2,178840948.0
2023-06-30,200.4,203.8,200.4,203.8,146156580.0
2023-07-03,202.0,203.8,200.2,200.6,59912080.0
2023-07-04,203.2,204.0,200.0,200.8,182063064.0
2023-07-05,201.6,203.2,198.5,203.0,140924592.0
2023-07-06,200.4,203.0,198.2,198.4,148829113.0
2023-07-07,198.1,200.4,196.6,198.4,152305423.0
2023-07-10,198.4,200.8,198.4,200.4,108114015.0
2023-07-11,201.0,203.0,200.2,200.2,129706840.0
2023-07-12,201.0,203.0,201.0,202.4,222751872.0
2023-07-13,203.2,206.2,203.0,205.0,214233844.0
2023-07-14,205.8,209.0,201.4,209.0,103501440.0
2023-07-17,207.8,208.6,204.4,205.0,118344802.0
2023-07-18,207.6,207.6,205.2,207.0,85558934.0
2023-07-19,207.0,208.6,205.4,207.6,127744618.0
2023-07-20,207.0,209.6,206.0,206.0,192701070.0
2023-07-21,206.2,212.0,206.2,208.2,219690034.0
2023-07-24,208.6,210.0,204.0,204.0,129197752.0
2023-07-25,204.0,207.8,204.0,206.4,80926258.0
2023-07-26,206.4,207.0,205.0,207.0,84093798.0
2023-07-27,206.0,213.0,206.0,213.0,245619248.0
2023-07-28,212.0,212.8,208.0,211.0,107790464.0
2023-07-31,211.0,217.0,211.0,217.0,321160806.0
2023-08-01,217.0,217.0,210.2,210.2,296465348.0
2023-08-02,211.0,214.0,205.0,206.0,341682372.0
2023-08-03,206.0,210.0,206.0,208.0,92566246.0
2023-08-04,210.6,210.6,207.4,208.2,17405030.0
2023-08-07,205.0,208.8,204.4,208.0,163472588.0
2023-08-08,206.2,211.4,206.0,208.8,288243126.0
2023-08-09,210.0,214.2,207.0,214.2,105104222.0
2023-08-10,213.0,213.0,208.0,208.0,282227146.0
2023-08-11,208.0,208.2,204.2,204.2,192448900.0
2023-08-14,204.2,206.2,200.2,201.0,90166838.0
2023-08-15,201.0,205.8,201.0,205.8,101899610.0
2023-08-16,205.6,216.0,203.2,212.0,310282864.0
2023-08-17,209.4,215.8,209.4,215.8,421513930.0
2023-08-18,211.0,215.0,211.0,213.8,141937944.0
2023-08-22,212.0,213.0,205.8,205.8,239214140.0
2023-08-23,206.0,207.2,204.2,205.0,320625988.0
2023-08-24,205.0,207.8,205.0,205.0,228642634.0
2023-08-25,205.0,205.4,204.2,204.8,197111680.0
2023-08-29,207.0,213.6,205.4,213.6,302875060.0
2023-08-30,211.2,215.6,210.4,212.8,263266692.0
2023-08-31,212.8,213.4,207.2,207.2,437704004.0
2023-09-01,209.8,210.0,206.0,206.0,106031000.0
2023-09-04,208.0,208.0,206.0,206.0,57047902.0
2023-09-05,206.2,209.0,204.2,205.0,143673614.0
2023-09-06,205.2,207.0,204.6,205.4,74470842.0
2023-09-07,205.4,207.0,205.0,206.6,66284222.0
2023-09-08,205.2,209.4,205.0,209.4,104832390.0
2023-09-11,209.6,211.0,207.6,211.0,334963056.0
2023-09-12,210.0,212.8,209.0,209.0,220657290.0
2023-09-13,209.0,209.0,205.4,207.0,195848174.0
2023-09-14,206.2,212.0,206.2,210.0,100267894.0
2023-09-15,210.0,212.0,205.0,205.0,334175004.0
2023-09-18,208.0,209.0,205.2,209.0,76248880.0
2023-09-19,209.0,209.0,205.0,206.0,32628140.0
2023-09-20,206.0,206.0,204.0,204.0,80974014.0
2023-09-21,205.0,206.0,202.2,202.8,110298858.0
2023-09-22,202.2,204.6,201.2,203.8,107267142.0
2023-09-25,205.0,205.0,202.0,204.0,133451214.0
2023-09-26,204.0,205.8,203.2,203.2,99800308.0
2023-09-27,204.0,208.6,203.2,208.6,184778878.0
2023-09-28,208.6,209.2,204.4,208.0,165282190.0
2023-09-29,208.6,209.4,207.0,207.2,199681058.0
2023-10-02,207.8,209.8,207.0,207.0,78086470.0
2023-10-03,208.6,208.8,205.6,208.6,100965770.0
2023-10-04,208.6,208.6,205.8,206.8,109599908.0
2023-10-05,206.8,208.6,203.0,203.0,213227492.0
2023-10-06,206.8,207.0,203.0,203.4,118354882.0
2023-10-09,203.4,205.4,202.4,203.4,50069018.0
2023-10-10,205.0,206.6,203.6,205.0,73410006.0
2023-10-11,205.0,206.6,201.2,202.0,402566672.0
2023-10-12,202.0,209.0,202.0,203.2,361244706.0
2023-10-13,203.6,210.8,203.0,209.0,304288150.0
2023-10-16,209.0,210.0,206.0,209.0,78952770.0
2023-10-17,209.4,215.6,209.4,215.0,670143454.0
2023-10-18,215.0,216.4,213.4,214.2,395263232.0
2023-10-19,213.4,213.4,210.0,210.0,116280468.0
2023-10-20,213.4,213.4,207.2,207.2,174350926.0
2023-10-23,206.0,206.0,202.6,205.0,87494530.0
2023-10-24,208.0,208.6,202.0,202.0,223866502.0
2023-10-25,201.8,202.2,200.2,201.0,288136944.0
2023-10-26,201.0,201.2,197.0,201.0,210313116.0
2023-10-27,201.0,201.0,199.2,199.5,237783893.0
2023-10-31,201.0,205.8,198.1,201.2,292531354.0
2023-11-03,204.0,209.6,201.4,205.0,246485442.0
2023-11-06,205.2,209.0,203.0,209.0,110078726.0
2023-11-07,209.0,210.0,206.0,210.0,103460516.0
2023-11-08,210.0,210.0,208.2,209.4,108190568.0
2023-11-09,207.8,210.0,207.0,207.0,90459916.0
2023-11-10,207.2,208.6,206.2,208.6,52212740.0
2023-11-13,208.4,209.0,203.8,205.0,86308748.0
2023-11-14,206.0,208.2,202.4,203.4,141359984.0
