dt,open,high,low,close,value
2023-06-01,235.6,235.6,230.2,230.4,84267392.0
2023-06-02,233.4,235.4,231.0,235.0,61734930.0
2023-06-05,235.0,236.0,232.0,232.0,72217090.0
2023-06-06,232.0,233.0,230.0,231.0,90619434.0
2023-06-07,231.0,233.0,231.0,233.0,54152310.0
2023-06-08,233.0,235.6,232.4,235.4,77580532.0
2023-06-09,235.0,236.0,234.4,235.6,76756592.0
2023-06-13,235.0,235.6,233.6,235.0,66061364.0
2023-06-14,235.0,235.0,233.0,234.6,32401458.0
2023-06-15,234.6,235.0,233.0,234.8,62634058.0
2023-06-16,233.2,240.0,233.2,240.0,222326874.0
2023-06-19,236.2,240.0,236.0,240.0,95508462.0
2023-06-20,240.0,240.2,239.0,240.0,90676762.0
2023-06-21,240.0,244.8,240.0,240.0,229158050.0
2023-06-22,240.2,242.0,239.2,241.4,82262062.0
2023-06-23,242.0,242.0,240.2,240.2,31289424.0
2023-06-26,240.4,243.0,240.2,241.8,79315722.0
2023-06-27,242.0,244.0,238.6,238.6,199722936.0
2023-06-29,238.6,242.0,238.4,238.6,139451842.0
2023-06-30,238.8,240.2,237.8,239.2,172752616.0
2023-07-03,239.0,241.4,237.8,240.4,380641254.0
2023-07-04,240.4,242.8,240.0,242.8,61047674.0
2023-07-05,242.8,242.8,240.2,242.8,54812694.0
2023-07-06,241.2,241.8,240.6,241.0,150867490.0
2023-07-07,241.0,241.8,240.2,240.2,35614176.0
2023-07-10,240.2,242.0,234.8,236.0,82214290.0
2023-07-11,236.0,241.8,235.4,236.0,198404176.0
2023-07-12,238.0,243.8,237.2,243.6,131154284.0
2023-07-13,244.0,257.0,243.8,253.0,746004332.0
2023-07-14,252.6,254.2,249.8,254.2,210628150.0
2023-07-17,253.0,253.0,250.0,250.0,120124074.0
2023-07-18,250.0,254.4,249.2,250.0,150253412.0
2023-07-19,250.0,255.0,250.0,255.0,226689230.0
2023-07-20,255.0,259.6,254.0,258.8,386977580.0
2023-07-21,258.0,259.0,255.6,255.6,237142882.0
2023-07-24,256.0,259.0,255.6,258.0,77555932.0
2023-07-25,258.0,261.4,258.0,259.8,248478452.0
2023-07-26,256.0,259.4,253.8,259.2,181220988.0
2023-07-27,257.0,259.0,255.6,259.0,110871960.0
2023-07-28,257.0,257.0,251.2,252.0,89607046.0
2023-07-31,252.8,260.4,252.8,255.0,218314450.0
2023-08-01,256.2,261.0,255.2,261.0,106655546.0
2023-08-02,261.0,261.0,252.4,253.6,77929226.0
