dt,open,high,low,close,value
2022-01-03,53.0,54.45,52.8,54.15,47411585.0
2022-01-05,54.35,56.5,54.35,56.5,198401367.0
2022-01-06,55.25,56.5,55.25,56.3,167847249.5
2022-01-07,56.6,56.6,55.45,56.2,101818834.0
2022-01-10,56.2,58.45,56.0,57.0,79122421.5
2022-01-11,58.2,58.85,57.0,58.75,162327060.5
2022-01-12,58.7,58.9,57.5,58.2,58880780.0
2022-01-13,58.2,60.0,58.2,60.0,160018708.5
2022-01-14,59.0,60.0,58.7,60.0,80261631.0
2022-01-17,59.2,59.3,57.5,58.0,120498497.5
2022-01-18,59.0,60.5,58.9,60.5,92716684.0
2022-01-19,60.0,60.3,58.0,58.0,57391165.5
2022-01-20,58.0,60.1,58.0,60.1,47593211.0
2022-01-21,59.95,62.0,59.15,62.0,138006257.5
2022-01-24,60.55,61.2,60.05,61.05,60927844.0
2022-01-25,61.0,61.0,60.05,61.0,44852848.5
2022-01-26,61.0,62.0,59.4,62.0,167478366.0
2022-01-27,61.8,61.85,60.25,61.4,90324676.0
2022-01-28,61.35,61.95,59.75,59.75,94210822.5
2022-01-31,60.4,62.5,60.0,62.5,151325290.5
2022-02-02,62.45,62.45,60.7,61.5,55540735.0
2022-02-03,61.5,62.0,59.85,61.5,67691614.5
2022-02-04,60.9,61.7,60.0,61.7,35388977.0
2022-02-07,61.7,61.8,59.2,59.45,75405696.5
2022-02-08,59.45,60.9,59.05,59.65,33607076.0
2022-02-09,59.9,60.7,59.05,59.05,34110133.5
2022-02-10,59.3,60.4,58.2,58.2,73656162.0
2022-02-11,59.45,59.45,56.8,57.1,284228738.0
2022-02-14,57.1,58.95,57.1,58.85,83835231.0
2022-02-15,59.0,59.5,58.0,59.45,74927507.5
2022-02-16,59.8,61.45,59.5,61.2,145774884.0
2022-02-17,60.95,62.05,60.4,62.05,127506976.0
2022-02-18,61.75,62.15,60.45,62.15,50878092.5
2022-02-21,62.0,62.8,60.55,62.8,104966877.5
2022-02-22,62.5,63.0,61.0,63.0,85501956.5
2022-02-23,62.9,64.1,61.05,63.8,102399825.5
2022-02-24,63.0,63.75,61.3,62.45,52402773.0
2022-02-28,61.5,62.45,60.3,60.3,284777261.5
2022-03-01,60.3,61.4,60.3,61.0,145070126.5
2022-03-02,61.0,61.7,60.7,61.7,45601282.0
2022-03-03,61.5,61.5,60.4,61.0,40038540.5
