dt,open,high,low,close,value
2022-01-03,5.18,5.32,5.12,5.3,12634738.0
2022-01-05,5.26,5.32,5.18,5.3,10665774.0
2022-01-06,5.2,5.28,5.2,5.25,6019804.0
2022-01-07,5.15,5.2,5.1,5.17,6705278.0
2022-01-10,5.1,5.26,5.07,5.24,3092257.0
2022-01-11,5.2,5.33,5.17,5.22,2309812.0
2022-01-12,5.31,5.31,5.19,5.25,4092681.0
2022-01-13,5.3,5.5,5.25,5.43,5904589.0
2022-01-14,5.4,5.49,5.36,5.39,3156408.0
2022-01-17,5.39,5.41,5.26,5.28,2924592.0
2022-01-18,5.26,5.26,5.1,5.2,16112381.0
2022-01-19,5.2,5.26,5.14,5.2,5456943.0
2022-01-20,5.2,5.23,5.15,5.17,2340875.0
2022-01-21,5.17,5.24,5.16,5.16,1338439.0
2022-01-24,5.16,5.2,5.09,5.1,9496784.0
2022-01-25,5.09,5.1,5.08,5.08,6816878.0
2022-01-26,5.08,5.1,5.08,5.1,5843980.0
2022-01-27,5.1,5.1,5.02,5.05,4573642.0
2022-01-28,5.05,5.16,5.05,5.1,7508670.0
2022-01-31,5.17,5.47,5.17,5.4,11770333.0
2022-02-02,5.43,5.72,5.43,5.69,14732148.0
2022-02-03,5.75,5.87,5.56,5.7,9527922.0
2022-02-04,5.7,5.78,5.58,5.65,7140000.0
2022-02-07,5.65,5.78,5.61,5.7,7133703.0
2022-02-08,5.77,5.98,5.77,5.97,13076755.0
2022-02-09,6.0,6.0,5.8,5.91,6831840.0
2022-02-10,5.91,5.93,5.81,5.82,5622245.0
2022-02-11,5.82,5.85,5.62,5.67,8479578.0
2022-02-14,5.64,5.67,5.5,5.64,5283645.0
2022-02-15,5.7,5.7,5.35,5.35,6761763.0
2022-02-16,5.45,5.72,5.44,5.7,6182208.0
2022-02-17,5.71,5.85,5.7,5.73,9513023.0
2022-02-18,5.7,5.73,5.58,5.73,4988711.0
2022-02-21,5.73,5.85,5.62,5.63,5688399.0
2022-02-22,5.6,5.69,5.5,5.6,4263193.0
2022-02-23,5.59,6.19,5.54,6.19,42783624.0
2022-02-24,6.17,6.25,5.5,5.6,47000623.0
2022-02-28,5.63,5.85,5.55,5.6,13774106.0
2022-03-01,5.8,6.04,5.74,5.9,22679384.0
2022-03-02,6.0,6.09,5.75,5.8,13855713.0
2022-03-03,5.97,6.05,5.8,6.03,14886919.0
2022-03-04,6.03,6.15,5.92,5.98,9085637.0
2022-03-07,5.98,5.98,5.4,5.57,25410945.0
2022-03-08,5.5,5.5,5.21,5.25,28717629.0
2022-03-09,5.25,5.38,5.11,5.31,14139990.0
2022-03-10,5.37,5.48,5.27,5.28,6878997.0
2022-03-11,5.28,5.36,5.15,5.19,5300258.0
2022-03-14,5.2,5.26,5.05,5.1,6248270.0
2022-03-15,5.1,5.23,4.8,5.2,8244051.0
2022-03-16,5.24,5.34,5.13,5.2,3148018.0
2022-03-17,5.34,5.5,5.27,5.44,5526001.0
2022-03-18,5.5,5.54,5.3,5.4,2878944.0
2022-03-21,5.38,5.44,5.2,5.2,2946713.0
2022-03-22,5.22,5.34,5.13,5.2,2595830.0
2022-03-23,5.3,5.35,5.19,5.25,3026452.0
2022-03-24,5.4,5.4,5.2,5.22,1817486.0
2022-03-25,5.22,5.27,5.22,5.25,1818175.0
2022-03-28,5.22,5.38,5.2,5.3,1269036.0
2022-03-29,5.3,5.52,5.25,5.5,8127161.0
2022-03-30,5.51,5.76,5.51,5.71,9334910.0
2022-03-31,5.7,5.9,5.7,5.74,7683154.0
2022-04-01,5.74,5.74,5.6,5.64,3936296.0
2022-04-04,5.62,5.74,5.62,5.74,3865403.0
2022-04-05,5.74,5.88,5.67,5.72,7148444.0
2022-04-06,5.73,5.76,5.63,5.63,4007246.0
2022-04-07,5.65,5.65,5.47,5.51,7470586.0
2022-04-08,5.5,5.5,5.4,5.47,3112694.0
2022-04-11,5.5,5.74,5.5,5.7,5080111.0
2022-04-12,5.69,5.69,5.48,5.58,3314864.0
2022-04-13,5.63,5.65,5.5,5.63,1928956.0
2022-04-18,5.69,5.69,5.5,5.57,2020540.0
2022-04-19,5.62,5.65,5.5,5.55,1708994.0
2022-04-20,5.55,5.65,5.5,5.6,2479019.0
2022-04-21,5.6,5.66,5.55,5.55,1163875.0
2022-04-22,5.55,5.56,5.34,5.37,4742694.0
2022-04-25,5.4,5.46,5.25,5.34,2243634.0
2022-04-26,5.4,5.48,5.34,5.34,1839527.0
2022-04-27,5.3,5.47,5.14,5.14,6893383.0
2022-04-28,5.2,5.25,5.15,5.25,1262967.0
2022-04-29,5.22,5.3,5.2,5.21,2154134.0
2022-05-02,5.15,5.18,5.05,5.14,4116801.0
2022-05-04,5.14,5.2,5.02,5.17,1282348.0
2022-05-05,5.22,5.35,5.21,5.3,1208275.0
2022-05-06,5.2,5.21,5.12,5.15,3565484.0
2022-05-10,5.03,5.03,4.65,4.87,13608102.0
2022-05-11,4.85,4.94,4.75,4.87,1567610.0
2022-05-12,4.87,4.87,4.7,4.71,1791320.0
2022-05-13,4.75,4.79,4.68,4.7,1791610.0
2022-05-16,4.82,5.07,4.82,4.93,3537720.0
2022-05-17,4.9,4.93,4.84,4.85,1967060.0
2022-05-18,5.0,5.05,4.9,5.01,2642020.0
2022-05-19,5.01,5.01,4.8,4.85,2273337.0
2022-05-20,4.86,5.0,4.85,5.0,966360.0
2022-05-23,5.0,5.03,4.95,4.96,1405180.0
2022-05-24,4.86,5.01,4.85,4.94,791550.0
2022-05-25,4.87,4.98,4.85,4.85,1054760.0
2022-05-26,4.85,4.9,4.84,4.84,1520710.0
2022-05-27,4.89,4.89,4.84,4.85,1315670.0
2022-05-30,4.84,5.02,4.82,4.94,3767730.0
2022-05-31,4.95,5.02,4.9,4.94,1328470.0
2022-06-01,5.03,5.03,4.84,4.9,2153720.0
2022-06-02,4.9,4.95,4.85,4.85,543280.0
2022-06-03,4.83,4.86,4.81,4.83,1848920.0
2022-06-06,4.83,4.86,4.7,4.78,4585060.0
2022-06-07,4.8,4.9,4.7,4.71,3094130.0
2022-06-08,4.71,4.85,4.7,4.85,1085740.0
2022-06-09,4.85,4.85,4.73,4.78,1061210.0
2022-06-10,4.78,4.82,4.72,4.74,501290.0
2022-06-13,4.72,4.72,4.6,4.69,2531620.0
2022-06-14,4.6,4.65,4.37,4.37,2870900.0
2022-06-15,4.42,4.42,4.15,4.35,7206610.0
2022-06-16,4.23,4.37,4.15,4.25,3514960.0
2022-06-17,4.22,4.22,4.1,4.2,1183770.0
2022-06-20,4.2,4.3,4.2,4.27,67970.0
2022-06-21,4.28,4.3,4.18,4.27,1020630.0
2022-06-22,4.28,4.32,4.25,4.29,701860.0
2022-06-23,4.29,4.29,4.09,4.1,2247080.0
2022-06-24,4.08,4.29,4.0,4.16,1291590.0
2022-06-27,4.15,4.25,4.03,4.03,3370830.0
2022-06-28,4.03,4.21,4.03,4.18,790070.0
2022-06-29,4.18,4.37,4.18,4.37,2695610.0
2022-06-30,4.37,4.41,4.3,4.32,675640.0
2022-07-01,4.3,4.36,4.21,4.36,454440.0
2022-07-04,4.39,4.39,4.21,4.27,313240.0
2022-07-05,4.3,4.4,4.21,4.4,1293970.0
2022-07-06,4.4,4.42,4.31,4.38,2532910.0
2022-07-07,4.38,4.56,4.36,4.38,2834610.0
2022-07-08,4.4,4.4,4.17,4.18,2206260.0
2022-07-11,4.2,4.29,4.2,4.26,716730.0
2022-07-12,4.28,4.32,4.27,4.27,539760.0
2022-07-13,4.25,4.28,4.12,4.23,819020.0
2022-07-14,4.22,4.23,4.06,4.12,1415880.0
2022-07-15,4.14,4.16,4.11,4.15,215100.0
2022-07-18,4.11,4.2,4.11,4.2,500560.0
2022-07-19,4.2,4.31,4.2,4.26,555660.0
2022-07-20,4.26,4.37,4.26,4.37,818200.0
2022-07-21,4.4,4.45,4.32,4.36,988390.0
2022-07-22,4.36,4.4,4.31,4.34,372670.0
2022-07-25,4.34,4.36,4.24,4.36,994910.0
2022-07-26,4.35,4.36,4.22,4.3,790750.0
2022-07-27,4.21,4.28,4.21,4.25,768920.0
2022-07-28,4.3,4.4,4.28,4.36,1576120.0
2022-07-29,4.4,4.4,4.24,4.29,1805370.0
2022-08-01,4.28,4.3,4.13,4.25,2336300.0
2022-08-02,4.25,4.25,4.16,4.23,1028060.0
2022-08-03,4.17,4.21,4.16,4.2,346890.0
2022-08-04,4.22,4.32,4.22,4.3,552770.0
2022-08-05,4.3,4.32,4.22,4.24,2072220.0
2022-08-08,4.25,4.3,4.2,4.26,1236050.0
2022-08-09,4.22,4.28,4.21,4.25,1064270.0
2022-08-10,4.27,4.35,4.27,4.33,495520.0
2022-08-11,4.33,4.71,4.33,4.69,7260230.0
2022-08-12,4.71,5.02,4.71,4.85,8691450.0
2022-08-15,4.85,5.2,4.85,5.1,10345350.0
2022-08-16,4.95,5.18,4.9,5.01,4956693.0
2022-08-17,5.0,5.12,4.93,5.06,7690929.0
2022-08-18,5.09,5.33,5.09,5.28,9041743.0
2022-08-19,5.28,5.4,5.18,5.28,3506911.0
2022-08-22,5.28,5.39,5.22,5.3,5335162.0
2022-08-23,5.25,5.3,5.1,5.11,5934512.0
2022-08-24,5.11,5.19,5.11,5.16,977881.0
2022-08-25,5.16,5.3,5.16,5.25,1829195.0
2022-08-26,5.25,5.25,5.11,5.17,2408914.0
2022-08-30,5.04,5.18,5.03,5.12,3483372.0
2022-08-31,5.11,5.2,5.09,5.13,1962603.0
2022-09-01,5.1,5.2,5.07,5.07,1207643.0
2022-09-02,5.06,5.19,5.05,5.16,2210358.0
2022-09-05,5.17,5.18,5.12,5.15,1885272.0
2022-09-06,5.18,5.42,5.15,5.42,16505612.0
2022-09-07,5.44,5.44,5.3,5.3,3521468.0
2022-09-08,5.3,5.44,5.3,5.39,3944418.0
2022-09-09,5.45,5.53,5.36,5.48,6125630.0
2022-09-12,5.54,5.54,5.45,5.45,3498213.0
2022-09-13,5.35,5.46,5.2,5.22,8110089.0
2022-09-14,5.05,5.15,5.03,5.12,3664662.0
2022-09-15,5.08,5.31,5.08,5.29,2015059.0
2022-09-16,5.3,5.4,5.15,5.24,3240331.0
2022-09-19,5.22,5.22,5.05,5.12,3364991.0
2022-09-20,5.15,5.15,5.1,5.12,2328438.0
2022-09-21,5.07,5.1,5.0,5.05,4400736.0
2022-09-22,5.0,5.0,4.83,4.88,4364053.0
2022-09-23,4.82,4.93,4.8,4.83,4210820.0
2022-09-27,4.89,4.89,4.52,4.54,3633700.0
2022-09-28,4.54,4.6,4.43,4.43,1778450.0
2022-09-29,4.5,4.7,4.5,4.55,1102720.0
2022-09-30,4.46,4.46,4.3,4.42,1630000.0
2022-10-03,4.37,4.37,4.28,4.3,1079100.0
2022-10-04,4.34,4.55,4.34,4.5,2343400.0
2022-10-05,4.56,4.65,4.56,4.58,1356280.0
2022-10-06,4.58,4.63,4.54,4.59,606420.0
2022-10-07,4.59,4.59,4.42,4.51,1197290.0
2022-10-10,4.5,4.5,4.25,4.28,2049090.0
2022-10-11,4.28,4.39,4.25,4.29,1137330.0
2022-10-12,4.29,4.34,4.28,4.33,382940.0
2022-10-13,4.35,4.38,4.32,4.35,703180.0
2022-10-14,4.36,4.41,4.36,4.37,324680.0
2022-10-17,4.37,4.51,4.37,4.47,502030.0
2022-10-18,4.52,4.65,4.5,4.57,2062730.0
2022-10-19,4.51,4.6,4.51,4.59,757260.0
2022-10-20,4.55,4.6,4.5,4.55,878240.0
2022-10-21,4.48,4.54,4.48,4.49,669000.0
2022-10-25,,,,,
2022-10-26,4.51,4.55,4.51,4.52,442650.0
2022-10-27,4.64,4.64,4.51,4.58,594130.0
2022-10-28,4.52,4.63,4.4,4.59,1240460.0
2022-11-02,4.58,4.64,4.58,4.6,832810.0
2022-11-03,4.6,4.61,4.52,4.56,1157170.0
2022-11-04,4.56,4.59,4.55,4.59,804680.0
2022-11-07,4.6,4.76,4.6,4.71,3749320.0
2022-11-08,4.75,4.82,4.69,4.7,5035960.0
2022-11-09,4.69,4.71,4.67,4.68,1146020.0
2022-11-10,4.67,4.7,4.67,4.7,2616170.0
2022-11-11,4.79,5.0,4.78,4.8,6513030.0
2022-11-14,4.9,4.97,4.83,4.9,1544440.0
2022-11-15,4.9,5.01,4.78,5.0,2428480.0
2022-11-16,4.98,5.14,4.9,4.91,2133639.0
2022-11-17,4.9,4.9,4.8,4.9,1984200.0
2022-11-18,4.86,4.96,4.8,4.81,2294300.0
2022-11-21,4.8,4.88,4.8,4.82,1106180.0
2022-11-22,4.85,4.94,4.8,4.85,1428830.0
2022-11-23,4.82,5.0,4.82,5.0,2785600.0
2022-11-24,5.0,5.2,5.0,5.12,4826068.0
2022-11-25,5.19,5.2,5.06,5.14,3898195.0
2022-11-28,5.12,5.14,5.05,5.08,3215889.0
2022-11-29,5.02,5.2,5.02,5.19,2702563.0
2022-12-01,5.18,5.37,5.18,5.36,12675911.0
2022-12-02,5.38,5.38,5.03,5.2,3984953.0
2022-12-05,5.16,5.27,5.12,5.12,2779300.0
2022-12-06,5.07,5.12,5.03,5.12,4806122.0
2022-12-07,5.12,5.12,5.07,5.07,1323533.0
2022-12-09,5.07,5.18,5.07,5.18,1102977.0
2022-12-12,5.18,5.2,5.05,5.05,2295949.0
2022-12-13,5.07,5.16,5.01,5.03,1802377.0
2022-12-14,5.01,5.1,5.01,5.03,2074660.0
2022-12-15,5.09,5.18,5.05,5.06,1185341.0
2022-12-16,5.01,5.04,4.88,5.0,4902726.0
2022-12-19,5.01,5.01,4.8,4.82,2284894.0
2022-12-20,4.82,5.0,4.64,4.98,418930.0
2022-12-21,4.99,5.05,4.75,5.0,1074340.0
2022-12-22,5.0,5.09,5.0,5.01,417758.0
2022-12-23,4.9,5.04,4.88,4.98,366503.0
2022-12-27,4.9,4.99,4.84,4.99,773800.0
2022-12-28,4.86,4.94,4.86,4.94,495270.0
2022-12-29,4.87,4.96,4.87,4.9,1265580.0
2023-01-03,4.9,4.97,4.9,4.96,1404670.0
2023-01-04,4.98,5.14,4.98,5.12,5762010.0
2023-01-05,5.12,5.3,5.1,5.2,5928967.0
2023-01-06,5.2,5.25,5.1,5.1,1150907.0
2023-01-09,5.1,5.3,5.1,5.28,7662460.0
2023-01-10,5.3,5.45,5.3,5.38,6248826.0
2023-01-11,5.35,5.45,5.21,5.25,3405097.0
2023-01-12,5.25,5.33,5.25,5.32,774696.0
2023-01-13,5.32,5.37,5.25,5.31,3921423.0
2023-01-16,5.32,5.5,5.25,5.45,8675324.0
2023-01-17,5.45,5.5,5.4,5.4,5678468.0
2023-01-18,5.4,5.4,5.27,5.36,2798731.0
2023-01-19,5.36,5.41,5.28,5.35,1014461.0
2023-01-20,5.38,5.38,5.2,5.31,3519168.0
2023-01-23,5.31,5.35,5.22,5.24,2164183.0
2023-01-24,5.24,5.34,5.24,5.25,1343034.0
2023-01-25,5.29,5.29,5.1,5.13,7537462.0
2023-01-26,5.14,5.19,5.14,5.18,3658979.0
2023-01-27,5.24,5.24,5.13,5.13,3046981.0
2023-01-30,5.14,5.21,5.02,5.05,4433893.0
2023-01-31,5.03,5.14,4.92,4.95,5705180.0
2023-02-01,4.96,5.06,4.96,5.02,4563810.0
2023-02-02,5.03,5.14,5.03,5.11,4357340.0
2023-02-03,5.15,5.2,5.1,5.2,11524414.0
2023-02-06,5.21,5.24,5.15,5.19,4158957.0
2023-02-07,5.22,5.3,5.18,5.18,5824134.0
2023-02-08,5.19,5.44,5.19,5.36,12365835.0
2023-02-09,5.45,5.48,5.36,5.4,14370328.0
2023-02-10,5.39,5.4,5.25,5.26,6905375.0
2023-02-13,5.3,5.32,5.2,5.2,5024486.0
2023-02-14,5.2,5.31,5.1,5.1,16061698.0
2023-02-15,5.14,5.14,5.0,5.05,7834433.0
2023-02-16,5.1,5.1,5.0,5.0,4735109.0
2023-02-17,5.0,5.09,4.96,5.0,2783155.0
2023-02-20,5.11,5.11,4.99,4.99,2777349.0
2023-02-21,4.99,5.07,4.98,5.04,3242840.0
2023-02-22,5.04,5.04,4.88,4.95,4545739.0
2023-02-23,4.95,4.98,4.89,4.89,17243590.0
2023-02-27,4.95,5.1,4.95,5.0,2654660.0
2023-02-28,5.0,5.06,4.98,4.98,2911566.0
2023-03-01,5.05,5.07,5.0,5.05,1529350.0
