dt,open,high,low,close,value
2022-01-03,54.0,54.8,52.9,54.0,358985818.5
2022-01-05,53.5,54.5,52.7,54.0,340212157.5
2022-01-06,53.85,53.85,52.9,53.5,102747945.5
2022-01-07,53.25,53.5,52.8,53.5,108898625.5
2022-01-10,53.1,55.2,52.4,55.2,294021617.5
2022-01-11,55.0,56.5,55.0,55.8,322162950.0
2022-01-12,55.8,57.7,55.8,57.7,327888988.5
2022-01-13,57.7,59.2,57.65,59.2,380353009.0
2022-01-14,59.0,59.0,57.3,57.8,394273343.0
2022-01-17,57.8,58.4,57.5,57.5,134660365.5
2022-01-18,57.6,58.9,57.6,58.9,58340402.0
2022-01-19,58.0,58.5,57.25,58.0,144144913.5
2022-01-20,58.0,58.5,57.15,58.2,88464331.0
2022-01-21,58.15,58.15,57.05,57.3,335626786.5
2022-01-24,57.3,57.35,56.9,57.0,145886205.0
2022-01-25,57.0,57.3,56.25,56.25,166113883.0
2022-01-26,56.25,56.25,55.7,56.0,156783488.0
2022-01-27,56.0,58.3,56.0,58.0,206363586.0
2022-01-28,57.95,58.0,57.05,57.55,220175000.0
2022-01-31,57.8,59.25,57.8,58.9,287136751.5
2022-02-02,59.0,59.85,58.95,59.55,209058659.0
2022-02-03,59.75,59.9,59.35,59.4,148121197.0
2022-02-04,59.45,59.85,59.45,59.45,96320781.0
2022-02-07,59.6,63.5,59.3,59.3,745561057.5
2022-02-08,59.6,60.9,59.6,59.9,172620027.0
2022-02-09,59.85,61.0,59.6,59.7,256176875.5
2022-02-10,59.7,60.9,59.7,59.8,177865629.0
2022-02-11,59.8,60.0,58.3,59.0,253708267.5
2022-02-14,59.2,60.2,58.85,59.5,108329862.0
2022-02-15,59.6,59.75,58.1,58.8,220880077.5
2022-02-16,59.0,60.0,59.0,59.7,140228391.0
2022-02-17,59.55,60.65,59.55,60.2,130177558.5
2022-02-18,60.2,60.6,59.65,60.3,197793726.0
2022-02-21,60.3,60.6,59.7,60.0,124773845.0
2022-02-22,60.0,60.75,59.4,60.75,86487692.5
2022-02-23,60.2,60.5,59.4,59.85,308198195.0
2022-02-24,60.5,60.85,58.7,59.5,683123852.5
2022-02-28,59.05,59.55,57.1,57.1,409753809.5
2022-03-01,58.2,59.15,57.8,58.0,308499633.5
2022-03-02,58.5,58.5,57.1,57.1,233989552.0
2022-03-03,57.1,58.15,57.1,57.5,121767754.5
2022-03-04,57.9,58.6,57.45,58.15,155350344.0
2022-03-07,58.0,58.0,55.3,55.3,467433050.5
2022-03-08,55.2,55.2,52.5,52.5,554029394.0
2022-03-09,52.5,54.35,52.5,53.75,330272981.0
2022-03-10,54.6,55.6,54.6,55.05,293335585.5
2022-03-11,55.2,55.7,55.2,55.5,200975041.5
2022-03-14,54.0,54.0,51.65,52.0,210177221.0
2022-03-15,52.15,53.25,50.55,53.0,268816762.0
2022-03-16,53.0,53.25,52.05,52.25,296974620.0
2022-03-17,53.25,54.55,53.05,54.2,325344695.5
2022-03-18,53.85,54.5,52.55,52.8,209493289.0
2022-03-21,53.55,53.55,52.1,52.1,195684167.5
2022-03-22,52.3,54.2,52.3,54.2,125606307.5
2022-03-23,54.0,54.1,53.05,53.95,96119513.0
2022-03-24,53.85,54.25,52.95,52.95,310183516.5
2022-03-25,53.65,54.75,53.15,54.55,130752503.5
2022-03-28,54.6,54.6,53.5,54.4,73677247.0
2022-03-29,54.7,54.8,53.6,54.4,58939205.5
2022-03-30,54.6,55.9,54.6,55.65,213482767.5
2022-03-31,55.75,57.0,55.7,57.0,243110906.0
2022-04-01,56.5,56.85,55.75,56.0,111889278.5
2022-04-04,55.9,56.9,55.9,56.9,94350983.0
2022-04-05,56.9,56.95,56.05,56.95,58180816.0
2022-04-06,56.5,56.85,55.75,56.85,138725690.0
2022-04-07,56.6,56.7,54.05,54.05,176413063.5
2022-04-08,54.35,55.0,54.25,54.5,64888824.0
2022-04-11,55.0,55.2,54.6,55.0,25748691.5
2022-04-12,55.0,55.0,53.85,53.85,91812662.5
2022-04-13,54.0,55.0,54.0,55.0,46822128.0
2022-04-18,54.95,54.95,54.0,54.1,30224711.5
2022-04-19,54.25,54.7,53.6,53.6,93551732.5
2022-04-20,53.9,55.2,53.9,55.2,89286037.0
