dt,open,high,low,close,value
2023-06-01,326.8,327.6,322.4,322.6,54808162.0
2023-06-02,322.6,328.0,322.4,328.0,35004620.0
2023-06-05,327.8,332.8,327.8,331.0,21866186.0
2023-06-06,331.0,331.0,327.2,329.6,35486574.0
2023-06-07,330.0,330.0,327.0,330.0,34167666.0
2023-06-08,330.2,331.4,328.0,330.6,31680318.0
2023-06-09,331.0,332.2,328.0,328.0,51817582.0
2023-06-13,331.8,331.8,329.0,330.0,63630834.0
2023-06-14,330.8,331.2,329.0,330.0,16677452.0
2023-06-15,330.0,335.0,323.8,335.0,46328456.0
2023-06-16,334.8,336.0,327.0,336.0,137595984.0
2023-06-19,336.0,336.0,331.2,333.4,35365982.0
2023-06-20,333.4,333.4,331.6,332.0,33291882.0
2023-06-21,331.2,332.0,328.4,328.6,19706122.0
2023-06-22,328.8,329.8,327.0,329.4,22386136.0
2023-06-23,327.0,329.2,326.0,326.0,24573594.0
2023-06-26,327.0,332.0,326.0,329.0,51185570.0
2023-06-27,330.4,335.8,330.0,334.0,101415232.0
2023-06-29,334.0,334.0,327.0,330.0,47330946.0
2023-06-30,330.0,335.0,329.6,335.0,29111690.0
2023-07-03,329.0,335.4,329.0,335.4,11451548.0
2023-07-04,335.4,335.4,333.0,333.2,13635362.0
2023-07-05,333.2,335.0,330.0,335.0,35890810.0
2023-07-06,335.0,335.0,330.4,331.6,25136212.0
2023-07-07,331.8,334.6,328.0,328.0,29361256.0
2023-07-10,328.0,330.0,326.6,329.0,24981024.0
2023-07-11,329.2,335.0,329.0,331.0,28956012.0
2023-07-12,330.0,332.8,330.0,332.4,27367298.0
2023-07-13,334.8,334.8,333.2,334.4,16928334.0
2023-07-14,334.4,340.0,333.2,340.0,88458208.0
2023-07-17,340.0,350.0,334.0,349.6,205686870.0
2023-07-18,349.6,351.6,349.6,351.0,196016038.0
2023-07-19,351.0,351.0,348.0,349.8,93898710.0
2023-07-20,349.0,352.6,342.0,351.2,104203910.0
2023-07-21,351.2,352.0,345.0,345.0,65746978.0
2023-07-24,348.0,350.0,346.2,347.0,13887374.0
2023-07-25,347.0,351.8,346.4,350.0,96095708.0
2023-07-26,351.0,351.0,347.0,350.0,46970186.0
2023-07-27,350.0,352.0,347.2,352.0,18584456.0
2023-07-28,352.0,353.0,349.4,352.0,42097948.0
2023-07-31,350.0,356.0,350.0,356.0,150273476.0
2023-08-01,356.6,357.8,347.0,347.0,92660392.0
2023-08-02,347.2,349.0,335.4,340.0,85711856.0
2023-08-03,345.0,354.0,342.2,350.0,18628106.0
2023-08-04,350.0,352.0,345.4,349.4,1981500.0
2023-08-07,337.0,343.2,337.0,340.0,40375912.0
2023-08-08,341.6,344.4,337.0,340.0,68022260.0
2023-08-09,342.0,347.0,341.0,342.2,25994808.0
2023-08-10,341.6,343.0,338.0,338.0,23980868.0
2023-08-11,342.2,344.4,338.6,339.6,64268672.0
2023-08-14,339.6,342.8,337.0,342.0,19854166.0
2023-08-15,342.0,344.8,341.0,344.6,68318678.0
2023-08-16,344.6,349.0,343.6,349.0,40918024.0
2023-08-17,349.0,349.8,345.0,348.0,87457570.0
2023-08-18,348.0,351.8,345.2,350.0,106289468.0
2023-08-22,350.0,353.0,348.2,349.8,55826548.0
2023-08-23,349.8,350.8,347.2,349.0,108413920.0
2023-08-24,348.2,349.8,343.2,343.2,41297810.0
2023-08-25,345.0,347.8,342.0,344.4,30201852.0
2023-08-29,343.0,350.0,342.0,350.0,125479784.0
2023-08-30,350.0,350.8,344.2,349.0,33515266.0
2023-08-31,349.0,349.0,337.6,343.6,183707420.0
2023-09-01,343.6,347.0,340.4,345.0,17063636.0
2023-09-04,344.8,344.8,336.0,344.0,9867346.0
2023-09-05,345.0,345.0,339.0,345.0,34454568.0
2023-09-06,345.0,347.0,341.2,345.0,35768686.0
2023-09-07,345.0,350.0,345.0,349.0,57410362.0
2023-09-08,349.0,349.6,348.0,349.2,28621166.0
2023-09-11,349.2,363.0,348.0,363.0,186133596.0
2023-09-12,360.0,361.0,355.0,357.8,117901908.0
2023-09-13,357.6,364.4,355.4,361.0,197337116.0
2023-09-14,356.0,360.0,356.0,358.6,105048410.0
2023-09-15,358.0,365.0,355.6,365.0,138856664.0
2023-09-18,364.8,364.8,360.0,362.6,21370670.0
2023-09-19,362.4,362.4,358.0,360.0,99614142.0
2023-09-20,360.0,362.4,357.6,362.4,55180202.0
2023-09-21,362.2,364.0,360.0,363.8,63347152.0
2023-09-22,363.0,372.0,361.4,371.0,209019632.0
2023-09-25,371.0,373.4,367.0,368.0,58217782.0
2023-09-26,368.0,373.6,367.2,370.4,74923622.0
2023-09-27,370.0,379.0,369.0,379.0,61236468.0
2023-09-28,378.0,378.0,367.0,372.0,100436182.0
2023-09-29,369.6,373.0,368.0,368.0,108854950.0
2023-10-02,367.0,371.8,367.0,368.0,66441712.0
2023-10-03,368.0,374.8,368.0,374.8,45201006.0
2023-10-04,371.0,371.4,369.0,369.8,51534782.0
2023-10-05,369.2,370.0,366.0,366.0,74789328.0
2023-10-06,365.2,370.0,362.0,370.0,113516148.0
2023-10-09,363.0,370.0,363.0,365.0,24056912.0
2023-10-10,365.0,369.8,365.0,365.0,36735472.0
2023-10-11,365.0,375.0,365.0,375.0,81313030.0
2023-10-12,374.6,374.6,368.4,374.0,57433650.0
2023-10-13,374.0,377.0,372.0,376.2,57806488.0
2023-10-16,376.2,379.0,373.0,376.4,44857298.0
2023-10-17,375.0,380.0,375.0,380.0,97747324.0
2023-10-18,379.8,388.6,375.2,388.6,100053088.0
2023-10-19,380.0,384.4,375.6,375.6,57296412.0
2023-10-20,381.0,381.0,375.0,379.0,91244344.0
2023-10-23,379.0,379.0,374.0,374.0,66627818.0
2023-10-24,373.6,373.6,370.0,370.0,52029598.0
2023-10-25,370.0,372.0,368.0,370.0,38146302.0
2023-10-26,370.0,370.8,353.0,360.0,154930822.0
2023-10-27,359.8,364.6,352.2,352.2,119224368.0
2023-10-31,358.0,358.0,351.2,355.0,118122280.0
2023-11-03,355.0,368.0,355.0,355.0,42402358.0
2023-11-06,355.0,359.0,348.0,352.0,112070690.0
2023-11-07,355.0,364.6,354.8,364.4,140291988.0
2023-11-08,364.4,372.0,362.0,372.0,67735508.0
2023-11-09,372.0,373.0,354.0,369.0,61022590.0
2023-11-10,369.0,370.0,364.0,365.0,41915680.0
2023-11-13,364.0,369.0,362.8,362.8,12057250.0
2023-11-14,367.0,367.0,362.0,363.0,39171950.0
