dt,open,high,low,close,value
2022-01-03,0.255,0.255,0.25,0.25,614050.0
2022-01-05,0.25,0.25,0.245,0.246,1902780.0
2022-01-06,0.247,0.25,0.241,0.243,1202940.0
2022-01-07,0.242,0.244,0.228,0.228,2109710.0
2022-01-10,0.228,0.232,0.226,0.228,1369970.0
2022-01-11,0.228,0.23,0.225,0.227,809510.0
2022-01-12,0.226,0.226,0.224,0.226,427570.0
2022-01-13,0.225,0.234,0.222,0.23,1569560.0
2022-01-14,0.23,0.235,0.225,0.233,795770.0
2022-01-17,0.235,0.235,0.231,0.232,642400.0
2022-01-18,0.231,0.235,0.23,0.231,1119240.0
2022-01-19,0.23,0.232,0.23,0.232,214770.0
2022-01-20,0.229,0.232,0.229,0.23,725100.0
2022-01-21,0.23,0.24,0.228,0.235,1728990.0
2022-01-24,0.236,0.242,0.234,0.235,1036420.0
2022-01-25,0.234,0.236,0.23,0.232,598190.0
2022-01-26,0.23,0.24,0.23,0.236,702230.0
2022-01-27,0.236,0.255,0.234,0.248,2785540.0
2022-01-28,0.241,0.265,0.241,0.25,3777050.0
2022-01-31,0.255,0.265,0.25,0.25,1636200.0
2022-02-02,0.25,0.26,0.25,0.255,1000950.0
2022-02-03,0.255,0.26,0.25,0.255,406200.0
2022-02-04,0.255,0.28,0.25,0.27,9515500.0
2022-02-07,0.27,0.28,0.26,0.265,4474250.0
2022-02-08,0.26,0.285,0.26,0.28,5060050.0
2022-02-09,0.28,0.28,0.27,0.275,1929550.0
2022-02-10,0.28,0.285,0.27,0.275,3026550.0
2022-02-11,0.27,0.28,0.27,0.275,2139500.0
2022-02-14,0.27,0.275,0.265,0.265,999900.0
2022-02-15,0.265,0.275,0.265,0.27,995150.0
2022-02-16,0.275,0.275,0.26,0.27,2206700.0
2022-02-17,0.27,0.27,0.265,0.27,484650.0
2022-02-18,0.265,0.28,0.265,0.28,3217350.0
2022-02-21,0.28,0.285,0.265,0.275,4324900.0
2022-02-22,0.27,0.285,0.265,0.285,17856850.0
2022-02-23,0.28,0.305,0.28,0.3,20691750.0
2022-02-24,0.3,0.315,0.27,0.27,18579250.0
2022-02-28,0.27,0.29,0.27,0.275,4806500.0
2022-03-01,0.28,0.285,0.275,0.28,2044400.0
2022-03-02,0.285,0.285,0.275,0.275,1760250.0
2022-03-03,0.275,0.28,0.27,0.28,1188000.0
2022-03-04,0.28,0.28,0.27,0.27,2661950.0
2022-03-07,0.27,0.27,0.26,0.265,2349900.0
2022-03-08,0.26,0.265,0.245,0.245,5217950.0
2022-03-09,0.245,0.26,0.242,0.26,3545640.0
2022-03-10,0.255,0.295,0.25,0.28,8229950.0
2022-03-11,0.28,0.285,0.265,0.27,2478550.0
2022-03-14,0.275,0.275,0.25,0.255,3075350.0
2022-03-15,0.25,0.265,0.245,0.265,4457930.0
2022-03-16,0.26,0.265,0.246,0.255,3287710.0
2022-03-17,0.255,0.255,0.25,0.25,943000.0
2022-03-18,0.255,0.26,0.255,0.26,592650.0
2022-03-21,0.26,0.26,0.25,0.25,434300.0
2022-03-22,0.25,0.255,0.25,0.25,725650.0
2022-03-23,0.25,0.25,0.249,0.25,292470.0
2022-03-24,0.255,0.255,0.25,0.25,261650.0
2022-03-25,0.25,0.255,0.248,0.255,671480.0
2022-03-28,0.248,0.255,0.248,0.25,555770.0
2022-03-29,0.247,0.249,0.247,0.248,607580.0
2022-03-30,0.247,0.25,0.247,0.25,230950.0
2022-03-31,0.248,0.25,0.248,0.25,79580.0
2022-04-01,0.25,0.25,0.247,0.247,163590.0
2022-04-04,0.248,0.25,0.247,0.247,229990.0
2022-04-05,0.246,0.25,0.245,0.245,1255750.0
2022-04-06,0.244,0.248,0.24,0.241,537960.0
2022-04-07,0.24,0.246,0.24,0.241,732410.0
2022-04-08,0.24,0.245,0.24,0.241,385280.0
2022-04-11,0.24,0.24,0.237,0.238,1434360.0
2022-04-12,0.239,0.239,0.232,0.232,766780.0
2022-04-13,0.231,0.231,0.226,0.231,1647770.0
2022-04-18,0.231,0.231,0.223,0.224,1458110.0
2022-04-19,0.225,0.229,0.225,0.225,4659660.0
2022-04-20,0.226,0.231,0.223,0.223,2086250.0
2022-04-21,0.223,0.228,0.223,0.223,837490.0
2022-04-22,0.222,0.224,0.222,0.222,645400.0
2022-04-25,0.221,0.221,0.21,0.212,1596550.0
2022-04-26,0.212,0.215,0.209,0.213,829490.0
2022-04-27,0.211,0.223,0.211,0.215,923580.0
2022-04-28,0.215,0.222,0.214,0.222,1051080.0
2022-04-29,0.222,0.223,0.216,0.216,788150.0
2022-05-02,0.215,0.22,0.211,0.211,283430.0
2022-05-04,0.21,0.218,0.21,0.217,330470.0
2022-05-05,0.217,0.222,0.216,0.219,320940.0
2022-05-06,0.219,0.219,0.212,0.214,885410.0
2022-05-10,0.21,0.212,0.203,0.205,2032040.0
2022-05-11,0.203,0.213,0.202,0.21,1639180.0
2022-05-12,0.21,0.21,0.203,0.204,127060.0
2022-05-13,0.203,0.205,0.202,0.205,207680.0
2022-05-16,0.203,0.204,0.202,0.203,1557430.0
2022-05-17,0.208,0.222,0.208,0.212,2320120.0
2022-05-18,0.215,0.217,0.212,0.214,771770.0
2022-05-19,0.214,0.214,0.212,0.212,229430.0
2022-05-20,0.213,0.215,0.212,0.214,1341230.0
2022-05-23,0.214,0.232,0.214,0.228,5068360.0
2022-05-24,0.228,0.228,0.224,0.224,1348660.0
2022-05-25,0.223,0.225,0.22,0.222,557350.0
2022-05-26,0.217,0.221,0.215,0.219,617480.0
