dt,open,high,low,close,value
2022-01-03,19.36,19.5,19.06,19.32,23729400.0
2022-01-05,19.34,19.5,19.34,19.48,35976386.0
2022-01-06,19.48,19.6,19.44,19.58,43451542.0
2022-01-07,19.56,19.6,19.48,19.48,22913024.0
2022-01-10,19.48,19.5,19.44,19.5,16506730.0
2022-01-11,19.5,19.5,19.46,19.48,15630086.0
2022-01-12,19.5,20.15,19.46,20.15,70025689.0
2022-01-13,20.15,20.6,20.0,20.25,19882990.0
2022-01-14,20.4,23.2,20.4,21.8,74086640.0
2022-01-17,21.8,22.55,21.55,22.2,68636240.0
2022-01-18,22.2,22.7,22.0,22.45,31456200.0
2022-01-19,22.1,22.5,21.85,22.1,28911720.0
2022-01-20,22.1,22.75,22.0,22.4,110188935.0
2022-01-21,22.4,23.0,22.25,22.4,57464015.0
2022-01-24,22.4,22.6,21.95,22.0,65586555.0
2022-01-25,22.0,22.4,21.85,22.1,118215280.0
2022-01-26,22.15,22.2,22.05,22.1,38367395.0
2022-01-27,22.2,22.45,22.15,22.15,83663640.0
2022-01-28,22.05,23.4,22.05,22.5,120365115.0
2022-01-31,22.8,23.0,22.4,22.5,46892280.0
2022-02-02,22.5,22.6,22.0,22.0,81205320.0
2022-02-03,22.0,22.45,21.95,22.0,62819160.0
2022-02-04,22.0,22.05,21.1,21.25,98970975.0
2022-02-07,21.0,21.0,20.4,20.8,99463365.0
2022-02-08,20.85,21.65,20.2,20.2,114979125.0
2022-02-09,20.5,20.8,20.25,20.3,53671160.0
2022-02-10,20.8,20.8,19.92,19.92,129487856.0
2022-02-11,19.94,20.5,19.4,19.48,122453822.0
2022-02-14,19.44,21.0,19.1,21.0,61766511.0
2022-02-15,20.1,20.85,19.86,19.9,31827672.0
2022-02-16,20.0,20.5,20.0,20.15,63564275.0
2022-02-17,20.15,20.35,20.15,20.3,18074365.0
2022-02-18,20.3,20.3,19.94,19.98,33898893.0
2022-02-21,19.96,20.5,19.8,20.45,51743634.0
2022-02-22,20.45,20.5,19.5,20.05,70088076.0
2022-02-23,20.0,20.0,19.8,19.98,46437686.0
2022-02-24,19.98,20.0,19.48,19.78,97308712.0
2022-02-28,19.68,20.0,19.42,19.92,35692172.0
2022-03-01,19.92,20.1,19.7,20.0,55045587.0
2022-03-02,20.0,20.2,19.92,20.1,39539626.0
2022-03-03,20.1,20.1,19.8,19.8,38727477.0
2022-03-04,19.92,19.92,19.6,19.64,30433664.0
2022-03-07,19.64,19.64,19.18,19.3,54910490.0
2022-03-08,19.28,19.28,18.48,18.58,90402056.0
2022-03-09,18.5,18.8,18.38,18.66,61008378.0
2022-03-10,18.7,19.5,18.7,19.3,27740424.0
2022-03-11,19.5,19.9,18.8,18.96,41511104.0
2022-03-14,19.0,19.1,18.78,18.82,52468024.0
2022-03-15,18.8,18.84,18.02,18.8,38713498.0
2022-03-16,18.8,19.1,18.78,19.0,70644966.0
2022-03-17,19.0,19.42,19.0,19.0,30478834.0
2022-03-18,19.3,19.3,18.62,18.62,161318602.0
2022-03-21,19.0,19.0,18.54,18.54,29005342.0
2022-03-22,18.54,19.3,18.54,19.18,19358322.0
2022-03-23,19.18,19.18,18.66,19.0,55875826.0
2022-03-24,19.0,19.2,18.5,18.5,11894768.0
2022-03-25,18.7,19.1,18.7,18.94,29430396.0
2022-03-28,18.9,19.0,18.68,18.68,10568934.0
2022-03-29,19.0,19.0,18.76,18.8,36805374.0
2022-03-30,18.8,18.9,18.5,18.5,49570746.0
2022-03-31,18.72,18.9,18.32,18.7,24226378.0
2022-04-01,18.7,18.78,18.4,18.4,15483792.0
2022-04-04,18.7,18.78,18.54,18.58,37470240.0
2022-04-05,18.6,18.78,18.3,18.3,48714680.0
2022-04-06,18.3,18.48,17.56,17.9,131507026.0
2022-04-07,17.9,17.98,17.72,17.98,82165084.0
2022-04-08,18.0,18.02,17.7,17.7,51790712.0
2022-04-11,17.72,17.96,17.7,17.76,12690818.0
2022-04-12,17.74,17.74,17.66,17.68,10375194.0
2022-04-13,17.66,17.66,17.4,17.48,49948128.0
2022-04-18,17.46,17.5,17.36,17.4,76253376.0
2022-04-19,17.4,17.42,17.26,17.26,50784082.0
2022-04-20,17.26,17.44,17.26,17.38,50920680.0
2022-04-21,17.4,17.8,17.4,17.62,60026252.0
2022-04-22,17.9,17.9,17.64,17.74,21985622.0
2022-04-25,17.96,17.96,17.4,17.44,63680598.0
2022-04-26,17.5,17.76,17.5,17.56,18077498.0
2022-04-27,17.66,17.66,17.3,17.5,69962512.0
2022-04-28,17.6,17.6,17.46,17.48,23759962.0
2022-04-29,17.52,17.6,17.46,17.5,40105824.0
2022-05-02,17.48,17.58,17.42,17.5,26551530.0
2022-05-04,17.58,17.6,17.4,17.52,1850543526.0
2022-05-05,17.58,17.86,17.56,17.72,27230118.0
2022-05-06,17.7,17.7,17.6,17.66,53759608.0
2022-05-10,17.5,17.5,16.74,16.94,69484656.0
2022-05-11,16.92,16.92,16.74,16.8,19975270.0
2022-05-12,16.8,16.8,16.7,16.8,45734296.0
2022-05-13,16.8,17.38,16.78,16.92,37758530.0
2022-05-16,17.32,17.34,16.7,17.16,49813576.0
2022-05-17,17.3,17.4,16.52,16.94,64107320.0
2022-05-18,16.8,17.0,16.42,16.82,50837030.0
2022-05-19,16.9,17.0,16.76,16.96,18811218.0
2022-05-20,16.96,17.18,16.8,16.9,42852542.0
2022-05-23,16.88,16.9,16.76,16.8,20357710.0
2022-05-24,17.1,17.1,16.7,16.98,50141932.0
2022-05-25,17.0,17.0,16.8,16.96,19486214.0
2022-05-26,16.88,16.88,16.76,16.78,27167598.0
2022-05-27,16.88,16.88,16.8,16.82,19868420.0
2022-05-30,16.88,16.88,16.8,16.84,91635492.0
2022-05-31,16.86,17.0,16.38,16.38,189680940.0
2022-06-01,16.6,17.02,16.4,16.4,48426440.0
2022-06-02,16.5,16.88,16.46,16.64,6261452.0
2022-06-03,16.7,16.88,16.4,16.4,60395840.0
2022-06-06,16.5,16.58,16.32,16.34,11572318.0
2022-06-07,16.4,16.4,16.3,16.34,19231900.0
2022-06-08,16.4,16.4,16.2,16.3,16512010.0
2022-06-09,16.3,16.4,16.3,16.3,6431448.0
2022-06-10,16.3,16.34,16.18,16.22,37881290.0
2022-06-13,16.22,16.22,16.1,16.12,16204144.0
2022-06-14,16.1,16.14,16.02,16.06,14529584.0
2022-06-15,16.06,16.3,16.02,16.02,8066116.0
2022-06-16,16.1,16.16,16.02,16.02,19570882.0
2022-06-17,16.02,16.02,15.5,15.6,62142662.0
2022-06-20,15.6,15.9,15.24,15.32,13243732.0
2022-06-21,15.32,15.76,15.32,15.6,4121214.0
2022-06-22,15.7,15.8,15.5,15.6,10798710.0
2022-06-23,15.66,15.66,15.2,15.2,14281942.0
2022-06-24,15.2,15.58,15.12,15.26,4397916.0
2022-06-27,15.3,15.6,15.14,15.14,11743084.0
2022-06-28,15.12,15.4,15.12,15.24,6332592.0
2022-06-29,15.24,15.3,15.18,15.28,14865432.0
2022-06-30,15.3,15.3,15.14,15.2,11743886.0
2022-07-01,15.3,15.58,15.2,15.56,12195336.0
2022-07-04,15.56,15.78,15.3,15.78,4198146.0
2022-07-05,15.84,15.84,15.28,15.3,20884958.0
2022-07-06,15.46,16.18,15.36,16.04,23070504.0
2022-07-07,16.1,16.26,15.58,15.7,24243278.0
2022-07-08,15.98,16.0,15.62,15.92,14850054.0
2022-07-11,16.0,16.0,15.6,16.0,9797448.0
2022-07-12,15.98,16.02,15.88,16.0,15539578.0
2022-07-13,16.0,16.16,15.88,15.88,11385216.0
2022-07-14,15.98,16.1,15.62,15.64,17067704.0
2022-07-15,16.0,16.0,15.64,15.74,11997176.0
