dt,open,high,low,close,value
2022-01-03,0.43,0.43,0.425,0.425,469050.0
2022-01-05,0.425,0.43,0.425,0.43,303950.0
2022-01-06,0.43,0.43,0.425,0.43,754050.0
2022-01-07,0.42,0.425,0.42,0.425,249800.0
2022-01-10,0.43,0.435,0.43,0.435,310450.0
2022-01-11,0.435,0.435,0.425,0.425,516850.0
2022-01-12,0.43,0.435,0.425,0.425,343650.0
2022-01-13,0.43,0.435,0.425,0.43,1379400.0
2022-01-14,0.43,0.43,0.43,0.43,137600.0
2022-01-17,0.43,0.44,0.43,0.43,1160750.0
2022-01-18,0.435,0.435,0.435,0.435,478500.0
2022-01-19,0.44,0.445,0.435,0.445,2526200.0
2022-01-20,0.445,0.45,0.44,0.445,1309550.0
2022-01-21,0.45,0.45,0.445,0.45,566250.0
2022-01-24,0.45,0.45,0.44,0.45,923050.0
2022-01-25,0.45,0.45,0.44,0.445,763550.0
2022-01-26,0.445,0.45,0.445,0.45,396800.0
2022-01-27,0.45,0.45,0.44,0.445,1659500.0
2022-01-28,0.445,0.455,0.445,0.45,500100.0
2022-01-31,0.455,0.455,0.45,0.45,699350.0
2022-02-02,0.45,0.455,0.445,0.455,2067100.0
2022-02-03,0.45,0.455,0.45,0.455,683150.0
2022-02-04,0.455,0.455,0.45,0.455,299800.0
2022-02-07,0.455,0.465,0.455,0.455,2930500.0
2022-02-08,0.455,0.465,0.455,0.455,10831450.0
2022-02-09,0.46,0.465,0.45,0.455,3034450.0
2022-02-10,0.46,0.46,0.45,0.455,3080850.0
2022-02-11,0.455,0.455,0.445,0.45,3970800.0
2022-02-14,0.455,0.455,0.44,0.445,1695650.0
2022-02-15,0.445,0.445,0.44,0.44,4613200.0
2022-02-16,0.44,0.445,0.44,0.44,3797400.0
2022-02-17,0.45,0.45,0.44,0.44,9175800.0
2022-02-18,0.44,0.445,0.44,0.445,5034350.0
2022-02-21,0.445,0.445,0.435,0.435,7444300.0
2022-02-22,0.43,0.44,0.43,0.435,5550150.0
2022-02-23,0.435,0.445,0.435,0.445,12353250.0
2022-02-24,0.45,0.46,0.42,0.425,23278600.0
2022-02-28,0.425,0.44,0.425,0.44,2752700.0
2022-03-01,0.44,0.455,0.44,0.455,2297200.0
2022-03-02,0.455,0.47,0.45,0.465,5172450.0
2022-03-03,0.465,0.465,0.455,0.46,1631400.0
2022-03-04,0.46,0.46,0.45,0.45,1558200.0
2022-03-07,0.455,0.46,0.44,0.45,5770550.0
2022-03-08,0.45,0.45,0.435,0.44,3821600.0
2022-03-09,0.44,0.44,0.435,0.435,1964600.0
2022-03-10,0.435,0.445,0.435,0.44,587100.0
2022-03-11,0.44,0.44,0.435,0.44,1109650.0
2022-03-14,0.44,0.44,0.415,0.42,6252100.0
2022-03-15,0.42,0.425,0.415,0.425,2614650.0
2022-03-16,0.43,0.44,0.43,0.435,1204550.0
2022-03-17,0.44,0.445,0.435,0.435,2324750.0
2022-03-18,0.445,0.445,0.435,0.44,1225450.0
2022-03-21,0.445,0.45,0.43,0.43,1888600.0
2022-03-22,0.43,0.445,0.43,0.44,469450.0
2022-03-23,0.44,0.445,0.44,0.445,543900.0
2022-03-24,0.44,0.445,0.44,0.445,290600.0
2022-03-25,0.44,0.45,0.44,0.45,1151750.0
2022-03-28,0.445,0.45,0.44,0.45,1282800.0
2022-03-29,0.45,0.46,0.45,0.46,3117450.0
2022-03-30,0.455,0.46,0.455,0.46,2131750.0
2022-03-31,0.45,0.46,0.45,0.46,361450.0
2022-04-01,0.45,0.455,0.45,0.45,508850.0
2022-04-04,0.445,0.465,0.445,0.465,3204400.0
2022-04-05,0.465,0.465,0.45,0.455,2576000.0
2022-04-06,0.46,0.46,0.45,0.455,374000.0
2022-04-07,0.46,0.46,0.45,0.45,140950.0
2022-04-08,0.455,0.455,0.455,0.455,277550.0
2022-04-11,0.455,0.47,0.455,0.47,5556650.0
2022-04-12,0.47,0.47,0.46,0.465,1376400.0
2022-04-13,0.46,0.465,0.46,0.465,110900.0
2022-04-18,0.465,0.465,0.45,0.46,564400.0
2022-04-19,0.455,0.46,0.45,0.46,278450.0
2022-04-20,0.46,0.465,0.46,0.465,106150.0
2022-04-21,0.46,0.465,0.455,0.465,146400.0
2022-04-22,0.46,0.46,0.45,0.455,678400.0
2022-04-25,0.45,0.45,0.44,0.44,2077950.0
2022-04-26,0.44,0.455,0.44,0.455,408050.0
2022-04-27,0.445,0.455,0.445,0.455,1483400.0
2022-04-28,0.455,0.455,0.445,0.445,1795900.0
2022-04-29,0.475,0.485,0.47,0.485,28292350.0
2022-05-02,0.485,0.485,0.47,0.475,4587150.0
2022-05-04,0.475,0.48,0.47,0.48,3087700.0
2022-05-05,0.48,0.49,0.48,0.485,8826750.0
2022-05-06,0.485,0.49,0.48,0.485,10489850.0
2022-05-10,0.475,0.48,0.455,0.47,17028400.0
2022-05-11,0.42,0.43,0.42,0.42,8839150.0
2022-05-12,0.42,0.42,0.39,0.4,7153850.0
2022-05-13,0.4,0.41,0.395,0.4,4734300.0
2022-05-16,0.395,0.42,0.395,0.405,2285250.0
2022-05-17,0.41,0.415,0.405,0.41,1273750.0
2022-05-18,0.41,0.42,0.41,0.42,183800.0
2022-05-19,0.42,0.42,0.41,0.41,364800.0
2022-05-20,0.415,0.42,0.41,0.42,2347500.0
2022-05-23,0.425,0.43,0.41,0.415,2434950.0
2022-05-24,0.415,0.42,0.415,0.415,257450.0
2022-05-25,0.42,0.42,0.405,0.41,3718350.0
2022-05-26,0.415,0.415,0.41,0.41,713650.0
2022-05-27,0.42,0.42,0.41,0.415,1936050.0
2022-05-30,0.415,0.42,0.41,0.415,1958700.0
2022-05-31,0.415,0.42,0.41,0.415,1613200.0
2022-06-01,0.415,0.42,0.415,0.415,1321500.0
2022-06-02,0.415,0.415,0.41,0.415,827400.0
2022-06-03,0.415,0.42,0.415,0.415,1324900.0
2022-06-06,0.41,0.415,0.41,0.41,2230000.0
2022-06-07,0.41,0.41,0.405,0.41,932900.0
2022-06-08,0.41,0.41,0.405,0.405,1046700.0
2022-06-09,0.41,0.41,0.405,0.41,1151650.0
2022-06-10,0.405,0.405,0.4,0.4,1457250.0
2022-06-13,0.4,0.41,0.4,0.405,140200.0
2022-06-14,0.405,0.405,0.4,0.4,750200.0
2022-06-15,0.4,0.405,0.395,0.4,3512250.0
2022-06-16,0.4,0.405,0.4,0.4,1256050.0
2022-06-17,0.4,0.4,0.395,0.4,743600.0
2022-06-20,0.405,0.405,0.395,0.4,40500.0
2022-06-21,0.4,0.405,0.395,0.4,849850.0
2022-06-22,0.4,0.4,0.395,0.4,829000.0
2022-06-23,0.4,0.405,0.395,0.395,2598450.0
2022-06-24,0.395,0.4,0.395,0.4,742700.0
2022-06-27,0.4,0.4,0.395,0.4,540900.0
2022-06-28,0.4,0.4,0.395,0.4,715550.0
2022-06-29,0.395,0.4,0.395,0.4,231750.0
2022-06-30,0.4,0.4,0.4,0.4,28000.0
2022-07-01,0.4,0.4,0.4,0.4,36000.0
2022-07-04,0.395,0.395,0.39,0.395,924150.0
2022-07-05,0.395,0.4,0.395,0.4,1511750.0
2022-07-06,0.4,0.4,0.395,0.4,155850.0
2022-07-07,0.4,0.4,0.395,0.395,599450.0
2022-07-08,0.4,0.4,0.4,0.4,688000.0
2022-07-11,0.4,0.4,0.395,0.4,495800.0
2022-07-12,0.4,0.4,0.395,0.395,95500.0
2022-07-13,0.4,0.4,0.395,0.4,308900.0
2022-07-14,0.4,0.4,0.395,0.395,341400.0
2022-07-15,0.4,0.4,0.395,0.4,4371750.0
2022-07-18,0.395,0.4,0.395,0.395,926900.0
2022-07-19,0.4,0.405,0.4,0.4,612200.0
2022-07-20,0.405,0.41,0.4,0.4,1489650.0
2022-07-21,0.4,0.41,0.4,0.4,2089500.0
2022-07-22,0.41,0.41,0.4,0.4,1689400.0
2022-07-25,0.4,0.4,0.395,0.4,1283500.0
2022-07-26,0.405,0.405,0.4,0.4,557850.0
2022-07-27,0.4,0.405,0.4,0.405,28250.0
2022-07-28,0.405,0.405,0.4,0.405,711600.0
2022-07-29,0.405,0.415,0.405,0.41,2314800.0
2022-08-01,0.415,0.42,0.41,0.41,1074050.0
2022-08-02,0.415,0.415,0.41,0.41,582400.0
2022-08-03,0.415,0.415,0.415,0.415,419150.0
2022-08-04,0.42,0.425,0.42,0.42,1060350.0
2022-08-05,0.42,0.42,0.415,0.42,574650.0
2022-08-08,0.42,0.44,0.42,0.435,4321950.0
2022-08-09,0.44,0.44,0.43,0.44,419150.0
2022-08-10,0.44,0.44,0.43,0.43,222600.0
2022-08-11,0.43,0.44,0.43,0.44,808000.0
2022-08-12,0.43,0.45,0.43,0.43,3584100.0
2022-08-15,0.43,0.435,0.425,0.43,1670450.0
2022-08-16,0.43,0.435,0.425,0.43,1380600.0
2022-08-17,0.43,0.435,0.43,0.435,2036600.0
2022-08-18,0.43,0.44,0.43,0.435,879150.0
2022-08-19,0.435,0.435,0.43,0.43,1251450.0
2022-08-22,0.425,0.43,0.425,0.43,398550.0
2022-08-23,0.425,0.43,0.42,0.43,1344550.0
