dt,open,high,low,close,value
2022-01-03,7.46,7.85,7.46,7.8,25515735.0
2022-01-05,7.75,7.84,7.7,7.8,14738867.0
2022-01-06,7.8,8.18,7.79,8.15,49769979.0
2022-01-07,8.14,8.2,7.92,8.18,78498423.0
2022-01-10,8.18,8.19,8.0,8.18,29315135.0
2022-01-11,8.18,8.26,8.13,8.26,41527157.0
2022-01-12,8.26,8.68,8.26,8.65,48273763.0
2022-01-13,8.66,8.69,8.6,8.69,15599653.0
2022-01-14,8.69,8.85,8.57,8.8,65521268.0
2022-01-17,8.7,8.8,8.67,8.74,17791271.0
2022-01-18,8.75,8.79,8.58,8.6,39650185.0
2022-01-19,8.61,8.65,8.5,8.5,30267804.0
2022-01-20,8.5,8.69,8.5,8.58,13590117.0
2022-01-21,8.58,8.64,8.51,8.55,36227387.0
2022-01-24,8.55,8.58,8.5,8.5,40219318.0
2022-01-25,8.51,8.7,8.51,8.7,44508099.0
2022-01-26,8.7,8.94,8.5,8.52,88343561.0
2022-01-27,8.52,8.65,8.52,8.53,14651899.0
2022-01-28,8.53,8.59,8.52,8.55,25498963.0
2022-01-31,8.65,8.67,8.31,8.4,62776371.0
2022-02-02,8.4,8.4,8.06,8.06,114639312.0
2022-02-03,8.1,8.21,8.1,8.2,30522264.0
2022-02-04,8.29,8.4,8.06,8.14,40197764.0
2022-02-07,8.2,8.48,8.2,8.39,21044132.0
2022-02-08,8.42,8.48,8.23,8.23,21029283.0
2022-02-09,8.4,8.4,8.1,8.1,58743781.0
2022-02-10,8.13,8.22,7.72,7.72,78214699.0
2022-02-11,7.75,8.0,7.75,7.99,14753192.0
2022-02-14,7.99,8.05,7.87,8.01,50107530.0
2022-02-15,8.0,8.0,7.5,7.75,27993661.0
2022-02-16,7.75,7.89,7.58,7.75,27165071.0
2022-02-17,7.76,7.87,7.4,7.64,42417425.0
2022-02-18,7.62,7.62,7.57,7.58,25470819.0
2022-02-21,7.59,8.1,7.58,7.94,62345167.0
2022-02-22,7.95,8.24,7.95,8.16,140250133.0
2022-02-23,8.15,8.16,7.97,8.13,64137359.0
2022-02-24,8.13,8.13,7.58,7.6,56826026.0
2022-02-28,7.6,7.98,7.6,7.78,37737367.0
2022-03-01,8.0,8.09,7.81,7.81,46486142.0
2022-03-02,8.0,8.0,7.86,7.87,45633650.0
2022-03-03,8.0,8.0,7.87,7.98,36869992.0
2022-03-04,7.98,7.98,7.87,7.9,40080919.0
2022-03-07,7.93,7.93,7.65,7.75,36539317.0
2022-03-08,7.76,7.79,7.15,7.15,112681011.0
2022-03-09,7.15,7.48,7.15,7.4,97449197.0
2022-03-10,7.4,7.74,7.39,7.51,49545996.0
2022-03-11,7.72,7.72,7.22,7.26,111253999.0
2022-03-14,7.3,7.62,7.15,7.15,87256479.0
2022-03-15,7.15,7.33,7.01,7.08,95774813.0
2022-03-16,7.14,7.48,7.11,7.11,69018422.0
2022-03-17,7.16,7.4,7.16,7.16,111950913.0
2022-03-18,7.21,7.39,7.1,7.18,1024037389.0
2022-03-21,7.18,7.27,7.13,7.15,20558763.0
2022-03-22,7.11,7.44,7.11,7.44,32891388.0
2022-03-23,7.42,7.42,7.34,7.4,51030088.0
2022-03-24,7.4,7.4,7.29,7.36,17040664.0
2022-03-25,7.4,7.44,7.26,7.38,25800416.0
2022-03-28,7.4,7.44,7.38,7.39,43335827.0
2022-03-29,7.39,7.44,7.37,7.41,37265414.0
2022-03-30,7.45,7.45,7.35,7.35,33196568.0
2022-03-31,7.3,7.4,7.3,7.35,23980172.0
2022-04-01,7.35,7.44,7.35,7.38,21366805.0
2022-04-04,7.43,7.5,7.4,7.44,27029304.0
2022-04-05,7.44,7.49,7.4,7.41,16646222.0
2022-04-06,7.42,7.48,7.4,7.43,21606402.0
2022-04-07,7.42,7.42,7.2,7.3,15172541.0
2022-04-08,7.3,7.48,7.27,7.45,22125586.0
2022-04-11,7.38,7.43,7.29,7.29,11383757.0
2022-04-12,7.29,7.43,7.29,7.43,16108128.0
2022-04-13,7.43,7.45,7.33,7.45,21181068.0
2022-04-18,7.48,7.49,7.4,7.44,16723798.0
2022-04-19,7.44,7.46,7.33,7.4,43196842.0
2022-04-20,7.4,7.45,7.33,7.38,22656410.0
2022-04-21,7.38,7.44,7.35,7.4,16734517.0
2022-04-22,7.44,7.45,7.37,7.43,12775076.0
2022-04-25,7.4,7.42,7.33,7.34,24286751.0
2022-04-26,7.34,7.37,7.33,7.34,21190476.0
2022-04-27,7.4,7.4,7.29,7.33,32301718.0
2022-04-28,7.31,7.4,7.3,7.31,22783162.0
2022-04-29,7.3,7.35,7.19,7.3,20222442.0
2022-05-02,7.25,7.3,7.2,7.23,5530842.0
2022-05-04,7.23,7.34,7.2,7.34,14520005.0
2022-05-05,7.3,7.54,7.26,7.45,33242757.0
2022-05-06,7.35,7.45,7.35,7.36,32602297.0
2022-05-10,7.1,7.11,7.0,7.1,31951264.0
2022-05-11,7.08,7.09,7.0,7.0,29796335.0
2022-05-12,7.0,7.3,7.0,7.0,39059603.0
2022-05-13,7.28,7.44,7.0,7.01,47005258.0
2022-05-16,7.24,7.4,7.06,7.3,58132257.0
2022-05-17,7.34,7.34,7.2,7.2,37868010.0
2022-05-18,7.2,7.34,7.15,7.15,42632416.0
2022-05-19,7.15,7.28,7.15,7.15,32124252.0
2022-05-20,7.26,7.26,7.16,7.2,17514774.0
2022-05-23,7.2,7.2,7.12,7.15,24232709.0
2022-05-24,7.29,7.32,7.19,7.25,59557204.0
2022-05-25,7.2,7.29,7.12,7.29,19984260.0
2022-05-26,7.12,7.24,7.08,7.08,29288767.0
2022-05-27,7.1,7.21,7.06,7.15,35979779.0
2022-05-30,7.16,7.4,7.12,7.12,83860185.0
2022-05-31,7.13,7.2,6.66,6.66,231100100.0
2022-06-01,6.88,6.91,6.8,6.8,50521819.0
2022-06-02,6.88,6.94,6.8,6.93,24379028.0
2022-06-03,6.97,6.97,6.93,6.93,7408880.0
2022-06-06,6.93,6.93,6.89,6.9,18475312.0
2022-06-07,6.93,6.93,6.89,6.9,23746446.0
2022-06-08,6.89,6.95,6.89,6.9,8301355.0
2022-06-09,6.92,6.92,6.9,6.9,75036401.0
2022-06-10,6.91,6.92,6.89,6.9,8369327.0
2022-06-13,6.88,6.91,6.7,6.74,11796908.0
2022-06-14,6.74,6.74,6.6,6.64,18914230.0
2022-06-15,6.64,6.66,6.38,6.44,28967201.0
2022-06-16,6.5,6.67,6.5,6.59,6962214.0
2022-06-17,6.58,6.58,6.4,6.52,44914370.0
2022-06-20,6.52,6.53,6.3,6.37,3573195.0
2022-06-21,6.37,6.55,6.37,6.5,11691996.0
2022-06-22,6.5,6.54,6.22,6.22,13930749.0
2022-06-23,6.2,6.37,6.07,6.07,12267257.0
2022-06-24,6.0,6.35,6.0,6.1,12232677.0
2022-06-27,6.21,6.29,6.07,6.1,12071570.0
2022-06-28,6.25,6.25,6.03,6.1,15744446.0
2022-06-29,6.15,6.2,6.07,6.2,4031702.0
2022-06-30,6.2,6.24,6.1,6.2,28782161.0
2022-07-01,6.2,6.5,6.2,6.45,3154215.0
2022-07-04,6.45,6.45,6.3,6.43,2307000.0
2022-07-05,6.45,6.5,6.43,6.49,3057568.0
2022-07-06,6.5,6.55,6.49,6.5,10250112.0
2022-07-07,6.55,6.55,6.45,6.45,3562628.0
2022-07-08,6.54,6.54,6.4,6.4,1274297.0
2022-07-11,6.5,6.55,6.3,6.55,8721869.0
2022-07-12,6.55,6.55,6.5,6.53,25065911.0
2022-07-13,6.53,6.58,6.53,6.53,6655553.0
2022-07-14,6.58,6.58,6.17,6.29,23051869.0
2022-07-15,6.3,6.4,6.26,6.3,6618585.0
2022-07-18,6.35,6.5,6.29,6.5,3512958.0
2022-07-19,6.5,6.5,6.42,6.45,42014276.0
2022-07-20,6.49,6.53,6.44,6.44,3382750.0
2022-07-21,6.45,6.52,6.45,6.49,8615561.0
2022-07-22,6.5,6.51,6.48,6.48,1475248.0
2022-07-25,6.43,6.49,6.41,6.47,2370785.0
2022-07-26,6.47,6.5,6.35,6.36,3654766.0
2022-07-27,6.36,6.46,6.33,6.35,2657958.0
2022-07-28,6.36,6.4,6.36,6.39,1224658.0
2022-07-29,6.39,6.4,6.3,6.39,11508410.0
2022-08-01,6.35,6.39,6.31,6.34,2902765.0
2022-08-02,6.39,6.39,6.3,6.34,3101581.0
2022-08-03,6.39,6.45,6.36,6.39,17272269.0
2022-08-04,6.39,6.45,6.38,6.38,6981263.0
2022-08-05,6.39,6.45,6.37,6.4,26443135.0
