dt,open,high,low,close,value
2023-06-01,28.4,28.55,28.0,28.2,23874780.0
2023-06-02,28.2,28.2,27.9,28.1,25033135.0
2023-06-05,28.2,28.4,28.1,28.2,12659135.0
2023-06-06,28.35,28.35,27.95,28.2,27690485.0
2023-06-07,28.2,28.2,28.0,28.2,16902290.0
2023-06-08,28.2,28.25,28.0,28.25,18956245.0
2023-06-09,28.25,28.25,28.1,28.25,10552315.0
2023-06-13,28.25,28.25,28.1,28.25,13816160.0
2023-06-14,28.25,28.4,28.1,28.2,15120915.0
2023-06-15,28.2,28.3,28.1,28.2,13642565.0
2023-06-16,28.3,28.3,27.6,27.6,33515500.0
2023-06-19,27.75,28.15,27.75,28.1,13872600.0
2023-06-20,28.25,28.9,28.05,28.85,61787310.0
2023-06-21,28.85,28.85,28.0,28.0,16957025.0
2023-06-22,28.1,28.15,27.9,28.0,26485505.0
2023-06-23,28.1,28.1,27.95,28.0,9314780.0
2023-06-26,28.0,28.25,27.95,28.0,12566275.0
2023-06-27,28.2,28.2,27.95,28.0,12845220.0
2023-06-29,28.05,28.2,28.05,28.1,17744130.0
2023-06-30,28.15,28.2,28.0,28.0,22393370.0
2023-07-03,28.2,28.4,28.1,28.4,12669060.0
2023-07-04,28.4,28.55,28.25,28.35,9594760.0
2023-07-05,28.5,28.5,28.15,28.2,5931165.0
2023-07-06,28.3,28.5,28.05,28.05,8953315.0
2023-07-07,28.15,28.4,27.85,27.9,38671830.0
2023-07-10,28.1,28.1,27.8,27.8,20290665.0
2023-07-11,28.0,28.0,27.7,27.8,23612715.0
2023-07-12,27.85,28.0,27.7,27.7,22605220.0
2023-07-13,27.7,28.0,27.7,27.8,15375105.0
2023-07-14,28.0,28.0,27.85,27.85,9365460.0
2023-07-17,27.85,28.05,27.85,27.9,11929835.0
2023-07-18,27.95,28.1,27.9,27.95,4649640.0
2023-07-19,28.0,28.05,27.9,27.9,14263165.0
2023-07-20,27.95,28.35,27.95,28.0,25722145.0
2023-07-21,28.5,29.0,28.3,29.0,55414920.0
2023-07-24,29.0,29.75,28.95,29.6,64453955.0
2023-07-25,29.6,30.7,29.5,29.85,51501805.0
2023-07-26,29.9,29.9,29.35,29.5,73190935.0
2023-07-27,29.45,29.9,29.4,29.45,22661375.0
2023-07-28,29.4,29.85,29.35,29.7,29445550.0
2023-07-31,29.8,30.35,28.85,28.85,82587310.0
