dt,open,high,low,close,value
2022-01-03,117.0,117.1,114.5,115.2,71364039.0
2022-01-05,114.9,114.9,112.0,113.0,136661643.0
2022-01-06,113.0,113.0,108.9,109.0,291770524.0
2022-01-07,110.8,110.8,104.1,104.1,347105026.0
2022-01-10,105.1,113.3,105.1,111.0,175068077.0
2022-01-11,111.0,113.2,110.5,112.5,108022320.0
2022-01-12,112.4,113.5,112.0,112.0,131006435.0
2022-01-13,113.0,114.9,112.0,113.5,149263078.0
2022-01-14,113.5,114.5,112.0,112.0,112014990.0
2022-01-17,112.0,112.5,111.0,111.0,92593808.0
2022-01-18,112.0,112.3,111.7,112.0,67025973.0
2022-01-19,112.0,112.0,106.4,107.0,189803990.0
2022-01-20,107.8,111.0,107.2,111.0,136793883.0
2022-01-21,111.0,111.0,109.2,111.0,36429833.0
2022-01-24,110.0,112.0,110.0,110.0,72932589.0
2022-01-25,110.0,111.0,107.6,107.6,135086227.0
2022-01-26,108.5,109.3,105.0,105.0,225260951.0
2022-01-27,105.0,107.3,104.9,105.1,372243486.0
2022-01-28,105.1,106.3,105.1,105.3,217349051.0
2022-01-31,106.0,110.5,106.0,107.2,256323557.0
2022-02-02,107.6,111.4,107.6,110.0,311426975.0
2022-02-03,110.5,112.2,110.5,111.4,260057183.0
2022-02-04,111.4,114.9,111.4,114.7,275061067.0
2022-02-07,116.0,117.8,116.0,117.8,285027339.0
2022-02-08,118.0,119.0,117.7,118.6,206991977.0
2022-02-09,118.5,118.6,117.0,118.0,125068702.0
2022-02-10,118.0,118.7,116.0,117.0,126511864.0
2022-02-11,117.0,117.5,111.5,111.7,347436954.0
2022-02-14,112.4,115.5,112.4,112.7,130449710.0
2022-02-15,113.0,116.3,113.0,113.9,63541548.0
2022-02-16,115.4,117.0,115.0,116.0,127725523.0
2022-02-17,116.7,117.9,115.4,117.5,227760902.0
2022-02-18,117.4,117.6,115.8,117.5,152624173.0
2022-02-21,117.1,117.5,114.6,117.4,108396211.0
2022-02-22,116.0,118.3,114.7,118.0,143089293.0
