dt,open,high,low,close,value
2022-01-03,99.45,99.5,98.35,99.0,5257539.0
2022-01-05,98.1,98.1,93.1,93.1,36799858.5
2022-01-06,93.1,93.1,88.9,90.0,43856047.0
2022-01-07,89.9,94.0,89.9,90.7,14743737.0
2022-01-10,90.4,102.0,90.4,99.9,38197593.5
2022-01-11,99.9,100.0,96.0,98.95,5733117.5
2022-01-12,100.0,100.0,99.6,99.9,27606423.0
2022-01-13,100.0,100.0,96.0,98.0,6965861.0
2022-01-14,99.85,101.8,99.85,101.8,54421706.0
2022-01-17,101.9,101.9,100.1,100.5,9685490.0
2022-01-18,101.0,101.2,100.0,101.2,32614974.0
2022-01-19,100.0,101.4,100.0,101.0,22409358.0
2022-01-20,101.3,104.5,101.1,102.8,24324135.0
2022-01-21,101.5,103.0,97.0,102.0,31941317.5
2022-01-24,102.0,102.0,97.5,98.05,4695708.5
2022-01-25,98.05,98.05,96.6,97.0,8584914.5
2022-01-26,97.5,99.9,95.5,95.5,4670822.5
2022-01-27,95.6,98.7,95.2,96.0,5080842.5
2022-01-28,96.0,97.95,94.5,97.7,3348940.5
2022-01-31,98.05,102.0,98.05,100.6,11295197.0
2022-02-02,102.0,105.0,102.0,103.6,7260291.0
2022-02-03,103.6,107.0,103.6,106.9,23380850.0
2022-02-04,107.9,111.0,107.9,110.0,29948967.0
2022-02-07,110.6,118.1,109.8,114.2,71342299.0
2022-02-08,113.9,113.9,110.0,110.6,12189539.0
2022-02-09,110.0,110.0,105.0,106.0,10619293.0
2022-02-10,106.0,108.5,103.0,107.0,11508541.0
2022-02-11,107.0,107.0,105.0,105.0,1864165.0
2022-02-14,105.0,105.0,102.1,102.5,3400969.0
2022-02-15,102.0,107.0,101.8,105.0,5074380.0
2022-02-16,105.0,105.1,103.0,104.0,3718131.0
2022-02-17,105.0,106.0,104.2,105.0,9214308.0
2022-02-18,105.1,105.1,103.3,103.7,997104.0
2022-02-21,104.0,104.9,94.95,101.9,10570849.5
2022-02-22,101.9,104.0,98.0,99.1,10649808.5
2022-02-23,99.1,104.0,99.0,101.1,2837056.5
2022-02-24,103.6,103.6,97.0,97.5,4018442.0
2022-02-28,97.45,101.0,97.0,100.0,721526.0
2022-03-01,99.0,100.0,98.5,99.6,1527612.5
2022-03-02,100.0,100.0,97.65,97.65,6541766.0
2022-03-03,98.0,99.85,97.65,98.5,2502029.5
2022-03-04,99.9,99.9,96.95,97.0,3096398.5
2022-03-07,96.95,97.1,95.05,96.0,4992123.0
2022-03-08,95.0,96.0,93.0,95.0,23027128.0
2022-03-09,94.5,94.5,93.5,94.05,7281040.0
2022-03-10,94.15,96.5,92.1,93.15,13950538.5
2022-03-11,95.0,98.0,92.55,94.0,79599763.0
2022-03-14,94.1,95.0,93.5,95.0,17722924.5
2022-03-15,95.0,95.0,91.0,91.6,5818140.0
2022-03-16,91.6,91.85,89.1,89.1,13214944.5
2022-03-17,89.1,91.8,89.1,89.9,7722135.5
2022-03-18,89.9,90.95,89.9,89.95,3009964.5
2022-03-21,89.9,90.0,88.5,88.95,4753564.5
2022-03-22,89.3,89.3,85.0,85.0,9547734.0
2022-03-23,87.0,87.9,87.0,87.5,1478083.5
2022-03-24,87.5,91.5,85.1,91.5,2208583.5
2022-03-25,92.0,92.0,89.85,90.0,2432043.0
2022-03-28,90.95,91.65,90.0,90.0,1152544.0
2022-03-29,90.0,91.45,89.9,91.0,1109525.5
2022-03-30,91.4,95.05,91.35,95.0,27750244.0
2022-03-31,96.0,97.8,96.0,97.8,4123493.5
2022-04-01,97.0,97.1,93.6,95.6,22111605.0
2022-04-04,95.7,99.3,95.7,99.3,23896576.5
2022-04-05,99.95,102.0,99.8,101.5,129571253.5
2022-04-06,91.0,93.0,90.0,91.25,9249296.5
2022-04-07,91.25,91.5,83.0,84.05,19549446.0
2022-04-08,85.0,87.7,84.0,84.45,10208930.0
2022-04-11,84.85,84.85,84.0,84.45,29726251.5
2022-04-12,84.45,84.45,83.0,83.75,11262656.0
2022-04-13,83.75,84.25,83.5,84.25,3386049.5
2022-04-18,84.95,84.95,83.2,84.0,3064870.5
2022-04-19,84.0,84.6,83.9,83.9,4073494.5
2022-04-20,84.0,84.0,83.7,83.8,39394267.5
2022-04-21,83.9,84.0,83.7,83.8,2022407.0
2022-04-22,83.8,83.8,82.0,82.05,2615796.0
2022-04-25,82.1,82.95,81.3,81.3,3802608.5
2022-04-26,81.25,81.25,77.6,77.6,8882293.0
2022-04-27,77.2,77.7,76.7,77.0,7715689.5
2022-04-28,77.0,77.5,76.8,76.95,2782548.5
2022-04-29,76.85,76.85,73.0,73.0,4944319.5
2022-05-02,73.1,73.15,72.1,72.5,2384234.5
2022-05-04,73.0,73.0,72.05,72.75,630018.0
2022-05-05,73.0,77.5,73.0,76.0,3041661.0
2022-05-06,75.8,77.5,75.5,77.2,6051836.0
2022-05-10,75.0,76.0,71.0,76.0,11546411.0
2022-05-11,73.05,77.5,73.05,77.5,6389097.5
2022-05-12,77.0,77.95,76.0,77.1,1375568.5
2022-05-13,77.0,77.05,75.0,75.0,6079383.0
2022-05-16,70.0,72.0,68.0,71.5,29984189.0
2022-05-17,71.5,72.75,71.5,72.75,7076287.0
2022-05-18,72.8,75.2,72.8,75.1,7273149.0
2022-05-19,74.0,76.55,72.65,76.55,7808796.0
