dt,open,high,low,close,value
2022-01-03,129.0,129.7,128.8,129.0,32841713.0
2022-01-05,129.0,130.0,127.6,128.9,61582674.0
2022-01-06,127.8,129.7,126.8,129.0,58234734.0
2022-01-07,129.5,129.5,126.8,126.8,84036831.0
2022-01-10,127.3,128.6,127.0,127.7,94136577.0
2022-01-11,127.7,128.4,126.8,126.8,171631639.0
2022-01-12,128.0,128.5,126.8,127.2,90074415.0
2022-01-13,128.0,130.0,127.2,129.9,130151122.0
2022-01-14,129.0,130.3,128.1,129.5,110677689.0
2022-01-17,129.5,129.5,126.2,126.5,371402067.0
2022-01-18,126.7,126.8,125.7,126.0,441126284.0
2022-01-19,126.3,128.7,126.2,127.0,109959047.0
2022-01-20,127.5,128.5,126.7,126.9,121898887.0
2022-01-21,126.9,127.4,126.5,127.0,79515831.0
2022-01-24,127.3,127.9,127.2,127.9,89268294.0
2022-01-25,128.0,128.0,127.1,127.9,96155434.0
2022-01-26,127.5,127.6,126.0,126.0,170147533.0
2022-01-27,126.0,126.6,125.8,126.0,190956716.0
2022-01-28,125.9,126.5,125.9,126.0,89814514.0
2022-01-31,126.0,127.4,126.0,127.0,119302444.0
2022-02-02,127.0,128.2,126.6,127.0,95544731.0
2022-02-03,126.9,126.9,126.0,126.0,178784234.0
2022-02-04,126.7,126.7,125.0,125.0,226496000.0
2022-02-07,126.0,127.0,125.1,125.4,165358430.0
2022-02-08,126.0,126.4,125.5,125.9,79928472.0
2022-02-09,126.0,126.9,125.9,126.0,219984530.0
2022-02-10,126.0,126.9,125.7,126.3,164599158.0
2022-02-11,126.0,128.7,125.0,125.0,258979189.0
2022-02-14,126.5,128.0,125.1,127.0,121158987.0
2022-02-15,127.0,128.2,125.7,126.0,151311804.0
2022-02-16,127.0,127.9,126.5,127.8,133756311.0
2022-02-17,127.5,128.4,126.2,127.5,162354509.0
2022-02-18,127.0,127.1,126.2,126.6,88902140.0
2022-02-21,126.5,126.5,124.0,124.7,147882672.0
2022-02-22,124.7,125.9,124.0,125.0,114247166.0
2022-02-23,124.8,125.0,121.4,121.5,347046018.0
2022-02-24,121.7,122.0,121.2,121.3,171486174.0
2022-02-28,120.5,121.2,119.5,120.0,274718159.0
2022-03-01,120.7,122.9,120.6,121.2,127602803.0
2022-03-02,121.2,121.2,119.8,119.8,130883425.0
2022-03-03,119.9,121.4,119.9,120.8,35865099.0
2022-03-04,120.8,120.8,119.7,119.7,59576491.0
2022-03-07,120.2,120.3,114.6,114.6,296977729.0
2022-03-08,114.6,114.6,110.0,110.3,290406173.0
2022-03-09,111.7,112.5,110.2,111.5,256302998.0
2022-03-10,112.1,114.0,110.7,110.9,304967000.0
2022-03-11,110.9,110.9,107.5,107.7,314150953.0
2022-03-14,110.0,110.0,101.6,102.3,240859517.0
2022-03-15,102.5,109.0,100.3,105.0,305866629.0
2022-03-16,108.0,109.4,106.7,108.3,205569012.0
2022-03-17,108.7,111.9,108.7,111.0,179314684.0
2022-03-18,112.2,113.0,111.4,112.0,366632644.0
2022-03-21,113.0,113.6,111.0,111.8,106085503.0
2022-03-22,111.8,111.8,106.5,108.1,183510483.0
2022-03-23,108.1,112.4,108.0,111.9,272493515.0
2022-03-24,109.2,112.9,108.5,112.9,230894919.0
2022-03-25,113.4,117.0,113.1,117.0,252184754.0
2022-03-28,116.9,118.2,116.4,118.2,260957902.0
2022-03-29,118.0,121.0,117.3,121.0,181815978.0
2022-03-30,119.8,119.8,117.3,119.0,222425390.0
2022-03-31,119.0,121.4,118.6,121.0,257227520.0
2022-04-01,120.5,120.5,117.5,119.3,233000267.0
