dt,open,high,low,close,value
2023-06-01,1.71,1.71,1.69,1.69,3029060.0
2023-06-02,1.7,1.72,1.68,1.7,414920.0
2023-06-05,1.7,1.71,1.69,1.69,1260660.0
2023-06-06,1.68,1.71,1.68,1.7,469840.0
2023-06-07,1.73,1.73,1.67,1.68,5183440.0
2023-06-08,1.72,1.72,1.68,1.68,237610.0
2023-06-09,1.71,1.71,1.68,1.69,1256770.0
2023-06-13,1.69,1.7,1.68,1.68,1358560.0
2023-06-14,1.68,1.7,1.68,1.68,3586600.0
2023-06-15,1.68,1.7,1.67,1.7,1213880.0
2023-06-16,1.68,1.69,1.67,1.68,361250.0
2023-06-19,1.69,1.7,1.67,1.67,2427330.0
2023-06-20,1.7,1.7,1.67,1.67,915410.0
2023-06-21,1.67,1.68,1.65,1.67,1875380.0
2023-06-22,1.67,1.67,1.65,1.67,244580.0
2023-06-23,1.67,1.68,1.65,1.65,3433110.0
2023-06-26,1.65,1.65,1.63,1.65,2180810.0
2023-06-27,1.65,1.7,1.65,1.69,1465470.0
2023-06-29,1.7,1.7,1.68,1.68,2697740.0
2023-06-30,1.69,1.71,1.69,1.7,1668130.0
2023-07-03,1.7,1.7,1.67,1.67,4440270.0
2023-07-04,1.67,1.69,1.65,1.65,3899630.0
2023-07-05,1.7,1.7,1.64,1.65,1586880.0
2023-07-06,1.64,1.64,1.6,1.63,5495060.0
2023-07-07,1.63,1.63,1.61,1.62,141050.0
2023-07-10,1.61,1.62,1.6,1.61,2115740.0
2023-07-11,1.61,1.62,1.6,1.6,8396650.0
2023-07-12,1.61,1.61,1.56,1.56,4177020.0
2023-07-13,1.57,1.59,1.57,1.59,1919470.0
2023-07-14,1.59,1.61,1.57,1.58,2889670.0
2023-07-17,1.58,1.6,1.57,1.59,487400.0
2023-07-18,1.6,1.62,1.59,1.6,2676680.0
2023-07-19,1.61,1.62,1.6,1.61,276960.0
2023-07-20,1.61,1.63,1.61,1.61,1441270.0
2023-07-21,1.61,1.65,1.61,1.64,1663720.0
2023-07-24,1.64,1.66,1.61,1.62,624370.0
2023-07-25,1.62,1.62,1.58,1.58,3328300.0
2023-07-26,1.58,1.63,1.58,1.63,281090.0
2023-07-27,1.61,1.61,1.59,1.59,927990.0
2023-07-28,1.61,1.61,1.6,1.6,1904350.0
2023-07-31,1.61,1.61,1.57,1.57,3300080.0
2023-08-01,1.57,1.6,1.57,1.59,1064100.0
2023-08-02,1.6,1.6,1.54,1.57,5228680.0
2023-08-03,1.57,1.59,1.57,1.57,285830.0
2023-08-04,1.59,1.6,1.59,1.59,20690.0
2023-08-07,1.59,1.59,1.57,1.57,606960.0
2023-08-08,1.57,1.59,1.57,1.57,866070.0
2023-08-09,1.59,1.59,1.57,1.57,1097400.0
2023-08-10,1.6,1.6,1.54,1.57,2195270.0
2023-08-11,1.57,1.59,1.56,1.56,937250.0
2023-08-14,1.56,1.59,1.54,1.56,4077030.0
2023-08-15,1.59,1.59,1.56,1.57,1569580.0
2023-08-16,1.57,1.6,1.54,1.56,3594270.0
2023-08-17,1.59,1.61,1.58,1.6,2350440.0
2023-08-18,1.63,1.63,1.59,1.59,3830350.0
2023-08-22,1.61,1.61,1.57,1.59,1162240.0
2023-08-23,1.61,1.63,1.57,1.6,733470.0
2023-08-24,1.62,1.62,1.58,1.6,1770940.0
2023-08-25,1.6,1.6,1.58,1.6,1346160.0
2023-08-29,1.61,1.61,1.56,1.56,1225000.0
2023-08-30,1.6,1.64,1.56,1.6,1262830.0
2023-08-31,1.6,1.61,1.59,1.59,1100730.0
2023-09-01,1.6,1.62,1.59,1.62,293420.0
2023-09-04,1.62,1.62,1.59,1.61,1241090.0
2023-09-05,1.59,1.62,1.58,1.62,1019540.0
2023-09-06,1.61,1.61,1.6,1.6,769810.0
2023-09-07,1.59,1.62,1.55,1.59,3999360.0
2023-09-08,1.59,1.61,1.57,1.6,908890.0
2023-09-11,1.6,1.61,1.59,1.59,641410.0
2023-09-12,1.59,1.61,1.57,1.57,1540520.0
2023-09-13,1.59,1.61,1.58,1.61,3324760.0
2023-09-14,1.62,1.62,1.58,1.59,2122500.0
2023-09-15,1.59,1.61,1.57,1.58,1517720.0
2023-09-18,1.59,1.59,1.57,1.59,1017610.0
2023-09-19,1.59,1.59,1.57,1.58,1124800.0
2023-09-20,1.58,1.59,1.56,1.58,1049300.0
2023-09-21,1.56,1.58,1.55,1.58,2497580.0
