dt,open,high,low,close,value
2023-06-01,28.15,28.15,27.0,27.0,8801940.0
2023-06-02,27.5,27.5,26.6,27.0,33700855.0
2023-06-05,27.2,27.2,26.55,26.6,61565195.0
2023-06-06,26.6,26.65,26.35,26.5,65374960.0
2023-06-07,26.5,26.55,26.4,26.5,78263665.0
2023-06-08,26.55,26.55,25.8,26.0,88533995.0
2023-06-09,25.9,26.0,25.25,26.0,49484960.0
2023-06-13,26.0,26.0,25.65,25.8,33104085.0
2023-06-14,25.8,25.8,25.05,25.2,38721270.0
2023-06-15,25.2,25.2,23.85,23.85,82838555.0
2023-06-16,24.0,24.75,23.95,24.4,95408050.0
2023-06-19,24.4,24.65,24.4,24.6,15219130.0
2023-06-20,24.8,24.8,24.65,24.7,20966850.0
2023-06-21,24.7,24.75,24.6,24.7,20559755.0
2023-06-22,24.65,25.3,24.4,25.3,44349600.0
2023-06-23,25.3,25.6,25.05,25.3,80774845.0
2023-06-26,25.75,25.85,25.35,25.35,37516250.0
2023-06-27,25.85,25.95,24.95,24.95,32295350.0
2023-06-29,24.95,25.2,24.7,24.7,41840545.0
2023-06-30,24.65,24.9,24.15,24.15,89011530.0
2023-07-03,24.2,24.75,24.2,24.65,2350050.0
2023-07-04,24.7,25.3,24.7,25.25,48032680.0
2023-07-05,25.25,25.25,24.7,24.85,38208190.0
2023-07-06,24.95,25.05,24.85,25.05,5949235.0
2023-07-07,24.7,25.0,24.5,24.9,10560940.0
2023-07-10,24.8,25.0,24.75,24.85,17926805.0
2023-07-11,24.8,25.4,24.8,25.2,16951420.0
2023-07-12,25.4,25.85,25.2,25.5,106069070.0
2023-07-13,25.5,25.5,24.85,24.95,47083385.0
2023-07-14,25.0,25.0,23.9,24.0,83662040.0
2023-07-17,24.15,24.9,24.15,24.5,114332240.0
2023-07-18,24.95,25.0,24.6,24.7,54757265.0
2023-07-19,24.55,24.75,24.3,24.5,57407015.0
2023-07-20,24.4,24.5,24.0,24.1,176994030.0
2023-07-21,24.2,24.8,24.2,24.5,40846010.0
2023-07-24,24.65,24.65,24.3,24.3,30025450.0
2023-07-25,24.3,24.3,23.95,24.0,33912060.0
2023-07-26,24.0,24.3,23.9,24.0,48988855.0
2023-07-27,24.15,24.15,23.3,23.5,79270745.0
2023-07-28,23.5,23.8,22.8,23.0,74214420.0
2023-07-31,23.05,23.8,22.85,22.85,30524905.0
2023-08-01,22.9,23.8,21.8,21.95,88942350.0
2023-08-02,21.9,21.9,21.5,21.7,53258600.0
2023-08-03,21.65,21.95,21.3,21.5,89482865.0
2023-08-04,21.5,21.9,21.4,21.5,5879105.0
2023-08-07,22.6,22.75,22.0,22.45,24114710.0
2023-08-08,22.75,22.85,22.5,22.7,30440575.0
2023-08-09,22.7,22.9,22.7,22.85,15531590.0
2023-08-10,22.85,23.1,22.25,22.25,26317135.0
2023-08-11,22.25,22.75,22.15,22.45,14047425.0
2023-08-14,22.4,22.5,22.1,22.35,44146145.0
2023-08-15,22.45,22.95,22.45,22.9,17445210.0
2023-08-16,23.0,23.05,22.7,23.0,43091355.0
2023-08-17,23.0,23.35,22.65,22.9,8325810.0
2023-08-18,22.85,22.85,21.6,21.6,25327205.0
2023-08-22,21.65,22.4,21.45,21.75,29913970.0
2023-08-23,21.8,22.0,21.55,21.6,12591790.0
2023-08-24,21.5,22.0,21.5,22.0,1831445.0
2023-08-25,22.0,22.0,21.3,21.45,24394950.0
